RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"20,458",+/-76,(X),(X),"9,881",+/-81,(X),(X),"10,577",+/-58,(X),(X)
High school graduate or higher,"17,527",+/-321,85.7%,+/-1.6,"8,384",+/-206,84.8%,+/-2.1,"9,143",+/-226,86.4%,+/-2.1
Bachelor's degree or higher,"3,082",+/-341,15.1%,+/-1.7,"1,683",+/-206,17.0%,+/-2.1,"1,399",+/-214,13.2%,+/-2.0
"White alone, not Hispanic or Latino","19,847",+/-42,(X),(X),"9,559",+/-42,(X),(X),"10,288",+/-24,(X),(X)
High school graduate or higher,"17,018",+/-310,85.7%,+/-1.5,"8,132",+/-203,85.1%,+/-2.1,"8,886",+/-208,86.4%,+/-2.0
Bachelor's degree or higher,"2,970",+/-327,15.0%,+/-1.6,"1,590",+/-186,16.6%,+/-1.9,"1,380",+/-214,13.4%,+/-2.1
Black alone,52,+/-31,(X),(X),22,+/-27,(X),(X),30,+/-21,(X),(X)
High school graduate or higher,9,+/-14,17.3%,+/-26.9,8,+/-14,36.4%,+/-63.6,1,+/-3,3.3%,+/-10.0
Bachelor's degree or higher,1,+/-3,1.9%,+/-5.8,0,+/-24,0.0%,+/-60.7,1,+/-3,3.3%,+/-10.0
American Indian or Alaska Native alone,37,+/-27,(X),(X),26,+/-24,(X),(X),11,+/-17,(X),(X)
High school graduate or higher,37,+/-27,100.0%,+/-46.8,26,+/-24,100.0%,+/-55.9,11,+/-17,100.0%,+/-85.9
Bachelor's degree or higher,12,+/-13,32.4%,+/-40.9,12,+/-13,46.2%,+/-53.8,0,+/-24,0.0%,+/-85.9
Asian alone,81,+/-30,(X),(X),11,+/-16,(X),(X),70,+/-27,(X),(X)
High school graduate or higher,81,+/-30,100.0%,+/-30.0,11,+/-16,100.0%,+/-85.9,70,+/-27,100.0%,+/-33.3
Bachelor's degree or higher,24,+/-22,29.6%,+/-32.5,0,+/-24,0.0%,+/-85.9,24,+/-22,34.3%,+/-35.3
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,222,+/-70,(X),(X),102,+/-61,(X),(X),120,+/-41,(X),(X)
High school graduate or higher,111,+/-67,50.0%,+/-24.4,38,+/-39,37.3%,+/-33.8,73,+/-51,60.8%,+/-33.6
Bachelor's degree or higher,16,+/-24,7.2%,+/-10.2,0,+/-24,0.0%,+/-25.1,16,+/-24,13.3%,+/-17.6
Two or more races,62,+/-46,(X),(X),24,+/-25,(X),(X),38,+/-31,(X),(X)
High school graduate or higher,48,+/-35,77.4%,+/-24.0,24,+/-25,100.0%,+/-58.2,24,+/-27,63.2%,+/-43.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-36.0,0,+/-24,0.0%,+/-58.2,0,+/-24,0.0%,+/-46.2
Hispanic or Latino Origin,806,+/-37,(X),(X),397,+/-51,(X),(X),409,+/-54,(X),(X)
High school graduate or higher,620,+/-98,76.9%,+/-11.6,290,+/-50,73.0%,+/-13.8,330,+/-87,80.7%,+/-13.2
Bachelor's degree or higher,128,+/-72,15.9%,+/-8.9,93,+/-67,23.4%,+/-17.1,35,+/-33,8.6%,+/-8.2
