Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,922",+/-52,(X),(X),"1,521",+/-48,(X),(X),"1,401",+/-23,(X),(X)
Less than high school graduate,"1,014",+/-171,34.7%,+/-5.9,456,+/-108,30.0%,+/-7.1,558,+/-131,39.8%,+/-9.4
High school graduate (includes equivalency),"1,091",+/-199,37.3%,+/-6.7,630,+/-132,41.4%,+/-8.4,461,+/-146,32.9%,+/-10.4
Some college or associate's degree,632,+/-153,21.6%,+/-5.3,348,+/-110,22.9%,+/-7.3,284,+/-84,20.3%,+/-6.0
Bachelor's degree or higher,185,+/-96,6.3%,+/-3.3,87,+/-60,5.7%,+/-3.9,98,+/-60,7.0%,+/-4.2
Population 25 years and over,"20,942",+/-74,(X),(X),"10,108",+/-57,(X),(X),"10,834",+/-53,(X),(X)
Less than 9th grade,"1,772",+/-282,8.5%,+/-1.3,916,+/-160,9.1%,+/-1.6,856,+/-163,7.9%,+/-1.5
"9th to 12th grade, no diploma","1,528",+/-262,7.3%,+/-1.3,750,+/-151,7.4%,+/-1.5,778,+/-191,7.2%,+/-1.8
High school graduate (includes equivalency),"8,715",+/-480,41.6%,+/-2.3,"4,442",+/-312,43.9%,+/-3.0,"4,273",+/-290,39.4%,+/-2.7
"Some college, no degree","4,064",+/-416,19.4%,+/-2.0,"1,651",+/-246,16.3%,+/-2.4,"2,413",+/-290,22.3%,+/-2.7
Associate's degree,"1,594",+/-181,7.6%,+/-0.9,704,+/-158,7.0%,+/-1.6,890,+/-117,8.2%,+/-1.1
Bachelor's degree,"2,311",+/-302,11.0%,+/-1.4,"1,254",+/-240,12.4%,+/-2.4,"1,057",+/-184,9.8%,+/-1.7
Graduate or professional degree,958,+/-182,4.6%,+/-0.9,391,+/-103,3.9%,+/-1.0,567,+/-132,5.2%,+/-1.2
Percent high school graduate or higher,(X),(X),84.2%,+/-1.9,(X),(X),83.5%,+/-2.1,(X),(X),84.9%,+/-2.5
Percent bachelor's degree or higher,(X),(X),15.6%,+/-1.8,(X),(X),16.3%,+/-2.6,(X),(X),15.0%,+/-1.9
Population 25 to 34 years,"3,968",+/-70,(X),(X),"2,046",+/-51,(X),(X),"1,922",+/-44,(X),(X)
High school graduate or higher,"3,081",+/-183,77.6%,+/-4.4,"1,611",+/-117,78.7%,+/-5.5,"1,470",+/-98,76.5%,+/-5.0
Bachelor's degree or higher,671,+/-142,16.9%,+/-3.6,278,+/-105,13.6%,+/-5.1,393,+/-89,20.4%,+/-4.7
Population 35 to 44 years,"3,812",+/-55,(X),(X),"1,895",+/-46,(X),(X),"1,917",+/-48,(X),(X)
High school graduate or higher,"3,212",+/-170,84.3%,+/-4.2,"1,558",+/-104,82.2%,+/-5.3,"1,654",+/-111,86.3%,+/-4.8
Bachelor's degree or higher,831,+/-182,21.8%,+/-4.8,367,+/-127,19.4%,+/-6.7,464,+/-100,24.2%,+/-5.2
Population 45 to 64 years,"8,129",+/-74,(X),(X),"4,037",+/-59,(X),(X),"4,092",+/-61,(X),(X)
High school graduate or higher,"7,154",+/-186,88.0%,+/-2.3,"3,487",+/-140,86.4%,+/-3.3,"3,667",+/-113,89.6%,+/-2.7
Bachelor's degree or higher,"1,228",+/-226,15.1%,+/-2.8,668,+/-137,16.5%,+/-3.4,560,+/-128,13.7%,+/-3.1
Population 65 years and over,"5,033",+/-60,(X),(X),"2,130",+/-38,(X),(X),"2,903",+/-43,(X),(X)
High school graduate or higher,"4,195",+/-184,83.3%,+/-3.3,"1,786",+/-98,83.8%,+/-4.3,"2,409",+/-154,83.0%,+/-5.0
Bachelor's degree or higher,539,+/-129,10.7%,+/-2.6,332,+/-101,15.6%,+/-4.8,207,+/-70,7.1%,+/-2.4
