Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"34,261",+/-59,(X),(X),"17,114",+/-41,(X),(X),"17,147",+/-42,(X),(X)
Less than high school graduate,"5,812",+/-503,17.0%,+/-1.5,"3,240",+/-323,18.9%,+/-1.9,"2,572",+/-332,15.0%,+/-1.9
High school graduate (includes equivalency),"10,218",+/-564,29.8%,+/-1.6,"5,369",+/-439,31.4%,+/-2.6,"4,849",+/-411,28.3%,+/-2.4
Some college or associate's degree,"15,294",+/-737,44.6%,+/-2.1,"7,484",+/-510,43.7%,+/-3.0,"7,810",+/-530,45.5%,+/-3.1
Bachelor's degree or higher,"2,937",+/-308,8.6%,+/-0.9,"1,021",+/-159,6.0%,+/-0.9,"1,916",+/-269,11.2%,+/-1.6
Population 25 years and over,"235,198",+/-64,(X),(X),"112,419",+/-31,(X),(X),"122,779",+/-56,(X),(X)
Less than 9th grade,"9,390",+/-560,4.0%,+/-0.2,"4,750",+/-395,4.2%,+/-0.4,"4,640",+/-363,3.8%,+/-0.3
"9th to 12th grade, no diploma","16,007",+/-715,6.8%,+/-0.3,"8,482",+/-499,7.5%,+/-0.4,"7,525",+/-521,6.1%,+/-0.4
High school graduate (includes equivalency),"68,489","+/-1,369",29.1%,+/-0.6,"32,380",+/-893,28.8%,+/-0.8,"36,109","+/-1,029",29.4%,+/-0.8
"Some college, no degree","53,781","+/-1,229",22.9%,+/-0.5,"25,952",+/-769,23.1%,+/-0.7,"27,829",+/-990,22.7%,+/-0.8
Associate's degree,"23,158",+/-858,9.8%,+/-0.4,"9,599",+/-574,8.5%,+/-0.5,"13,559",+/-635,11.0%,+/-0.5
Bachelor's degree,"42,160","+/-1,216",17.9%,+/-0.5,"20,040",+/-855,17.8%,+/-0.8,"22,120",+/-772,18.0%,+/-0.6
Graduate or professional degree,"22,213",+/-860,9.4%,+/-0.4,"11,216",+/-572,10.0%,+/-0.5,"10,997",+/-635,9.0%,+/-0.5
Percent high school graduate or higher,(X),(X),89.2%,+/-0.4,(X),(X),88.2%,+/-0.5,(X),(X),90.1%,+/-0.5
Percent bachelor's degree or higher,(X),(X),27.4%,+/-0.6,(X),(X),27.8%,+/-0.9,(X),(X),27.0%,+/-0.8
Population 25 to 34 years,"49,030",+/-108,(X),(X),"24,125",+/-60,(X),(X),"24,905",+/-75,(X),(X)
High school graduate or higher,"44,022",+/-491,89.8%,+/-1.0,"21,324",+/-344,88.4%,+/-1.4,"22,698",+/-325,91.1%,+/-1.3
Bachelor's degree or higher,"15,373",+/-771,31.4%,+/-1.6,"6,602",+/-512,27.4%,+/-2.1,"8,771",+/-493,35.2%,+/-2.0
Population 35 to 44 years,"45,826",+/-70,(X),(X),"22,603",+/-49,(X),(X),"23,223",+/-43,(X),(X)
High school graduate or higher,"40,991",+/-482,89.4%,+/-1.1,"19,915",+/-301,88.1%,+/-1.3,"21,076",+/-315,90.8%,+/-1.4
Bachelor's degree or higher,"13,315",+/-688,29.1%,+/-1.5,"6,110",+/-392,27.0%,+/-1.7,"7,205",+/-453,31.0%,+/-2.0
Population 45 to 64 years,"92,409",+/-67,(X),(X),"45,133",+/-67,(X),(X),"47,276",+/-8,(X),(X)
High school graduate or higher,"83,516",+/-603,90.4%,+/-0.6,"40,399",+/-379,89.5%,+/-0.8,"43,117",+/-355,91.2%,+/-0.8
Bachelor's degree or higher,"24,934",+/-798,27.0%,+/-0.9,"12,597",+/-549,27.9%,+/-1.2,"12,337",+/-560,26.1%,+/-1.2
Population 65 years and over,"47,933",+/-63,(X),(X),"20,558",+/-52,(X),(X),"27,375",+/-26,(X),(X)
High school graduate or higher,"41,272",+/-420,86.1%,+/-0.8,"17,549",+/-266,85.4%,+/-1.2,"23,723",+/-276,86.7%,+/-1.0
Bachelor's degree or higher,"10,751",+/-486,22.4%,+/-1.0,"5,947",+/-335,28.9%,+/-1.6,"4,804",+/-330,17.5%,+/-1.2
