RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"196,491",+/-590,(X),(X),"94,430",+/-316,(X),(X),"102,061",+/-327,(X),(X)
High school graduate or higher,"179,889",+/-782,91.6%,+/-0.4,"85,772",+/-532,90.8%,+/-0.5,"94,117",+/-546,92.2%,+/-0.5
Bachelor's degree or higher,"57,595","+/-1,254",29.3%,+/-0.6,"28,035",+/-861,29.7%,+/-0.9,"29,560",+/-827,29.0%,+/-0.8
"White alone, not Hispanic or Latino","188,239",+/-170,(X),(X),"90,125",+/-83,(X),(X),"98,114",+/-91,(X),(X)
High school graduate or higher,"174,664",+/-702,92.8%,+/-0.4,"83,193",+/-448,92.3%,+/-0.5,"91,471",+/-483,93.2%,+/-0.5
Bachelor's degree or higher,"56,601","+/-1,225",30.1%,+/-0.6,"27,634",+/-855,30.7%,+/-0.9,"28,967",+/-835,29.5%,+/-0.8
Black alone,"24,126",+/-353,(X),(X),"10,823",+/-231,(X),(X),"13,303",+/-254,(X),(X)
High school graduate or higher,"19,872",+/-489,82.4%,+/-1.7,"8,516",+/-370,78.7%,+/-2.8,"11,356",+/-361,85.4%,+/-2.2
Bachelor's degree or higher,"3,201",+/-450,13.3%,+/-1.8,"1,475",+/-303,13.6%,+/-2.7,"1,726",+/-276,13.0%,+/-2.1
American Indian or Alaska Native alone,487,+/-125,(X),(X),255,+/-104,(X),(X),232,+/-68,(X),(X)
High school graduate or higher,337,+/-101,69.2%,+/-12.0,182,+/-83,71.4%,+/-19.3,155,+/-65,66.8%,+/-15.2
Bachelor's degree or higher,88,+/-56,18.1%,+/-9.7,45,+/-38,17.6%,+/-13.2,43,+/-34,18.5%,+/-14.0
Asian alone,"6,889",+/-161,(X),(X),"3,338",+/-92,(X),(X),"3,551",+/-107,(X),(X)
High school graduate or higher,"4,525",+/-341,65.7%,+/-4.8,"2,205",+/-189,66.1%,+/-5.6,"2,320",+/-212,65.3%,+/-5.7
Bachelor's degree or higher,"2,422",+/-286,35.2%,+/-4.2,"1,255",+/-185,37.6%,+/-5.8,"1,167",+/-192,32.9%,+/-5.2
Native Hawaiian and Other Pacific Islander alone,125,+/-93,(X),(X),77,+/-50,(X),(X),48,+/-54,(X),(X)
High school graduate or higher,66,+/-41,52.8%,+/-30.6,37,+/-29,48.1%,+/-34.9,29,+/-37,60.4%,+/-45.3
Bachelor's degree or higher,10,+/-24,8.0%,+/-16.4,0,+/-27,0.0%,+/-31.1,10,+/-24,20.8%,+/-33.8
Some other race alone,"3,340",+/-526,(X),(X),"1,575",+/-265,(X),(X),"1,765",+/-303,(X),(X)
High school graduate or higher,"1,753",+/-340,52.5%,+/-6.3,836,+/-176,53.1%,+/-8.3,917,+/-239,52.0%,+/-9.4
Bachelor's degree or higher,260,+/-87,7.8%,+/-2.6,103,+/-61,6.5%,+/-3.8,157,+/-68,8.9%,+/-3.8
Two or more races,"3,740",+/-406,(X),(X),"1,921",+/-269,(X),(X),"1,819",+/-273,(X),(X)
High school graduate or higher,"3,359",+/-367,89.8%,+/-3.7,"1,639",+/-248,85.3%,+/-5.7,"1,720",+/-263,94.6%,+/-3.2
Bachelor's degree or higher,797,+/-247,21.3%,+/-5.5,343,+/-117,17.9%,+/-5.7,454,+/-172,25.0%,+/-7.2
Hispanic or Latino Origin,"12,291",*****,(X),(X),"6,267",*****,(X),(X),"6,024",*****,(X),(X)
High school graduate or higher,"7,450",+/-374,60.6%,+/-3.0,"3,626",+/-248,57.9%,+/-3.9,"3,824",+/-275,63.5%,+/-4.6
Bachelor's degree or higher,"1,363",+/-202,11.1%,+/-1.6,504,+/-137,8.0%,+/-2.2,859,+/-154,14.3%,+/-2.6
