Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,409",+/-134,(X),(X),"3,317",+/-84,(X),(X),"3,092",+/-98,(X),(X)
Less than high school graduate,"1,220",+/-254,19.0%,+/-3.9,609,+/-176,18.4%,+/-5.3,611,+/-211,19.8%,+/-6.6
High school graduate (includes equivalency),"2,711",+/-312,42.3%,+/-5.0,"1,617",+/-224,48.7%,+/-6.9,"1,094",+/-223,35.4%,+/-7.3
Some college or associate's degree,"1,667",+/-262,26.0%,+/-4.1,747,+/-175,22.5%,+/-5.3,920,+/-187,29.8%,+/-6.1
Bachelor's degree or higher,811,+/-249,12.7%,+/-3.8,344,+/-125,10.4%,+/-3.6,467,+/-172,15.1%,+/-5.6
Population 25 years and over,"53,618",+/-133,(X),(X),"26,354",+/-135,(X),(X),"27,264",+/-123,(X),(X)
Less than 9th grade,"1,710",+/-341,3.2%,+/-0.6,825,+/-195,3.1%,+/-0.7,885,+/-230,3.2%,+/-0.8
"9th to 12th grade, no diploma","3,511",+/-419,6.5%,+/-0.8,"1,709",+/-236,6.5%,+/-0.9,"1,802",+/-283,6.6%,+/-1.0
High school graduate (includes equivalency),"18,380",+/-672,34.3%,+/-1.2,"9,352",+/-496,35.5%,+/-1.9,"9,028",+/-480,33.1%,+/-1.8
"Some college, no degree","9,639",+/-498,18.0%,+/-0.9,"4,355",+/-371,16.5%,+/-1.4,"5,284",+/-383,19.4%,+/-1.4
Associate's degree,"4,599",+/-495,8.6%,+/-0.9,"1,672",+/-274,6.3%,+/-1.0,"2,927",+/-340,10.7%,+/-1.2
Bachelor's degree,"9,697",+/-525,18.1%,+/-1.0,"5,031",+/-336,19.1%,+/-1.3,"4,666",+/-376,17.1%,+/-1.4
Graduate or professional degree,"6,082",+/-431,11.3%,+/-0.8,"3,410",+/-316,12.9%,+/-1.2,"2,672",+/-271,9.8%,+/-1.0
Percent high school graduate or higher,(X),(X),90.3%,+/-0.9,(X),(X),90.4%,+/-1.1,(X),(X),90.1%,+/-1.1
Percent bachelor's degree or higher,(X),(X),29.4%,+/-1.1,(X),(X),32.0%,+/-1.5,(X),(X),26.9%,+/-1.6
Population 25 to 34 years,"10,695",+/-166,(X),(X),"5,782",+/-86,(X),(X),"4,913",+/-130,(X),(X)
High school graduate or higher,"9,815",+/-243,91.8%,+/-2.0,"5,287",+/-173,91.4%,+/-2.6,"4,528",+/-157,92.2%,+/-2.6
Bachelor's degree or higher,"4,316",+/-376,40.4%,+/-3.3,"2,377",+/-228,41.1%,+/-3.9,"1,939",+/-226,39.5%,+/-4.3
Population 35 to 44 years,"10,624",+/-222,(X),(X),"5,379",+/-130,(X),(X),"5,245",+/-163,(X),(X)
High school graduate or higher,"9,748",+/-273,91.8%,+/-1.8,"4,917",+/-186,91.4%,+/-3.5,"4,831",+/-165,92.1%,+/-2.4
Bachelor's degree or higher,"3,197",+/-342,30.1%,+/-3.3,"1,697",+/-221,31.5%,+/-4.0,"1,500",+/-239,28.6%,+/-4.7
Population 45 to 64 years,"20,569",+/-237,(X),(X),"10,055",+/-169,(X),(X),"10,514",+/-175,(X),(X)
High school graduate or higher,"18,980",+/-303,92.3%,+/-1.2,"9,210",+/-199,91.6%,+/-1.7,"9,770",+/-197,92.9%,+/-1.9
Bachelor's degree or higher,"6,124",+/-411,29.8%,+/-1.9,"3,174",+/-283,31.6%,+/-2.8,"2,950",+/-279,28.1%,+/-2.7
Population 65 years and over,"11,730",+/-92,(X),(X),"5,138",+/-83,(X),(X),"6,592",+/-48,(X),(X)
High school graduate or higher,"9,854",+/-303,84.0%,+/-2.4,"4,406",+/-165,85.8%,+/-2.9,"5,448",+/-210,82.6%,+/-3.1
Bachelor's degree or higher,"2,142",+/-238,18.3%,+/-2.0,"1,193",+/-159,23.2%,+/-3.0,949,+/-134,14.4%,+/-2.0
