RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"47,465",+/-280,(X),(X),"22,888",+/-210,(X),(X),"24,577",+/-121,(X),(X)
High school graduate or higher,"43,201",+/-417,91.0%,+/-0.9,"20,816",+/-270,90.9%,+/-1.2,"22,385",+/-267,91.1%,+/-1.1
Bachelor's degree or higher,"12,762",+/-560,26.9%,+/-1.2,"6,524",+/-391,28.5%,+/-1.7,"6,238",+/-401,25.4%,+/-1.6
"White alone, not Hispanic or Latino","46,651",+/-52,(X),(X),"22,350",+/-27,(X),(X),"24,301",+/-34,(X),(X)
High school graduate or higher,"42,657",+/-415,91.4%,+/-0.9,"20,472",+/-262,91.6%,+/-1.2,"22,185",+/-269,91.3%,+/-1.1
Bachelor's degree or higher,"12,573",+/-567,27.0%,+/-1.2,"6,397",+/-397,28.6%,+/-1.8,"6,176",+/-400,25.4%,+/-1.6
Black alone,"1,056",+/-114,(X),(X),611,+/-80,(X),(X),445,+/-64,(X),(X)
High school graduate or higher,926,+/-105,87.7%,+/-6.9,497,+/-82,81.3%,+/-11.6,429,+/-67,96.4%,+/-4.3
Bachelor's degree or higher,286,+/-124,27.1%,+/-11.1,240,+/-95,39.3%,+/-13.7,46,+/-48,10.3%,+/-11.0
American Indian or Alaska Native alone,87,+/-66,(X),(X),0,+/-27,(X),(X),87,+/-66,(X),(X)
High school graduate or higher,78,+/-64,89.7%,+/-19.6,0,+/-27,-,**,78,+/-64,89.7%,+/-19.6
Bachelor's degree or higher,0,+/-27,0.0%,+/-28.4,0,+/-27,-,**,0,+/-27,0.0%,+/-28.4
Asian alone,"2,794",+/-112,(X),(X),"1,604",+/-90,(X),(X),"1,190",+/-50,(X),(X)
High school graduate or higher,"2,794",+/-112,100.0%,+/-1.1,"1,604",+/-90,100.0%,+/-1.9,"1,190",+/-50,100.0%,+/-2.5
Bachelor's degree or higher,"2,394",+/-166,85.7%,+/-5.0,"1,474",+/-119,91.9%,+/-6.3,920,+/-113,77.3%,+/-8.7
Native Hawaiian and Other Pacific Islander alone,29,+/-16,(X),(X),15,+/-11,(X),(X),14,+/-19,(X),(X)
High school graduate or higher,29,+/-16,100.0%,+/-52.9,15,+/-11,100.0%,+/-73.6,14,+/-19,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-52.9,0,+/-27,0.0%,+/-73.6,0,+/-27,0.0%,+/-76.1
Some other race alone,"1,624",+/-244,(X),(X),914,+/-184,(X),(X),710,+/-147,(X),(X)
High school graduate or higher,845,+/-234,52.0%,+/-13.5,585,+/-183,64.0%,+/-17.2,260,+/-112,36.6%,+/-15.7
Bachelor's degree or higher,118,+/-93,7.3%,+/-5.6,68,+/-63,7.4%,+/-6.9,50,+/-42,7.0%,+/-5.7
Two or more races,563,+/-169,(X),(X),322,+/-122,(X),(X),241,+/-90,(X),(X)
High school graduate or higher,524,+/-158,93.1%,+/-5.8,303,+/-119,94.1%,+/-7.1,221,+/-80,91.7%,+/-9.5
Bachelor's degree or higher,219,+/-120,38.9%,+/-14.9,135,+/-93,41.9%,+/-19.7,84,+/-55,34.9%,+/-18.1
Hispanic or Latino Origin,"2,433",+/-91,(X),(X),"1,474",+/-92,(X),(X),959,+/-119,(X),(X)
High school graduate or higher,"1,384",+/-296,56.9%,+/-11.5,951,+/-202,64.5%,+/-13.6,433,+/-159,45.2%,+/-15.8
Bachelor's degree or higher,292,+/-147,12.0%,+/-6.0,204,+/-111,13.8%,+/-7.3,88,+/-63,9.2%,+/-6.7
