Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,665,+/-37,(X),(X),360,+/-21,(X),(X),305,+/-30,(X),(X)
Less than high school graduate,117,+/-44,17.6%,+/-6.8,61,+/-26,16.9%,+/-7.6,56,+/-29,18.4%,+/-9.7
High school graduate (includes equivalency),310,+/-51,46.6%,+/-7.3,164,+/-39,45.6%,+/-10.5,146,+/-33,47.9%,+/-12.3
Some college or associate's degree,220,+/-58,33.1%,+/-8.1,121,+/-43,33.6%,+/-11.1,99,+/-47,32.5%,+/-13.4
Bachelor's degree or higher,18,+/-15,2.7%,+/-2.3,14,+/-12,3.9%,+/-3.3,4,+/-6,1.3%,+/-2.0
Population 25 years and over,"5,892",+/-36,(X),(X),"2,835",+/-26,(X),(X),"3,057",+/-31,(X),(X)
Less than 9th grade,102,+/-33,1.7%,+/-0.6,51,+/-25,1.8%,+/-0.9,51,+/-23,1.7%,+/-0.8
"9th to 12th grade, no diploma",549,+/-99,9.3%,+/-1.7,262,+/-57,9.2%,+/-2.0,287,+/-70,9.4%,+/-2.3
High school graduate (includes equivalency),"2,662",+/-173,45.2%,+/-2.9,"1,300",+/-104,45.9%,+/-3.6,"1,362",+/-119,44.6%,+/-3.9
"Some college, no degree","1,102",+/-136,18.7%,+/-2.3,578,+/-95,20.4%,+/-3.3,524,+/-83,17.1%,+/-2.7
Associate's degree,479,+/-81,8.1%,+/-1.4,220,+/-49,7.8%,+/-1.7,259,+/-60,8.5%,+/-2.0
Bachelor's degree,709,+/-110,12.0%,+/-1.9,294,+/-66,10.4%,+/-2.3,415,+/-76,13.6%,+/-2.5
Graduate or professional degree,289,+/-69,4.9%,+/-1.2,130,+/-44,4.6%,+/-1.6,159,+/-50,5.2%,+/-1.6
Percent high school graduate or higher,(X),(X),89.0%,+/-1.8,(X),(X),89.0%,+/-2.1,(X),(X),88.9%,+/-2.5
Percent bachelor's degree or higher,(X),(X),16.9%,+/-1.9,(X),(X),15.0%,+/-2.7,(X),(X),18.8%,+/-2.5
Population 25 to 34 years,986,+/-37,(X),(X),502,+/-17,(X),(X),484,+/-27,(X),(X)
High school graduate or higher,847,+/-50,85.9%,+/-5.1,436,+/-32,86.9%,+/-6.0,411,+/-38,84.9%,+/-7.8
Bachelor's degree or higher,195,+/-44,19.8%,+/-4.6,85,+/-29,16.9%,+/-5.8,110,+/-32,22.7%,+/-6.8
Population 35 to 44 years,"1,041",+/-31,(X),(X),506,+/-17,(X),(X),535,+/-22,(X),(X)
High school graduate or higher,900,+/-50,86.5%,+/-4.6,402,+/-39,79.4%,+/-8.2,498,+/-23,93.1%,+/-4.3
Bachelor's degree or higher,238,+/-60,22.9%,+/-5.8,80,+/-29,15.8%,+/-5.7,158,+/-47,29.5%,+/-9.0
Population 45 to 64 years,"2,461",+/-40,(X),(X),"1,219",+/-19,(X),(X),"1,242",+/-32,(X),(X)
High school graduate or higher,"2,270",+/-52,92.2%,+/-2.1,"1,154",+/-32,94.7%,+/-2.3,"1,116",+/-37,89.9%,+/-3.1
Bachelor's degree or higher,374,+/-71,15.2%,+/-2.9,158,+/-52,13.0%,+/-4.3,216,+/-52,17.4%,+/-4.2
Population 65 years and over,"1,404",+/-17,(X),(X),608,+/-16,(X),(X),796,+/-9,(X),(X)
High school graduate or higher,"1,224",+/-54,87.2%,+/-3.7,530,+/-31,87.2%,+/-4.0,694,+/-45,87.2%,+/-5.6
Bachelor's degree or higher,191,+/-59,13.6%,+/-4.2,101,+/-39,16.6%,+/-6.4,90,+/-37,11.3%,+/-4.7
