RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"5,726",+/-23,(X),(X),"2,750",+/-21,(X),(X),"2,976",+/-17,(X),(X)
High school graduate or higher,"5,135",+/-94,89.7%,+/-1.6,"2,452",+/-68,89.2%,+/-2.5,"2,683",+/-68,90.2%,+/-2.3
Bachelor's degree or higher,954,+/-120,16.7%,+/-2.1,382,+/-67,13.9%,+/-2.4,572,+/-93,19.2%,+/-3.1
"White alone, not Hispanic or Latino","5,524",+/-16,(X),(X),"2,640",+/-16,(X),(X),"2,884",+/-16,(X),(X)
High school graduate or higher,"5,022",+/-94,90.9%,+/-1.7,"2,397",+/-68,90.8%,+/-2.6,"2,625",+/-66,91.0%,+/-2.3
Bachelor's degree or higher,949,+/-119,17.2%,+/-2.2,379,+/-67,14.4%,+/-2.5,570,+/-92,19.8%,+/-3.2
Black alone,41,+/-22,(X),(X),17,+/-11,(X),(X),24,+/-14,(X),(X)
High school graduate or higher,34,+/-20,82.9%,+/-20.5,17,+/-11,100.0%,+/-69.1,17,+/-16,70.8%,+/-38.5
Bachelor's degree or higher,8,+/-8,19.5%,+/-15.8,8,+/-8,47.1%,+/-45.0,0,+/-16,0.0%,+/-58.2
American Indian or Alaska Native alone,1,+/-2,(X),(X),1,+/-2,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,1,+/-2,100.0%,+/-100.0,1,+/-2,100.0%,+/-100.0,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**
Asian alone,12,+/-14,(X),(X),6,+/-7,(X),(X),6,+/-7,(X),(X)
High school graduate or higher,8,+/-9,66.7%,+/-26.3,2,+/-3,33.3%,+/-52.0,6,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,8,+/-9,66.7%,+/-26.3,2,+/-3,33.3%,+/-52.0,6,+/-7,100.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,10,+/-11,(X),(X),10,+/-11,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,9,+/-11,90.0%,+/-24.9,9,+/-11,90.0%,+/-24.9,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-90.1,0,+/-16,0.0%,+/-90.1,0,+/-16,-,**
Two or more races,51,+/-18,(X),(X),30,+/-18,(X),(X),21,+/-11,(X),(X)
High school graduate or higher,39,+/-15,76.5%,+/-17.8,20,+/-16,66.7%,+/-26.7,19,+/-10,90.5%,+/-14.4
Bachelor's degree or higher,10,+/-9,19.6%,+/-17.1,2,+/-4,6.7%,+/-11.4,8,+/-9,38.1%,+/-31.1
Hispanic or Latino Origin,212,+/-21,(X),(X),120,+/-20,(X),(X),92,+/-17,(X),(X)
High school graduate or higher,122,+/-33,57.5%,+/-12.5,64,+/-22,53.3%,+/-15.0,58,+/-18,63.0%,+/-20.3
Bachelor's degree or higher,5,+/-6,2.4%,+/-2.7,3,+/-5,2.5%,+/-3.9,2,+/-4,2.2%,+/-4.1
