Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,975,+/-39,(X),(X),506,+/-29,(X),(X),469,+/-29,(X),(X)
Less than high school graduate,183,+/-52,18.8%,+/-5.3,119,+/-45,23.5%,+/-9.0,64,+/-38,13.6%,+/-8.2
High school graduate (includes equivalency),464,+/-85,47.6%,+/-8.8,249,+/-60,49.2%,+/-11.5,215,+/-52,45.8%,+/-11.7
Some college or associate's degree,312,+/-81,32.0%,+/-7.9,138,+/-62,27.3%,+/-11.9,174,+/-51,37.1%,+/-9.6
Bachelor's degree or higher,16,+/-13,1.6%,+/-1.4,0,+/-18,0.0%,+/-5.8,16,+/-13,3.4%,+/-2.9
Population 25 years and over,"8,739",+/-54,(X),(X),"4,180",+/-39,(X),(X),"4,559",+/-30,(X),(X)
Less than 9th grade,379,+/-104,4.3%,+/-1.2,182,+/-59,4.4%,+/-1.4,197,+/-79,4.3%,+/-1.7
"9th to 12th grade, no diploma",886,+/-141,10.1%,+/-1.6,473,+/-103,11.3%,+/-2.5,413,+/-110,9.1%,+/-2.4
High school graduate (includes equivalency),"4,325",+/-229,49.5%,+/-2.6,"2,095",+/-144,50.1%,+/-3.3,"2,230",+/-174,48.9%,+/-3.8
"Some college, no degree","1,519",+/-183,17.4%,+/-2.1,768,+/-129,18.4%,+/-3.1,751,+/-125,16.5%,+/-2.7
Associate's degree,745,+/-130,8.5%,+/-1.5,288,+/-77,6.9%,+/-1.9,457,+/-107,10.0%,+/-2.3
Bachelor's degree,575,+/-107,6.6%,+/-1.2,221,+/-59,5.3%,+/-1.4,354,+/-80,7.8%,+/-1.7
Graduate or professional degree,310,+/-94,3.5%,+/-1.1,153,+/-55,3.7%,+/-1.3,157,+/-64,3.4%,+/-1.4
Percent high school graduate or higher,(X),(X),85.5%,+/-2.1,(X),(X),84.3%,+/-2.7,(X),(X),86.6%,+/-3.1
Percent bachelor's degree or higher,(X),(X),10.1%,+/-1.7,(X),(X),8.9%,+/-1.9,(X),(X),11.2%,+/-2.4
Population 25 to 34 years,"1,270",+/-32,(X),(X),629,+/-17,(X),(X),641,+/-25,(X),(X)
High school graduate or higher,"1,169",+/-66,92.0%,+/-4.4,564,+/-49,89.7%,+/-7.3,605,+/-41,94.4%,+/-4.2
Bachelor's degree or higher,154,+/-57,12.1%,+/-4.6,33,+/-30,5.2%,+/-4.7,121,+/-46,18.9%,+/-7.5
Population 35 to 44 years,"1,460",+/-42,(X),(X),745,+/-40,(X),(X),715,+/-12,(X),(X)
High school graduate or higher,"1,304",+/-86,89.3%,+/-5.4,631,+/-69,84.7%,+/-8.5,673,+/-35,94.1%,+/-4.4
Bachelor's degree or higher,167,+/-72,11.4%,+/-4.9,60,+/-36,8.1%,+/-5.0,107,+/-48,15.0%,+/-6.7
Population 45 to 64 years,"3,583",+/-55,(X),(X),"1,778",+/-31,(X),(X),"1,805",+/-31,(X),(X)
High school graduate or higher,"3,149",+/-116,87.9%,+/-2.9,"1,573",+/-67,88.5%,+/-3.6,"1,576",+/-94,87.3%,+/-4.8
Bachelor's degree or higher,364,+/-95,10.2%,+/-2.6,185,+/-61,10.4%,+/-3.5,179,+/-58,9.9%,+/-3.2
Population 65 years and over,"2,426",+/-36,(X),(X),"1,028",+/-15,(X),(X),"1,398",+/-35,(X),(X)
High school graduate or higher,"1,852",+/-114,76.3%,+/-4.7,757,+/-72,73.6%,+/-6.8,"1,095",+/-91,78.3%,+/-6.5
Bachelor's degree or higher,200,+/-66,8.2%,+/-2.7,96,+/-37,9.3%,+/-3.6,104,+/-59,7.4%,+/-4.2
