RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"8,584",+/-41,(X),(X),"4,104",+/-25,(X),(X),"4,480",+/-29,(X),(X)
High school graduate or higher,"7,365",+/-185,85.8%,+/-2.1,"3,472",+/-117,84.6%,+/-2.8,"3,893",+/-142,86.9%,+/-3.1
Bachelor's degree or higher,885,+/-150,10.3%,+/-1.7,374,+/-80,9.1%,+/-2.0,511,+/-108,11.4%,+/-2.4
"White alone, not Hispanic or Latino","8,484",+/-3,(X),(X),"4,064",+/-3,(X),(X),"4,420",+/-18,(X),(X)
High school graduate or higher,"7,274",+/-179,85.7%,+/-2.1,"3,432",+/-115,84.4%,+/-2.8,"3,842",+/-139,86.9%,+/-3.1
Bachelor's degree or higher,885,+/-150,10.4%,+/-1.8,374,+/-80,9.2%,+/-2.0,511,+/-108,11.6%,+/-2.4
Black alone,43,+/-22,(X),(X),43,+/-22,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,29,+/-21,67.4%,+/-54.0,29,+/-21,67.4%,+/-54.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-43.5,0,+/-18,0.0%,+/-43.5,0,+/-18,-,**
American Indian or Alaska Native alone,8,+/-12,(X),(X),4,+/-6,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,8,+/-12,100.0%,+/-100.0,4,+/-6,100.0%,+/-100.0,4,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0
Asian alone,31,+/-22,(X),(X),0,+/-18,(X),(X),31,+/-22,(X),(X)
High school graduate or higher,8,+/-12,25.8%,+/-41.6,0,+/-18,-,**,8,+/-12,25.8%,+/-41.6
Bachelor's degree or higher,0,+/-18,0.0%,+/-51.2,0,+/-18,-,**,0,+/-18,0.0%,+/-51.2
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,2,+/-3,(X),(X),2,+/-3,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,2,+/-3,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**
Two or more races,71,+/-46,(X),(X),27,+/-30,(X),(X),44,+/-28,(X),(X)
High school graduate or higher,62,+/-42,87.3%,+/-22.6,18,+/-24,66.7%,+/-49.1,44,+/-28,100.0%,+/-43.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-33.0,0,+/-18,0.0%,+/-54.8,0,+/-18,0.0%,+/-43.0
Hispanic or Latino Origin,100,+/-41,(X),(X),40,+/-25,(X),(X),60,+/-29,(X),(X)
High school graduate or higher,91,+/-42,91.0%,+/-16.9,40,+/-25,100.0%,+/-45.1,51,+/-26,85.0%,+/-24.4
Bachelor's degree or higher,0,+/-18,0.0%,+/-25.5,0,+/-18,0.0%,+/-45.1,0,+/-18,0.0%,+/-36.7
