RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"37,835",+/-98,(X),(X),"18,241",+/-54,(X),(X),"19,594",+/-90,(X),(X)
High school graduate or higher,"35,303",+/-359,93.3%,+/-0.9,"16,906",+/-228,92.7%,+/-1.3,"18,397",+/-249,93.9%,+/-1.1
Bachelor's degree or higher,"15,952",+/-661,42.2%,+/-1.7,"7,930",+/-444,43.5%,+/-2.4,"8,022",+/-424,40.9%,+/-2.2
"White alone, not Hispanic or Latino","37,139",+/-38,(X),(X),"17,818",+/-25,(X),(X),"19,321",+/-25,(X),(X)
High school graduate or higher,"34,723",+/-338,93.5%,+/-0.9,"16,581",+/-220,93.1%,+/-1.2,"18,142",+/-225,93.9%,+/-1.1
Bachelor's degree or higher,"15,667",+/-669,42.2%,+/-1.8,"7,738",+/-436,43.4%,+/-2.4,"7,929",+/-435,41.0%,+/-2.3
Black alone,492,+/-88,(X),(X),221,+/-76,(X),(X),271,+/-63,(X),(X)
High school graduate or higher,463,+/-92,94.1%,+/-7.8,217,+/-76,98.2%,+/-3.4,246,+/-64,90.8%,+/-13.8
Bachelor's degree or higher,172,+/-94,35.0%,+/-19.6,113,+/-72,51.1%,+/-31.7,59,+/-49,21.8%,+/-17.8
American Indian or Alaska Native alone,123,+/-78,(X),(X),23,+/-29,(X),(X),100,+/-81,(X),(X)
High school graduate or higher,105,+/-80,85.4%,+/-28.3,23,+/-29,100.0%,+/-59.4,82,+/-83,82.0%,+/-37.0
Bachelor's degree or higher,23,+/-28,18.7%,+/-28.6,6,+/-10,26.1%,+/-54.3,17,+/-28,17.0%,+/-35.1
Asian alone,893,+/-77,(X),(X),414,+/-76,(X),(X),479,+/-77,(X),(X)
High school graduate or higher,874,+/-83,97.9%,+/-2.7,412,+/-76,99.5%,+/-0.9,462,+/-76,96.5%,+/-4.7
Bachelor's degree or higher,710,+/-137,79.5%,+/-13.3,325,+/-89,78.5%,+/-14.9,385,+/-78,80.4%,+/-13.6
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,102,+/-64,(X),(X),50,+/-42,(X),(X),52,+/-43,(X),(X)
High school graduate or higher,65,+/-50,63.7%,+/-32.0,25,+/-25,50.0%,+/-48.3,40,+/-39,76.9%,+/-37.4
Bachelor's degree or higher,46,+/-43,45.1%,+/-32.2,13,+/-21,26.0%,+/-41.6,33,+/-37,63.5%,+/-41.1
Two or more races,468,+/-159,(X),(X),273,+/-111,(X),(X),195,+/-116,(X),(X)
High school graduate or higher,444,+/-158,94.9%,+/-6.7,273,+/-111,100.0%,+/-10.4,171,+/-117,87.7%,+/-17.2
Bachelor's degree or higher,149,+/-88,31.8%,+/-19.5,117,+/-75,42.9%,+/-23.9,32,+/-36,16.4%,+/-21.5
Hispanic or Latino Origin,877,+/-38,(X),(X),469,+/-30,(X),(X),408,+/-39,(X),(X)
High school graduate or higher,704,+/-108,80.3%,+/-11.0,346,+/-83,73.8%,+/-17.8,358,+/-62,87.7%,+/-11.0
Bachelor's degree or higher,332,+/-134,37.9%,+/-15.1,211,+/-96,45.0%,+/-20.7,121,+/-66,29.7%,+/-16.0
