Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,971,+/-18,(X),(X),490,+/-16,(X),(X),481,+/-11,(X),(X)
Less than high school graduate,243,+/-82,25.0%,+/-8.4,118,+/-50,24.1%,+/-10.0,125,+/-63,26.0%,+/-13.0
High school graduate (includes equivalency),287,+/-94,29.6%,+/-9.6,139,+/-62,28.4%,+/-12.7,148,+/-59,30.8%,+/-12.2
Some college or associate's degree,336,+/-99,34.6%,+/-10.2,165,+/-65,33.7%,+/-13.5,171,+/-69,35.6%,+/-14.4
Bachelor's degree or higher,105,+/-86,10.8%,+/-8.9,68,+/-77,13.9%,+/-15.8,37,+/-32,7.7%,+/-6.7
Population 25 years and over,"11,036",+/-113,(X),(X),"5,487",+/-83,(X),(X),"5,549",+/-74,(X),(X)
Less than 9th grade,217,+/-92,2.0%,+/-0.8,127,+/-69,2.3%,+/-1.2,90,+/-55,1.6%,+/-1.0
"9th to 12th grade, no diploma",910,+/-198,8.2%,+/-1.8,469,+/-136,8.5%,+/-2.5,441,+/-115,7.9%,+/-2.0
High school graduate (includes equivalency),"4,185",+/-417,37.9%,+/-3.8,"2,195",+/-233,40.0%,+/-4.3,"1,990",+/-244,35.9%,+/-4.4
"Some college, no degree","2,349",+/-258,21.3%,+/-2.3,"1,149",+/-205,20.9%,+/-3.7,"1,200",+/-169,21.6%,+/-3.1
Associate's degree,914,+/-193,8.3%,+/-1.7,428,+/-114,7.8%,+/-2.1,486,+/-137,8.8%,+/-2.5
Bachelor's degree,"1,229",+/-191,11.1%,+/-1.7,510,+/-114,9.3%,+/-2.1,719,+/-137,13.0%,+/-2.5
Graduate or professional degree,"1,232",+/-210,11.2%,+/-1.9,609,+/-151,11.1%,+/-2.7,623,+/-131,11.2%,+/-2.3
Percent high school graduate or higher,(X),(X),89.8%,+/-2.0,(X),(X),89.1%,+/-2.7,(X),(X),90.4%,+/-2.1
Percent bachelor's degree or higher,(X),(X),22.3%,+/-2.5,(X),(X),20.4%,+/-3.5,(X),(X),24.2%,+/-2.8
Population 25 to 34 years,"1,243",+/-21,(X),(X),632,+/-15,(X),(X),611,+/-17,(X),(X)
High school graduate or higher,"1,170",+/-54,94.1%,+/-3.9,577,+/-47,91.3%,+/-6.9,593,+/-27,97.1%,+/-3.7
Bachelor's degree or higher,233,+/-70,18.7%,+/-5.6,39,+/-30,6.2%,+/-4.8,194,+/-66,31.8%,+/-10.7
Population 35 to 44 years,"1,657",+/-45,(X),(X),887,+/-45,(X),(X),770,+/-18,(X),(X)
High school graduate or higher,"1,496",+/-94,90.3%,+/-5.8,769,+/-68,86.7%,+/-8.1,727,+/-44,94.4%,+/-5.7
Bachelor's degree or higher,475,+/-121,28.7%,+/-7.4,223,+/-87,25.1%,+/-9.8,252,+/-92,32.7%,+/-11.9
Population 45 to 64 years,"5,097",+/-79,(X),(X),"2,509",+/-49,(X),(X),"2,588",+/-50,(X),(X)
High school graduate or higher,"4,718",+/-128,92.6%,+/-2.2,"2,317",+/-101,92.3%,+/-3.4,"2,401",+/-69,92.8%,+/-2.6
Bachelor's degree or higher,"1,142",+/-171,22.4%,+/-3.3,516,+/-120,20.6%,+/-4.8,626,+/-101,24.2%,+/-3.9
Population 65 years and over,"3,039",+/-57,(X),(X),"1,459",+/-18,(X),(X),"1,580",+/-54,(X),(X)
High school graduate or higher,"2,525",+/-145,83.1%,+/-4.8,"1,228",+/-105,84.2%,+/-7.4,"1,297",+/-73,82.1%,+/-4.9
Bachelor's degree or higher,611,+/-115,20.1%,+/-3.8,341,+/-91,23.4%,+/-6.3,270,+/-74,17.1%,+/-4.7
