RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,809",+/-56,(X),(X),"5,387",+/-48,(X),(X),"5,422",+/-38,(X),(X)
High school graduate or higher,"9,726",+/-207,90.0%,+/-1.9,"4,786",+/-140,88.8%,+/-2.5,"4,940",+/-109,91.1%,+/-2.0
Bachelor's degree or higher,"2,572",+/-295,23.8%,+/-2.7,"1,216",+/-172,22.6%,+/-3.2,"1,356",+/-203,25.0%,+/-3.8
"White alone, not Hispanic or Latino","10,722",+/-15,(X),(X),"5,326",+/-18,(X),(X),"5,396",+/-15,(X),(X)
High school graduate or higher,"9,664",+/-212,90.1%,+/-1.9,"4,750",+/-138,89.2%,+/-2.6,"4,914",+/-112,91.1%,+/-2.0
Bachelor's degree or higher,"2,560",+/-295,23.9%,+/-2.8,"1,216",+/-172,22.8%,+/-3.2,"1,344",+/-203,24.9%,+/-3.8
Black alone,20,+/-23,(X),(X),9,+/-14,(X),(X),11,+/-18,(X),(X)
High school graduate or higher,18,+/-23,90.0%,+/-23.4,9,+/-14,100.0%,+/-95.0,9,+/-17,81.8%,+/-48.6
Bachelor's degree or higher,12,+/-19,60.0%,+/-52.5,3,+/-7,33.3%,+/-66.7,9,+/-17,81.8%,+/-48.6
American Indian or Alaska Native alone,10,+/-19,(X),(X),0,+/-18,(X),(X),10,+/-19,(X),(X)
High school graduate or higher,10,+/-19,100.0%,+/-90.1,0,+/-18,-,**,10,+/-19,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-18,0.0%,+/-90.1,0,+/-18,-,**,0,+/-18,0.0%,+/-90.1
Asian alone,44,+/-57,(X),(X),0,+/-18,(X),(X),44,+/-57,(X),(X)
High school graduate or higher,17,+/-28,38.6%,+/-53.9,0,+/-18,-,**,17,+/-28,38.6%,+/-53.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-43.0,0,+/-18,-,**,0,+/-18,0.0%,+/-43.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,5,+/-9,(X),(X),0,+/-18,(X),(X),5,+/-9,(X),(X)
High school graduate or higher,5,+/-9,100.0%,+/-100.0,0,+/-18,-,**,5,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Two or more races,137,+/-61,(X),(X),64,+/-53,(X),(X),73,+/-36,(X),(X)
High school graduate or higher,98,+/-44,71.5%,+/-22.6,41,+/-31,64.1%,+/-26.3,57,+/-33,78.1%,+/-31.3
Bachelor's degree or higher,4,+/-8,2.9%,+/-6.1,4,+/-8,6.3%,+/-13.8,0,+/-18,0.0%,+/-32.3
Hispanic or Latino Origin,107,+/-55,(X),(X),66,+/-49,(X),(X),41,+/-46,(X),(X)
High school graduate or higher,82,+/-40,76.6%,+/-33.4,41,+/-21,62.1%,+/-44.6,41,+/-46,100.0%,+/-44.5
Bachelor's degree or higher,12,+/-22,11.2%,+/-18.7,0,+/-18,0.0%,+/-34.6,12,+/-22,29.3%,+/-41.2
