Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,493",+/-40,(X),(X),797,+/-40,(X),(X),696,+/-18,(X),(X)
Less than high school graduate,339,+/-87,22.7%,+/-5.6,217,+/-64,27.2%,+/-7.5,122,+/-50,17.5%,+/-7.2
High school graduate (includes equivalency),531,+/-142,35.6%,+/-9.7,281,+/-76,35.3%,+/-9.7,250,+/-96,35.9%,+/-13.8
Some college or associate's degree,546,+/-131,36.6%,+/-8.7,276,+/-75,34.6%,+/-9.2,270,+/-81,38.8%,+/-11.6
Bachelor's degree or higher,77,+/-45,5.2%,+/-3.0,23,+/-24,2.9%,+/-3.0,54,+/-35,7.8%,+/-5.0
Population 25 years and over,"13,909",+/-40,(X),(X),"6,812",+/-54,(X),(X),"7,097",+/-42,(X),(X)
Less than 9th grade,479,+/-136,3.4%,+/-1.0,248,+/-91,3.6%,+/-1.3,231,+/-71,3.3%,+/-1.0
"9th to 12th grade, no diploma","1,101",+/-200,7.9%,+/-1.4,588,+/-123,8.6%,+/-1.8,513,+/-123,7.2%,+/-1.7
High school graduate (includes equivalency),"5,792",+/-350,41.6%,+/-2.5,"2,920",+/-211,42.9%,+/-3.1,"2,872",+/-238,40.5%,+/-3.3
"Some college, no degree","3,068",+/-271,22.1%,+/-2.0,"1,542",+/-177,22.6%,+/-2.6,"1,526",+/-204,21.5%,+/-2.9
Associate's degree,"1,211",+/-166,8.7%,+/-1.2,579,+/-130,8.5%,+/-1.9,632,+/-105,8.9%,+/-1.5
Bachelor's degree,"1,528",+/-200,11.0%,+/-1.4,558,+/-97,8.2%,+/-1.4,970,+/-158,13.7%,+/-2.2
Graduate or professional degree,730,+/-129,5.2%,+/-0.9,377,+/-100,5.5%,+/-1.5,353,+/-72,5.0%,+/-1.0
Percent high school graduate or higher,(X),(X),88.6%,+/-1.7,(X),(X),87.7%,+/-2.2,(X),(X),89.5%,+/-1.9
Percent bachelor's degree or higher,(X),(X),16.2%,+/-1.7,(X),(X),13.7%,+/-2.2,(X),(X),18.6%,+/-2.3
Population 25 to 34 years,"2,024",+/-49,(X),(X),"1,015",+/-34,(X),(X),"1,009",+/-37,(X),(X)
High school graduate or higher,"1,835",+/-77,90.7%,+/-3.6,922,+/-59,90.8%,+/-5.0,913,+/-39,90.5%,+/-4.4
Bachelor's degree or higher,322,+/-93,15.9%,+/-4.6,84,+/-42,8.3%,+/-4.1,238,+/-70,23.6%,+/-7.0
Population 35 to 44 years,"2,573",+/-70,(X),(X),"1,310",+/-48,(X),(X),"1,263",+/-43,(X),(X)
High school graduate or higher,"2,289",+/-111,89.0%,+/-4.8,"1,146",+/-85,87.5%,+/-7.1,"1,143",+/-53,90.5%,+/-4.3
Bachelor's degree or higher,389,+/-98,15.1%,+/-3.9,108,+/-50,8.2%,+/-3.8,281,+/-87,22.2%,+/-6.8
Population 45 to 64 years,"5,653",+/-57,(X),(X),"2,855",+/-27,(X),(X),"2,798",+/-49,(X),(X)
High school graduate or higher,"5,059",+/-149,89.5%,+/-2.3,"2,494",+/-92,87.4%,+/-3.3,"2,565",+/-84,91.7%,+/-2.2
Bachelor's degree or higher,"1,044",+/-168,18.5%,+/-3.0,476,+/-109,16.7%,+/-3.8,568,+/-101,20.3%,+/-3.6
Population 65 years and over,"3,659",+/-44,(X),(X),"1,632",+/-20,(X),(X),"2,027",+/-31,(X),(X)
High school graduate or higher,"3,146",+/-154,86.0%,+/-4.0,"1,414",+/-81,86.6%,+/-4.8,"1,732",+/-97,85.4%,+/-4.6
Bachelor's degree or higher,503,+/-112,13.7%,+/-3.0,267,+/-65,16.4%,+/-4.0,236,+/-75,11.6%,+/-3.7
