RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,455",+/-90,(X),(X),"6,605",+/-50,(X),(X),"6,850",+/-51,(X),(X)
High school graduate or higher,"12,029",+/-225,89.4%,+/-1.7,"5,840",+/-145,88.4%,+/-2.1,"6,189",+/-137,90.4%,+/-2.1
Bachelor's degree or higher,"2,167",+/-236,16.1%,+/-1.8,906,+/-146,13.7%,+/-2.2,"1,261",+/-161,18.4%,+/-2.4
"White alone, not Hispanic or Latino","13,256",+/-22,(X),(X),"6,514",+/-22,(X),(X),"6,742",+/-18,(X),(X)
High school graduate or higher,"11,894",+/-214,89.7%,+/-1.6,"5,756",+/-135,88.4%,+/-2.1,"6,138",+/-128,91.0%,+/-1.9
Bachelor's degree or higher,"2,154",+/-236,16.2%,+/-1.8,906,+/-146,13.9%,+/-2.2,"1,248",+/-162,18.5%,+/-2.4
Black alone,73,+/-39,(X),(X),28,+/-22,(X),(X),45,+/-30,(X),(X)
High school graduate or higher,63,+/-35,86.3%,+/-21.3,19,+/-16,67.9%,+/-48.4,44,+/-30,97.8%,+/-5.4
Bachelor's degree or higher,36,+/-32,49.3%,+/-35.5,10,+/-15,35.7%,+/-42.5,26,+/-20,57.8%,+/-46.3
American Indian or Alaska Native alone,53,+/-47,(X),(X),18,+/-21,(X),(X),35,+/-39,(X),(X)
High school graduate or higher,36,+/-38,67.9%,+/-47.5,10,+/-15,55.6%,+/-55.6,26,+/-36,74.3%,+/-46.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.1,0,+/-18,0.0%,+/-67.2,0,+/-18,0.0%,+/-48.2
Asian alone,17,+/-24,(X),(X),0,+/-18,(X),(X),17,+/-24,(X),(X)
High school graduate or higher,17,+/-24,100.0%,+/-69.1,0,+/-18,-,**,17,+/-24,100.0%,+/-69.1
Bachelor's degree or higher,17,+/-24,100.0%,+/-69.1,0,+/-18,-,**,17,+/-24,100.0%,+/-69.1
Native Hawaiian and Other Pacific Islander alone,4,+/-6,(X),(X),0,+/-18,(X),(X),4,+/-6,(X),(X)
High school graduate or higher,4,+/-6,100.0%,+/-100.0,0,+/-18,-,**,4,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Some other race alone,195,+/-101,(X),(X),122,+/-61,(X),(X),73,+/-48,(X),(X)
High school graduate or higher,78,+/-55,40.0%,+/-41.8,68,+/-51,55.7%,+/-46.6,10,+/-13,13.7%,+/-28.8
Bachelor's degree or higher,19,+/-21,9.7%,+/-14.1,19,+/-21,15.6%,+/-21.0,0,+/-18,0.0%,+/-32.3
Two or more races,112,+/-50,(X),(X),39,+/-37,(X),(X),73,+/-44,(X),(X)
High school graduate or higher,102,+/-48,91.1%,+/-11.7,39,+/-37,100.0%,+/-45.6,63,+/-46,86.3%,+/-21.8
Bachelor's degree or higher,19,+/-27,17.0%,+/-22.3,0,+/-18,0.0%,+/-45.6,19,+/-27,26.0%,+/-31.7
Hispanic or Latino Origin,438,+/-39,(X),(X),208,+/-41,(X),(X),230,+/-6,(X),(X)
High school graduate or higher,229,+/-97,52.3%,+/-22.6,139,+/-61,66.8%,+/-30.8,90,+/-50,39.1%,+/-21.3
Bachelor's degree or higher,32,+/-29,7.3%,+/-6.8,19,+/-21,9.1%,+/-10.3,13,+/-18,5.7%,+/-7.8
