RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"23,155",+/-198,(X),(X),"11,114",+/-113,(X),(X),"12,041",+/-109,(X),(X)
High school graduate or higher,"20,192",+/-318,87.2%,+/-1.4,"9,618",+/-209,86.5%,+/-1.9,"10,574",+/-193,87.8%,+/-1.6
Bachelor's degree or higher,"3,400",+/-289,14.7%,+/-1.2,"1,527",+/-175,13.7%,+/-1.6,"1,873",+/-205,15.6%,+/-1.7
"White alone, not Hispanic or Latino","22,493",+/-41,(X),(X),"10,772",+/-4,(X),(X),"11,721",+/-41,(X),(X)
High school graduate or higher,"19,840",+/-305,88.2%,+/-1.4,"9,443",+/-194,87.7%,+/-1.8,"10,397",+/-189,88.7%,+/-1.5
Bachelor's degree or higher,"3,371",+/-288,15.0%,+/-1.3,"1,500",+/-172,13.9%,+/-1.6,"1,871",+/-206,16.0%,+/-1.8
Black alone,297,+/-57,(X),(X),169,+/-85,(X),(X),128,+/-77,(X),(X)
High school graduate or higher,221,+/-52,74.4%,+/-14.3,109,+/-70,64.5%,+/-18.5,112,+/-76,87.5%,+/-22.1
Bachelor's degree or higher,97,+/-77,32.7%,+/-26.1,8,+/-11,4.7%,+/-6.1,89,+/-80,69.5%,+/-35.5
American Indian or Alaska Native alone,81,+/-36,(X),(X),30,+/-24,(X),(X),51,+/-31,(X),(X)
High school graduate or higher,81,+/-36,100.0%,+/-30.0,30,+/-24,100.0%,+/-52.0,51,+/-31,100.0%,+/-39.9
Bachelor's degree or higher,18,+/-21,22.2%,+/-23.5,0,+/-24,0.0%,+/-52.0,18,+/-21,35.3%,+/-38.3
Asian alone,372,+/-47,(X),(X),195,+/-29,(X),(X),177,+/-27,(X),(X)
High school graduate or higher,183,+/-78,49.2%,+/-17.3,64,+/-45,32.8%,+/-20.2,119,+/-46,67.2%,+/-21.4
Bachelor's degree or higher,52,+/-46,14.0%,+/-11.2,41,+/-36,21.0%,+/-16.8,11,+/-20,6.2%,+/-11.0
Native Hawaiian and Other Pacific Islander alone,45,+/-64,(X),(X),3,+/-6,(X),(X),42,+/-63,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-42.5,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-44.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-42.5,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-44.0
Some other race alone,"1,616",+/-236,(X),(X),941,+/-124,(X),(X),675,+/-135,(X),(X)
High school graduate or higher,600,+/-176,37.1%,+/-10.7,304,+/-91,32.3%,+/-10.0,296,+/-108,43.9%,+/-14.2
Bachelor's degree or higher,90,+/-64,5.6%,+/-3.9,7,+/-11,0.7%,+/-1.1,83,+/-64,12.3%,+/-9.5
Two or more races,272,+/-127,(X),(X),142,+/-69,(X),(X),130,+/-70,(X),(X)
High school graduate or higher,126,+/-57,46.3%,+/-25.9,61,+/-34,43.0%,+/-25.0,65,+/-39,50.0%,+/-32.5
Bachelor's degree or higher,2,+/-6,0.7%,+/-2.4,2,+/-6,1.4%,+/-4.4,0,+/-24,0.0%,+/-20.4
Hispanic or Latino Origin,"2,459",*****,(X),(X),"1,357",*****,(X),(X),"1,102",*****,(X),(X)
High school graduate or higher,952,+/-195,38.7%,+/-7.9,479,+/-107,35.3%,+/-7.9,473,+/-112,42.9%,+/-10.1
Bachelor's degree or higher,112,+/-74,4.6%,+/-3.0,34,+/-40,2.5%,+/-2.9,78,+/-65,7.1%,+/-5.9
