Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,253",+/-100,(X),(X),"1,820",+/-76,(X),(X),"1,433",+/-38,(X),(X)
Less than high school graduate,992,+/-176,30.5%,+/-5.2,615,+/-144,33.8%,+/-7.8,377,+/-103,26.3%,+/-7.0
High school graduate (includes equivalency),"1,148",+/-173,35.3%,+/-5.3,635,+/-144,34.9%,+/-7.9,513,+/-116,35.8%,+/-8.1
Some college or associate's degree,"1,070",+/-188,32.9%,+/-5.8,570,+/-145,31.3%,+/-7.8,500,+/-105,34.9%,+/-7.4
Bachelor's degree or higher,43,+/-30,1.3%,+/-0.9,0,+/-24,0.0%,+/-1.6,43,+/-30,3.0%,+/-2.1
Population 25 years and over,"25,871",+/-98,(X),(X),"12,650",+/-107,(X),(X),"13,221",+/-70,(X),(X)
Less than 9th grade,"1,717",+/-252,6.6%,+/-1.0,"1,069",+/-186,8.5%,+/-1.5,648,+/-138,4.9%,+/-1.0
"9th to 12th grade, no diploma","2,728",+/-341,10.5%,+/-1.3,"1,415",+/-240,11.2%,+/-1.9,"1,313",+/-213,9.9%,+/-1.6
High school graduate (includes equivalency),"10,219",+/-518,39.5%,+/-2.0,"5,234",+/-331,41.4%,+/-2.7,"4,985",+/-323,37.7%,+/-2.5
"Some college, no degree","5,341",+/-390,20.6%,+/-1.5,"2,486",+/-242,19.7%,+/-1.9,"2,855",+/-277,21.6%,+/-2.1
Associate's degree,"2,257",+/-248,8.7%,+/-1.0,834,+/-143,6.6%,+/-1.1,"1,423",+/-206,10.8%,+/-1.6
Bachelor's degree,"2,335",+/-281,9.0%,+/-1.1,"1,097",+/-167,8.7%,+/-1.3,"1,238",+/-191,9.4%,+/-1.4
Graduate or professional degree,"1,274",+/-184,4.9%,+/-0.7,515,+/-120,4.1%,+/-1.0,759,+/-127,5.7%,+/-1.0
Percent high school graduate or higher,(X),(X),82.8%,+/-1.5,(X),(X),80.4%,+/-2.0,(X),(X),85.2%,+/-1.8
Percent bachelor's degree or higher,(X),(X),13.9%,+/-1.4,(X),(X),12.7%,+/-1.6,(X),(X),15.1%,+/-1.8
Population 25 to 34 years,"4,312",+/-77,(X),(X),"2,178",+/-60,(X),(X),"2,134",+/-55,(X),(X)
High school graduate or higher,"3,382",+/-189,78.4%,+/-4.0,"1,622",+/-116,74.5%,+/-4.9,"1,760",+/-121,82.5%,+/-5.0
Bachelor's degree or higher,743,+/-177,17.2%,+/-4.1,264,+/-82,12.1%,+/-3.7,479,+/-124,22.4%,+/-5.7
Population 35 to 44 years,"4,803",+/-144,(X),(X),"2,514",+/-125,(X),(X),"2,289",+/-89,(X),(X)
High school graduate or higher,"3,859",+/-160,80.3%,+/-4.4,"1,815",+/-105,72.2%,+/-5.4,"2,044",+/-101,89.3%,+/-4.8
Bachelor's degree or higher,579,+/-134,12.1%,+/-2.8,211,+/-71,8.4%,+/-2.8,368,+/-85,16.1%,+/-3.8
Population 45 to 64 years,"10,556",+/-195,(X),(X),"5,303",+/-140,(X),(X),"5,253",+/-118,(X),(X)
High school graduate or higher,"9,165",+/-217,86.8%,+/-2.0,"4,509",+/-171,85.0%,+/-2.5,"4,656",+/-110,88.6%,+/-2.6
Bachelor's degree or higher,"1,443",+/-199,13.7%,+/-1.9,711,+/-136,13.4%,+/-2.6,732,+/-127,13.9%,+/-2.5
Population 65 years and over,"6,200",+/-72,(X),(X),"2,655",+/-56,(X),(X),"3,545",+/-45,(X),(X)
High school graduate or higher,"5,020",+/-190,81.0%,+/-3.1,"2,220",+/-101,83.6%,+/-3.6,"2,800",+/-150,79.0%,+/-4.3
Bachelor's degree or higher,844,+/-155,13.6%,+/-2.5,426,+/-105,16.0%,+/-3.9,418,+/-96,11.8%,+/-2.7
