Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,460",+/-212,(X),(X),"4,618",+/-58,(X),(X),"4,842",+/-196,(X),(X)
Less than high school graduate,"1,504",+/-280,15.9%,+/-2.9,856,+/-209,18.5%,+/-4.5,648,+/-193,13.4%,+/-3.9
High school graduate (includes equivalency),"3,394",+/-425,35.9%,+/-4.4,"1,852",+/-272,40.1%,+/-5.9,"1,542",+/-271,31.8%,+/-5.4
Some college or associate's degree,"4,015",+/-451,42.4%,+/-4.7,"1,699",+/-262,36.8%,+/-5.7,"2,316",+/-317,47.8%,+/-6.3
Bachelor's degree or higher,547,+/-181,5.8%,+/-1.9,211,+/-95,4.6%,+/-2.1,336,+/-136,6.9%,+/-2.9
Population 25 years and over,"79,085",+/-203,(X),(X),"37,937",+/-184,(X),(X),"41,148",+/-184,(X),(X)
Less than 9th grade,"2,711",+/-337,3.4%,+/-0.4,"1,319",+/-220,3.5%,+/-0.6,"1,392",+/-260,3.4%,+/-0.6
"9th to 12th grade, no diploma","6,390",+/-559,8.1%,+/-0.7,"3,390",+/-399,8.9%,+/-1.1,"3,000",+/-345,7.3%,+/-0.8
High school graduate (includes equivalency),"27,495",+/-939,34.8%,+/-1.2,"14,047",+/-657,37.0%,+/-1.8,"13,448",+/-620,32.7%,+/-1.5
"Some college, no degree","18,971",+/-848,24.0%,+/-1.1,"9,015",+/-596,23.8%,+/-1.6,"9,956",+/-615,24.2%,+/-1.5
Associate's degree,"7,732",+/-577,9.8%,+/-0.7,"3,275",+/-423,8.6%,+/-1.1,"4,457",+/-427,10.8%,+/-1.0
Bachelor's degree,"10,961",+/-656,13.9%,+/-0.8,"4,880",+/-447,12.9%,+/-1.2,"6,081",+/-377,14.8%,+/-0.9
Graduate or professional degree,"4,825",+/-423,6.1%,+/-0.5,"2,011",+/-285,5.3%,+/-0.8,"2,814",+/-313,6.8%,+/-0.8
Percent high school graduate or higher,(X),(X),88.5%,+/-0.8,(X),(X),87.6%,+/-1.1,(X),(X),89.3%,+/-1.0
Percent bachelor's degree or higher,(X),(X),20.0%,+/-1.0,(X),(X),18.2%,+/-1.4,(X),(X),21.6%,+/-1.3
Population 25 to 34 years,"15,752",+/-203,(X),(X),"7,906",+/-117,(X),(X),"7,846",+/-182,(X),(X)
High school graduate or higher,"14,323",+/-334,90.9%,+/-1.7,"7,136",+/-228,90.3%,+/-2.4,"7,187",+/-225,91.6%,+/-2.3
Bachelor's degree or higher,"3,759",+/-423,23.9%,+/-2.6,"1,482",+/-248,18.7%,+/-3.1,"2,277",+/-302,29.0%,+/-3.7
Population 35 to 44 years,"15,669",+/-161,(X),(X),"7,872",+/-87,(X),(X),"7,797",+/-144,(X),(X)
High school graduate or higher,"14,369",+/-240,91.7%,+/-1.4,"7,194",+/-180,91.4%,+/-2.1,"7,175",+/-175,92.0%,+/-2.2
Bachelor's degree or higher,"3,693",+/-391,23.6%,+/-2.4,"1,524",+/-235,19.4%,+/-2.9,"2,169",+/-278,27.8%,+/-3.5
Population 45 to 64 years,"30,966",+/-137,(X),(X),"15,023",+/-100,(X),(X),"15,943",+/-141,(X),(X)
High school graduate or higher,"27,544",+/-434,88.9%,+/-1.3,"13,108",+/-310,87.3%,+/-2.0,"14,436",+/-283,90.5%,+/-1.6
Bachelor's degree or higher,"5,738",+/-452,18.5%,+/-1.5,"2,584",+/-306,17.2%,+/-2.0,"3,154",+/-298,19.8%,+/-1.9
Population 65 years and over,"16,698",+/-88,(X),(X),"7,136",+/-63,(X),(X),"9,562",+/-68,(X),(X)
High school graduate or higher,"13,748",+/-321,82.3%,+/-1.9,"5,790",+/-181,81.1%,+/-2.7,"7,958",+/-254,83.2%,+/-2.5
Bachelor's degree or higher,"2,596",+/-222,15.5%,+/-1.3,"1,301",+/-162,18.2%,+/-2.3,"1,295",+/-167,13.5%,+/-1.8
