RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"71,705",+/-182,(X),(X),"34,428",+/-109,(X),(X),"37,277",+/-146,(X),(X)
High school graduate or higher,"63,484",+/-591,88.5%,+/-0.8,"30,224",+/-388,87.8%,+/-1.1,"33,260",+/-402,89.2%,+/-1.1
Bachelor's degree or higher,"14,428",+/-797,20.1%,+/-1.1,"6,460",+/-517,18.8%,+/-1.5,"7,968",+/-521,21.4%,+/-1.4
"White alone, not Hispanic or Latino","69,056",+/-83,(X),(X),"32,980",+/-23,(X),(X),"36,076",+/-65,(X),(X)
High school graduate or higher,"61,901",+/-576,89.6%,+/-0.8,"29,359",+/-403,89.0%,+/-1.2,"32,542",+/-383,90.2%,+/-1.0
Bachelor's degree or higher,"14,192",+/-769,20.6%,+/-1.1,"6,366",+/-506,19.3%,+/-1.5,"7,826",+/-514,21.7%,+/-1.4
Black alone,"5,186",+/-144,(X),(X),"2,567",+/-90,(X),(X),"2,619",+/-96,(X),(X)
High school graduate or higher,"4,605",+/-181,88.8%,+/-2.8,"2,228",+/-130,86.8%,+/-4.3,"2,377",+/-121,90.8%,+/-3.1
Bachelor's degree or higher,755,+/-179,14.6%,+/-3.4,294,+/-85,11.5%,+/-3.3,461,+/-141,17.6%,+/-5.3
American Indian or Alaska Native alone,82,+/-56,(X),(X),38,+/-41,(X),(X),44,+/-38,(X),(X)
High school graduate or higher,69,+/-53,84.1%,+/-21.4,33,+/-41,86.8%,+/-28.6,36,+/-37,81.8%,+/-27.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-29.7,0,+/-27,0.0%,+/-46.2,0,+/-27,0.0%,+/-43.0
Asian alone,628,+/-185,(X),(X),189,+/-138,(X),(X),439,+/-88,(X),(X)
High school graduate or higher,559,+/-199,89.0%,+/-10.5,167,+/-139,88.4%,+/-17.1,392,+/-108,89.3%,+/-13.0
Bachelor's degree or higher,279,+/-133,44.4%,+/-14.5,75,+/-57,39.7%,+/-26.7,204,+/-107,46.5%,+/-21.6
Native Hawaiian and Other Pacific Islander alone,15,+/-25,(X),(X),0,+/-27,(X),(X),15,+/-25,(X),(X)
High school graduate or higher,15,+/-25,100.0%,+/-73.6,0,+/-27,-,**,15,+/-25,100.0%,+/-73.6
Bachelor's degree or higher,0,+/-27,0.0%,+/-73.6,0,+/-27,-,**,0,+/-27,0.0%,+/-73.6
Some other race alone,456,+/-163,(X),(X),219,+/-100,(X),(X),237,+/-106,(X),(X)
High school graduate or higher,327,+/-139,71.7%,+/-16.0,138,+/-70,63.0%,+/-18.2,189,+/-102,79.7%,+/-18.5
Bachelor's degree or higher,55,+/-43,12.1%,+/-8.7,31,+/-36,14.2%,+/-15.5,24,+/-27,10.1%,+/-9.0
Two or more races,"1,013",+/-218,(X),(X),496,+/-164,(X),(X),517,+/-166,(X),(X)
High school graduate or higher,925,+/-208,91.3%,+/-8.3,438,+/-157,88.3%,+/-11.4,487,+/-160,94.2%,+/-9.8
Bachelor's degree or higher,269,+/-104,26.6%,+/-9.1,31,+/-32,6.3%,+/-5.9,238,+/-102,46.0%,+/-13.6
Hispanic or Latino Origin,"3,101",+/-111,(X),(X),"1,725",*****,(X),(X),"1,376",+/-111,(X),(X)
High school graduate or higher,"1,863",+/-281,60.1%,+/-9.1,"1,002",+/-167,58.1%,+/-9.7,861,+/-180,62.6%,+/-12.7
Bachelor's degree or higher,289,+/-138,9.3%,+/-4.4,125,+/-87,7.2%,+/-5.1,164,+/-100,11.9%,+/-7.2
