RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,923",+/-55,(X),(X),"8,655",+/-6,(X),(X),"9,268",+/-55,(X),(X)
High school graduate or higher,"15,639",+/-348,87.3%,+/-1.8,"7,379",+/-220,85.3%,+/-2.5,"8,260",+/-215,89.1%,+/-2.1
Bachelor's degree or higher,"2,683",+/-273,15.0%,+/-1.5,"1,208",+/-184,14.0%,+/-2.1,"1,475",+/-184,15.9%,+/-2.0
"White alone, not Hispanic or Latino","17,844",+/-21,(X),(X),"8,651",+/-21,(X),(X),"9,193",+/-21,(X),(X)
High school graduate or higher,"15,560",+/-327,87.2%,+/-1.8,"7,375",+/-220,85.3%,+/-2.5,"8,185",+/-194,89.0%,+/-2.1
Bachelor's degree or higher,"2,683",+/-273,15.0%,+/-1.5,"1,208",+/-184,14.0%,+/-2.1,"1,475",+/-184,16.0%,+/-2.0
Black alone,41,+/-34,(X),(X),30,+/-29,(X),(X),11,+/-13,(X),(X)
High school graduate or higher,33,+/-29,80.5%,+/-38.1,22,+/-23,73.3%,+/-52.3,11,+/-13,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-44.5,0,+/-21,0.0%,+/-52.0,0,+/-21,0.0%,+/-85.9
American Indian or Alaska Native alone,37,+/-23,(X),(X),14,+/-17,(X),(X),23,+/-16,(X),(X)
High school graduate or higher,18,+/-15,48.6%,+/-39.7,3,+/-5,21.4%,+/-42.9,15,+/-14,65.2%,+/-41.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-46.8,0,+/-21,0.0%,+/-76.1,0,+/-21,0.0%,+/-59.4
Asian alone,14,+/-20,(X),(X),5,+/-11,(X),(X),9,+/-11,(X),(X)
High school graduate or higher,14,+/-20,100.0%,+/-76.1,5,+/-11,100.0%,+/-100.0,9,+/-11,100.0%,+/-95.0
Bachelor's degree or higher,12,+/-20,85.7%,+/-34.1,5,+/-11,100.0%,+/-100.0,7,+/-10,77.8%,+/-46.7
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,43,+/-46,(X),(X),14,+/-18,(X),(X),29,+/-44,(X),(X)
High school graduate or higher,43,+/-46,100.0%,+/-43.5,14,+/-18,100.0%,+/-76.1,29,+/-44,100.0%,+/-52.9
Bachelor's degree or higher,29,+/-44,67.4%,+/-50.6,0,+/-21,0.0%,+/-76.1,29,+/-44,100.0%,+/-52.9
Two or more races,177,+/-56,(X),(X),96,+/-49,(X),(X),81,+/-55,(X),(X)
High school graduate or higher,171,+/-56,96.6%,+/-7.2,96,+/-49,100.0%,+/-26.3,75,+/-54,92.6%,+/-16.0
Bachelor's degree or higher,27,+/-39,15.3%,+/-21.7,0,+/-21,0.0%,+/-26.3,27,+/-39,33.3%,+/-44.1
Hispanic or Latino Origin,122,+/-56,(X),(X),18,+/-18,(X),(X),104,+/-54,(X),(X)
High school graduate or higher,122,+/-56,100.0%,+/-21.6,18,+/-18,100.0%,+/-67.2,104,+/-54,100.0%,+/-24.7
Bachelor's degree or higher,29,+/-44,23.8%,+/-35.1,0,+/-21,0.0%,+/-67.2,29,+/-44,27.9%,+/-40.6
