Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,053",+/-32,(X),(X),"1,048",+/-21,(X),(X),"1,005",+/-24,(X),(X)
Less than high school graduate,519,+/-132,25.3%,+/-6.4,359,+/-95,34.3%,+/-9.0,160,+/-74,15.9%,+/-7.3
High school graduate (includes equivalency),673,+/-142,32.8%,+/-7.0,300,+/-114,28.6%,+/-11.0,373,+/-105,37.1%,+/-10.6
Some college or associate's degree,790,+/-166,38.5%,+/-7.9,367,+/-112,35.0%,+/-10.6,423,+/-104,42.1%,+/-10.1
Bachelor's degree or higher,71,+/-61,3.5%,+/-2.9,22,+/-27,2.1%,+/-2.6,49,+/-45,4.9%,+/-4.5
Population 25 years and over,"18,220",+/-75,(X),(X),"8,806",+/-69,(X),(X),"9,414",+/-64,(X),(X)
Less than 9th grade,406,+/-131,2.2%,+/-0.7,177,+/-69,2.0%,+/-0.8,229,+/-94,2.4%,+/-1.0
"9th to 12th grade, no diploma","1,284",+/-222,7.0%,+/-1.2,645,+/-149,7.3%,+/-1.7,639,+/-155,6.8%,+/-1.7
High school graduate (includes equivalency),"8,128",+/-442,44.6%,+/-2.5,"4,423",+/-286,50.2%,+/-3.3,"3,705",+/-292,39.4%,+/-3.1
"Some college, no degree","3,302",+/-310,18.1%,+/-1.7,"1,602",+/-217,18.2%,+/-2.4,"1,700",+/-222,18.1%,+/-2.4
Associate's degree,"2,071",+/-300,11.4%,+/-1.6,726,+/-153,8.2%,+/-1.7,"1,345",+/-223,14.3%,+/-2.4
Bachelor's degree,"2,031",+/-282,11.1%,+/-1.5,766,+/-155,8.7%,+/-1.8,"1,265",+/-216,13.4%,+/-2.3
Graduate or professional degree,998,+/-238,5.5%,+/-1.3,467,+/-146,5.3%,+/-1.7,531,+/-139,5.6%,+/-1.5
Percent high school graduate or higher,(X),(X),90.7%,+/-1.4,(X),(X),90.7%,+/-1.9,(X),(X),90.8%,+/-1.9
Percent bachelor's degree or higher,(X),(X),16.6%,+/-2.0,(X),(X),14.0%,+/-2.5,(X),(X),19.1%,+/-2.4
Population 25 to 34 years,"3,232",+/-62,(X),(X),"1,575",+/-28,(X),(X),"1,657",+/-64,(X),(X)
High school graduate or higher,"2,928",+/-144,90.6%,+/-3.9,"1,412",+/-75,89.7%,+/-4.6,"1,516",+/-133,91.5%,+/-6.5
Bachelor's degree or higher,617,+/-172,19.1%,+/-5.3,233,+/-84,14.8%,+/-5.3,384,+/-121,23.2%,+/-7.1
Population 35 to 44 years,"3,208",+/-35,(X),(X),"1,596",+/-32,(X),(X),"1,612",+/-13,(X),(X)
High school graduate or higher,"3,069",+/-64,95.7%,+/-2.0,"1,559",+/-43,97.7%,+/-1.5,"1,510",+/-62,93.7%,+/-3.8
Bachelor's degree or higher,631,+/-162,19.7%,+/-5.0,177,+/-72,11.1%,+/-4.5,454,+/-137,28.2%,+/-8.5
Population 45 to 64 years,"7,339",+/-59,(X),(X),"3,647",+/-49,(X),(X),"3,692",+/-41,(X),(X)
High school graduate or higher,"6,630",+/-167,90.3%,+/-2.3,"3,250",+/-122,89.1%,+/-3.5,"3,380",+/-96,91.5%,+/-2.4
Bachelor's degree or higher,"1,375",+/-276,18.7%,+/-3.7,597,+/-180,16.4%,+/-4.9,778,+/-147,21.1%,+/-4.0
Population 65 years and over,"4,441",+/-66,(X),(X),"1,988",+/-21,(X),(X),"2,453",+/-56,(X),(X)
High school graduate or higher,"3,903",+/-124,87.9%,+/-2.9,"1,763",+/-80,88.7%,+/-3.9,"2,140",+/-81,87.2%,+/-3.7
Bachelor's degree or higher,406,+/-112,9.1%,+/-2.5,226,+/-71,11.4%,+/-3.6,180,+/-69,7.3%,+/-2.8
