RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"20,361",+/-222,(X),(X),"9,793",+/-145,(X),(X),"10,568",+/-151,(X),(X)
High school graduate or higher,"18,003",+/-278,88.4%,+/-1.3,"8,579",+/-213,87.6%,+/-1.9,"9,424",+/-188,89.2%,+/-1.6
Bachelor's degree or higher,"3,184",+/-320,15.6%,+/-1.6,"1,365",+/-207,13.9%,+/-2.1,"1,819",+/-192,17.2%,+/-1.8
"White alone, not Hispanic or Latino","19,094",+/-18,(X),(X),"9,124",+/-5,(X),(X),"9,970",+/-16,(X),(X)
High school graduate or higher,"17,239",+/-194,90.3%,+/-1.0,"8,205",+/-152,89.9%,+/-1.7,"9,034",+/-138,90.6%,+/-1.4
Bachelor's degree or higher,"3,090",+/-311,16.2%,+/-1.6,"1,342",+/-204,14.7%,+/-2.2,"1,748",+/-183,17.5%,+/-1.8
Black alone,170,+/-93,(X),(X),95,+/-65,(X),(X),75,+/-46,(X),(X)
High school graduate or higher,96,+/-48,56.5%,+/-21.2,64,+/-46,67.4%,+/-31.4,32,+/-26,42.7%,+/-30.4
Bachelor's degree or higher,9,+/-16,5.3%,+/-9.2,0,+/-24,0.0%,+/-26.5,9,+/-16,12.0%,+/-20.7
American Indian or Alaska Native alone,36,+/-28,(X),(X),20,+/-23,(X),(X),16,+/-10,(X),(X)
High school graduate or higher,36,+/-28,100.0%,+/-47.5,20,+/-23,100.0%,+/-63.7,16,+/-10,100.0%,+/-71.2
Bachelor's degree or higher,10,+/-8,27.8%,+/-24.3,0,+/-24,0.0%,+/-63.7,10,+/-8,62.5%,+/-46.8
Asian alone,67,+/-36,(X),(X),29,+/-19,(X),(X),38,+/-26,(X),(X)
High school graduate or higher,51,+/-37,76.1%,+/-38.1,26,+/-19,89.7%,+/-21.8,25,+/-19,65.8%,+/-51.6
Bachelor's degree or higher,41,+/-38,61.2%,+/-43.0,21,+/-19,72.4%,+/-37.2,20,+/-19,52.6%,+/-49.3
Native Hawaiian and Other Pacific Islander alone,8,+/-13,(X),(X),0,+/-24,(X),(X),8,+/-13,(X),(X)
High school graduate or higher,8,+/-13,100.0%,+/-100.0,0,+/-24,-,**,8,+/-13,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**,0,+/-24,0.0%,+/-100.0
Some other race alone,754,+/-224,(X),(X),386,+/-134,(X),(X),368,+/-121,(X),(X)
High school graduate or higher,295,+/-137,39.1%,+/-13.5,144,+/-82,37.3%,+/-15.2,151,+/-84,41.0%,+/-18.7
Bachelor's degree or higher,9,+/-16,1.2%,+/-2.1,0,+/-24,0.0%,+/-7.5,9,+/-16,2.4%,+/-4.3
Two or more races,103,+/-56,(X),(X),56,+/-36,(X),(X),47,+/-29,(X),(X)
High school graduate or higher,55,+/-33,53.4%,+/-32.1,38,+/-28,67.9%,+/-33.5,17,+/-16,36.2%,+/-36.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-24.9,0,+/-24,0.0%,+/-38.1,0,+/-24,0.0%,+/-41.6
Hispanic or Latino Origin,"2,144",+/-72,(X),(X),"1,131",+/-63,(X),(X),"1,013",+/-92,(X),(X)
High school graduate or higher,"1,082",+/-201,50.5%,+/-8.8,552,+/-124,48.8%,+/-9.9,530,+/-143,52.3%,+/-12.0
Bachelor's degree or higher,103,+/-71,4.8%,+/-3.3,23,+/-33,2.0%,+/-2.9,80,+/-61,7.9%,+/-6.2
