Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,648",+/-47,(X),(X),"1,377",+/-41,(X),(X),"1,271",+/-30,(X),(X)
Less than high school graduate,468,+/-135,17.7%,+/-5.0,266,+/-89,19.3%,+/-6.3,202,+/-87,15.9%,+/-6.8
High school graduate (includes equivalency),"1,035",+/-173,39.1%,+/-6.6,596,+/-121,43.3%,+/-8.7,439,+/-108,34.5%,+/-8.6
Some college or associate's degree,982,+/-153,37.1%,+/-5.7,457,+/-100,33.2%,+/-7.3,525,+/-109,41.3%,+/-8.3
Bachelor's degree or higher,163,+/-83,6.2%,+/-3.1,58,+/-57,4.2%,+/-4.1,105,+/-57,8.3%,+/-4.5
Population 25 years and over,"21,277",+/-59,(X),(X),"10,306",+/-52,(X),(X),"10,971",+/-44,(X),(X)
Less than 9th grade,"1,263",+/-189,5.9%,+/-0.9,714,+/-156,6.9%,+/-1.5,549,+/-120,5.0%,+/-1.1
"9th to 12th grade, no diploma","1,669",+/-215,7.8%,+/-1.0,760,+/-155,7.4%,+/-1.5,909,+/-146,8.3%,+/-1.3
High school graduate (includes equivalency),"9,493",+/-452,44.6%,+/-2.1,"4,648",+/-340,45.1%,+/-3.3,"4,845",+/-307,44.2%,+/-2.8
"Some college, no degree","3,894",+/-351,18.3%,+/-1.6,"1,970",+/-238,19.1%,+/-2.3,"1,924",+/-234,17.5%,+/-2.1
Associate's degree,"1,621",+/-236,7.6%,+/-1.1,757,+/-151,7.3%,+/-1.5,864,+/-167,7.9%,+/-1.5
Bachelor's degree,"2,297",+/-290,10.8%,+/-1.4,"1,051",+/-214,10.2%,+/-2.1,"1,246",+/-171,11.4%,+/-1.5
Graduate or professional degree,"1,040",+/-173,4.9%,+/-0.8,406,+/-98,3.9%,+/-0.9,634,+/-128,5.8%,+/-1.2
Percent high school graduate or higher,(X),(X),86.2%,+/-1.3,(X),(X),85.7%,+/-2.0,(X),(X),86.7%,+/-1.5
Percent bachelor's degree or higher,(X),(X),15.7%,+/-1.6,(X),(X),14.1%,+/-2.2,(X),(X),17.1%,+/-1.9
Population 25 to 34 years,"3,842",+/-48,(X),(X),"1,933",+/-23,(X),(X),"1,909",+/-44,(X),(X)
High school graduate or higher,"3,139",+/-163,81.7%,+/-4.1,"1,570",+/-116,81.2%,+/-5.8,"1,569",+/-115,82.2%,+/-5.5
Bachelor's degree or higher,739,+/-169,19.2%,+/-4.4,289,+/-97,15.0%,+/-5.0,450,+/-110,23.6%,+/-5.8
Population 35 to 44 years,"3,847",+/-137,(X),(X),"1,918",+/-100,(X),(X),"1,929",+/-74,(X),(X)
High school graduate or higher,"3,279",+/-146,85.2%,+/-3.7,"1,666",+/-93,86.9%,+/-4.7,"1,613",+/-98,83.6%,+/-4.6
Bachelor's degree or higher,607,+/-123,15.8%,+/-3.2,273,+/-94,14.2%,+/-5.0,334,+/-87,17.3%,+/-4.6
Population 45 to 64 years,"8,496",+/-154,(X),(X),"4,274",+/-103,(X),(X),"4,222",+/-83,(X),(X)
High school graduate or higher,"7,527",+/-162,88.6%,+/-2.1,"3,679",+/-149,86.1%,+/-3.3,"3,848",+/-115,91.1%,+/-2.4
Bachelor's degree or higher,"1,214",+/-180,14.3%,+/-2.1,504,+/-121,11.8%,+/-2.8,710,+/-128,16.8%,+/-3.1
Population 65 years and over,"5,092",+/-89,(X),(X),"2,181",+/-38,(X),(X),"2,911",+/-58,(X),(X)
High school graduate or higher,"4,400",+/-149,86.4%,+/-2.6,"1,917",+/-78,87.9%,+/-3.5,"2,483",+/-106,85.3%,+/-3.2
Bachelor's degree or higher,777,+/-160,15.3%,+/-3.1,391,+/-88,17.9%,+/-4.0,386,+/-99,13.3%,+/-3.4
