Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,808,+/-36,(X),(X),383,+/-18,(X),(X),425,+/-36,(X),(X)
Less than high school graduate,207,+/-80,25.6%,+/-9.5,124,+/-59,32.4%,+/-15.3,83,+/-47,19.5%,+/-10.0
High school graduate (includes equivalency),291,+/-73,36.0%,+/-8.7,166,+/-60,43.3%,+/-15.8,125,+/-50,29.4%,+/-11.0
Some college or associate's degree,265,+/-80,32.8%,+/-9.8,93,+/-50,24.3%,+/-13.1,172,+/-64,40.5%,+/-14.7
Bachelor's degree or higher,45,+/-44,5.6%,+/-5.5,0,+/-18,0.0%,+/-7.5,45,+/-44,10.6%,+/-10.8
Population 25 years and over,"7,389",+/-43,(X),(X),"3,729",+/-32,(X),(X),"3,660",+/-29,(X),(X)
Less than 9th grade,379,+/-107,5.1%,+/-1.5,213,+/-67,5.7%,+/-1.8,166,+/-66,4.5%,+/-1.8
"9th to 12th grade, no diploma",924,+/-133,12.5%,+/-1.8,577,+/-102,15.5%,+/-2.7,347,+/-97,9.5%,+/-2.6
High school graduate (includes equivalency),"3,669",+/-236,49.7%,+/-3.2,"1,893",+/-176,50.8%,+/-4.7,"1,776",+/-167,48.5%,+/-4.5
"Some college, no degree","1,236",+/-174,16.7%,+/-2.3,521,+/-113,14.0%,+/-3.0,715,+/-112,19.5%,+/-3.1
Associate's degree,464,+/-102,6.3%,+/-1.4,185,+/-62,5.0%,+/-1.7,279,+/-89,7.6%,+/-2.4
Bachelor's degree,419,+/-102,5.7%,+/-1.4,214,+/-66,5.7%,+/-1.8,205,+/-66,5.6%,+/-1.8
Graduate or professional degree,298,+/-85,4.0%,+/-1.2,126,+/-47,3.4%,+/-1.3,172,+/-65,4.7%,+/-1.8
Percent high school graduate or higher,(X),(X),82.4%,+/-2.1,(X),(X),78.8%,+/-3.1,(X),(X),86.0%,+/-3.0
Percent bachelor's degree or higher,(X),(X),9.7%,+/-1.9,(X),(X),9.1%,+/-2.3,(X),(X),10.3%,+/-2.3
Population 25 to 34 years,"1,110",+/-44,(X),(X),566,+/-22,(X),(X),544,+/-25,(X),(X)
High school graduate or higher,940,+/-67,84.7%,+/-5.9,447,+/-46,79.0%,+/-8.7,493,+/-38,90.6%,+/-5.7
Bachelor's degree or higher,88,+/-49,7.9%,+/-4.4,33,+/-30,5.8%,+/-5.4,55,+/-33,10.1%,+/-6.0
Population 35 to 44 years,"1,251",+/-5,(X),(X),634,+/-5,(X),(X),617,+/-18,(X),(X)
High school graduate or higher,"1,071",+/-58,85.6%,+/-4.6,541,+/-42,85.3%,+/-6.7,530,+/-49,85.9%,+/-8.0
Bachelor's degree or higher,77,+/-53,6.2%,+/-4.2,17,+/-22,2.7%,+/-3.4,60,+/-41,9.7%,+/-6.6
Population 45 to 64 years,"3,260",+/-42,(X),(X),"1,695",+/-29,(X),(X),"1,565",+/-29,(X),(X)
High school graduate or higher,"2,733",+/-113,83.8%,+/-3.6,"1,347",+/-95,79.5%,+/-5.8,"1,386",+/-69,88.6%,+/-4.3
Bachelor's degree or higher,369,+/-79,11.3%,+/-2.4,187,+/-58,11.0%,+/-3.4,182,+/-55,11.6%,+/-3.5
Population 65 years and over,"1,768",+/-25,(X),(X),834,+/-18,(X),(X),934,+/-25,(X),(X)
High school graduate or higher,"1,342",+/-90,75.9%,+/-5.0,604,+/-62,72.4%,+/-7.4,738,+/-56,79.0%,+/-5.9
Bachelor's degree or higher,183,+/-67,10.4%,+/-3.8,103,+/-42,12.4%,+/-5.0,80,+/-46,8.6%,+/-5.0
