RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"7,231",+/-23,(X),(X),"3,664",+/-18,(X),(X),"3,567",+/-17,(X),(X)
High school graduate or higher,"6,018",+/-181,83.2%,+/-2.5,"2,950",+/-118,80.5%,+/-3.2,"3,068",+/-107,86.0%,+/-2.9
Bachelor's degree or higher,716,+/-141,9.9%,+/-2.0,316,+/-84,8.6%,+/-2.3,400,+/-92,11.2%,+/-2.6
"White alone, not Hispanic or Latino","7,202",+/-18,(X),(X),"3,647",+/-18,(X),(X),"3,555",+/-18,(X),(X)
High school graduate or higher,"5,989",+/-178,83.2%,+/-2.5,"2,933",+/-117,80.4%,+/-3.2,"3,056",+/-103,86.0%,+/-2.9
Bachelor's degree or higher,716,+/-141,9.9%,+/-2.0,316,+/-84,8.7%,+/-2.3,400,+/-92,11.3%,+/-2.6
Black alone,16,+/-13,(X),(X),4,+/-7,(X),(X),12,+/-11,(X),(X)
High school graduate or higher,4,+/-7,25.0%,+/-39.0,4,+/-7,100.0%,+/-100.0,0,+/-18,0.0%,+/-82.3
Bachelor's degree or higher,0,+/-18,0.0%,+/-71.2,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-82.3
American Indian or Alaska Native alone,81,+/-30,(X),(X),14,+/-17,(X),(X),67,+/-24,(X),(X)
High school graduate or higher,56,+/-30,69.1%,+/-38.2,3,+/-5,21.4%,+/-45.1,53,+/-30,79.1%,+/-29.4
Bachelor's degree or higher,0,+/-18,0.0%,+/-30.0,0,+/-18,0.0%,+/-76.1,0,+/-18,0.0%,+/-34.3
Asian alone,14,+/-18,(X),(X),7,+/-9,(X),(X),7,+/-9,(X),(X)
High school graduate or higher,14,+/-18,100.0%,+/-76.1,7,+/-9,100.0%,+/-100.0,7,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-76.1,0,+/-18,0.0%,+/-100.0,0,+/-18,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Two or more races,71,+/-23,(X),(X),39,+/-25,(X),(X),32,+/-30,(X),(X)
High school graduate or higher,38,+/-30,53.5%,+/-34.6,9,+/-10,23.1%,+/-31.0,29,+/-29,90.6%,+/-18.1
Bachelor's degree or higher,10,+/-14,14.1%,+/-18.2,0,+/-18,0.0%,+/-45.6,10,+/-14,31.3%,+/-33.2
Hispanic or Latino Origin,60,+/-26,(X),(X),24,+/-17,(X),(X),36,+/-25,(X),(X)
High school graduate or higher,57,+/-25,95.0%,+/-7.2,24,+/-17,100.0%,+/-58.2,33,+/-24,91.7%,+/-13.8
Bachelor's degree or higher,1,+/-3,1.7%,+/-5.0,0,+/-18,0.0%,+/-58.2,1,+/-3,2.8%,+/-9.3
