Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,875",+/-103,(X),(X),"1,547",+/-93,(X),(X),"1,328",+/-46,(X),(X)
Less than high school graduate,"1,104",+/-135,38.4%,+/-5.1,700,+/-105,45.2%,+/-7.6,404,+/-73,30.4%,+/-5.8
High school graduate (includes equivalency),818,+/-139,28.5%,+/-4.3,450,+/-117,29.1%,+/-6.6,368,+/-90,27.7%,+/-6.3
Some college or associate's degree,832,+/-129,28.9%,+/-4.3,341,+/-83,22.0%,+/-5.0,491,+/-88,37.0%,+/-6.6
Bachelor's degree or higher,121,+/-58,4.2%,+/-2.0,56,+/-54,3.6%,+/-3.5,65,+/-33,4.9%,+/-2.5
Population 25 years and over,"20,092",+/-109,(X),(X),"9,752",+/-131,(X),(X),"10,340",+/-102,(X),(X)
Less than 9th grade,"2,734",+/-282,13.6%,+/-1.4,"1,392",+/-180,14.3%,+/-1.8,"1,342",+/-155,13.0%,+/-1.5
"9th to 12th grade, no diploma","2,322",+/-255,11.6%,+/-1.3,"1,281",+/-213,13.1%,+/-2.2,"1,041",+/-142,10.1%,+/-1.4
High school graduate (includes equivalency),"7,467",+/-431,37.2%,+/-2.1,"3,678",+/-286,37.7%,+/-2.8,"3,789",+/-266,36.6%,+/-2.6
"Some college, no degree","2,915",+/-261,14.5%,+/-1.3,"1,475",+/-177,15.1%,+/-1.8,"1,440",+/-193,13.9%,+/-1.8
Associate's degree,"1,894",+/-237,9.4%,+/-1.2,731,+/-134,7.5%,+/-1.4,"1,163",+/-175,11.2%,+/-1.7
Bachelor's degree,"1,626",+/-210,8.1%,+/-1.0,691,+/-130,7.1%,+/-1.3,935,+/-153,9.0%,+/-1.5
Graduate or professional degree,"1,134",+/-213,5.6%,+/-1.1,504,+/-129,5.2%,+/-1.3,630,+/-132,6.1%,+/-1.3
Percent high school graduate or higher,(X),(X),74.8%,+/-1.6,(X),(X),72.6%,+/-2.3,(X),(X),77.0%,+/-2.0
Percent bachelor's degree or higher,(X),(X),13.7%,+/-1.5,(X),(X),12.3%,+/-1.8,(X),(X),15.1%,+/-1.7
Population 25 to 34 years,"3,899",+/-100,(X),(X),"1,998",+/-84,(X),(X),"1,901",+/-64,(X),(X)
High school graduate or higher,"2,359",+/-219,60.5%,+/-5.7,"1,156",+/-144,57.9%,+/-7.4,"1,203",+/-136,63.3%,+/-7.1
Bachelor's degree or higher,537,+/-119,13.8%,+/-3.0,200,+/-72,10.0%,+/-3.6,337,+/-86,17.7%,+/-4.5
Population 35 to 44 years,"3,535",+/-74,(X),(X),"1,757",+/-53,(X),(X),"1,778",+/-69,(X),(X)
High school graduate or higher,"2,754",+/-175,77.9%,+/-4.6,"1,241",+/-123,70.6%,+/-7.1,"1,513",+/-106,85.1%,+/-4.7
Bachelor's degree or higher,580,+/-139,16.4%,+/-3.9,275,+/-73,15.7%,+/-4.2,305,+/-96,17.2%,+/-5.2
Population 45 to 64 years,"8,020",+/-112,(X),(X),"3,987",+/-68,(X),(X),"4,033",+/-88,(X),(X)
High school graduate or higher,"6,363",+/-210,79.3%,+/-2.6,"3,110",+/-150,78.0%,+/-3.4,"3,253",+/-135,80.7%,+/-3.4
Bachelor's degree or higher,"1,159",+/-177,14.5%,+/-2.2,500,+/-106,12.5%,+/-2.7,659,+/-130,16.3%,+/-3.2
Population 65 years and over,"4,638",+/-34,(X),(X),"2,010",+/-24,(X),(X),"2,628",+/-23,(X),(X)
High school graduate or higher,"3,560",+/-173,76.8%,+/-3.7,"1,572",+/-103,78.2%,+/-5.1,"1,988",+/-108,75.6%,+/-4.1
Bachelor's degree or higher,484,+/-134,10.4%,+/-2.9,220,+/-67,10.9%,+/-3.4,264,+/-88,10.0%,+/-3.4
