RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"19,478",+/-110,(X),(X),"9,475",+/-104,(X),(X),"10,003",+/-62,(X),(X)
High school graduate or higher,"14,622",+/-300,75.1%,+/-1.6,"6,893",+/-220,72.7%,+/-2.3,"7,729",+/-208,77.3%,+/-2.0
Bachelor's degree or higher,"2,670",+/-291,13.7%,+/-1.5,"1,151",+/-175,12.1%,+/-1.9,"1,519",+/-182,15.2%,+/-1.8
"White alone, not Hispanic or Latino","19,089",+/-24,(X),(X),"9,289",+/-24,(X),(X),"9,800",+/-24,(X),(X)
High school graduate or higher,"14,461",+/-299,75.8%,+/-1.6,"6,857",+/-219,73.8%,+/-2.4,"7,604",+/-195,77.6%,+/-2.0
Bachelor's degree or higher,"2,640",+/-291,13.8%,+/-1.5,"1,151",+/-175,12.4%,+/-1.9,"1,489",+/-179,15.2%,+/-1.8
Black alone,237,+/-49,(X),(X),141,+/-53,(X),(X),96,+/-71,(X),(X)
High school graduate or higher,192,+/-72,81.0%,+/-18.1,96,+/-42,68.1%,+/-22.0,96,+/-71,100.0%,+/-26.3
Bachelor's degree or higher,25,+/-28,10.5%,+/-12.0,25,+/-28,17.7%,+/-17.4,0,+/-24,0.0%,+/-26.3
American Indian or Alaska Native alone,6,+/-10,(X),(X),6,+/-10,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,1,+/-5,16.7%,+/-78.5,1,+/-5,16.7%,+/-78.5,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,-,**
Asian alone,97,+/-68,(X),(X),0,+/-24,(X),(X),97,+/-68,(X),(X)
High school graduate or higher,38,+/-45,39.2%,+/-35.0,0,+/-24,-,**,38,+/-45,39.2%,+/-35.0
Bachelor's degree or higher,26,+/-41,26.8%,+/-34.8,0,+/-24,-,**,26,+/-41,26.8%,+/-34.8
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,197,+/-113,(X),(X),96,+/-77,(X),(X),101,+/-57,(X),(X)
High school graduate or higher,106,+/-64,53.8%,+/-22.2,55,+/-46,57.3%,+/-18.3,51,+/-53,50.5%,+/-41.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.1,0,+/-24,0.0%,+/-26.3,0,+/-24,0.0%,+/-25.3
Two or more races,77,+/-39,(X),(X),34,+/-34,(X),(X),43,+/-28,(X),(X)
High school graduate or higher,77,+/-39,100.0%,+/-31.1,34,+/-34,100.0%,+/-48.9,43,+/-28,100.0%,+/-43.5
Bachelor's degree or higher,39,+/-37,50.6%,+/-36.9,19,+/-27,55.9%,+/-46.3,20,+/-21,46.5%,+/-48.2
Hispanic or Latino Origin,586,+/-98,(X),(X),282,+/-109,(X),(X),304,+/-47,(X),(X)
High school graduate or higher,267,+/-70,45.6%,+/-15.5,91,+/-50,32.3%,+/-16.4,176,+/-71,57.9%,+/-20.0
Bachelor's degree or higher,30,+/-21,5.1%,+/-3.5,0,+/-24,0.0%,+/-10.1,30,+/-21,9.9%,+/-6.6
