Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,559",+/-70,(X),(X),"1,826",+/-33,(X),(X),"1,733",+/-57,(X),(X)
Less than high school graduate,491,+/-129,13.8%,+/-3.6,293,+/-102,16.0%,+/-5.6,198,+/-84,11.4%,+/-4.8
High school graduate (includes equivalency),"1,449",+/-195,40.7%,+/-5.4,819,+/-141,44.9%,+/-7.7,630,+/-133,36.4%,+/-7.3
Some college or associate's degree,"1,227",+/-198,34.5%,+/-5.5,567,+/-124,31.1%,+/-6.8,660,+/-145,38.1%,+/-8.5
Bachelor's degree or higher,392,+/-137,11.0%,+/-3.9,147,+/-80,8.1%,+/-4.4,245,+/-101,14.1%,+/-5.8
Population 25 years and over,"28,274",+/-70,(X),(X),"13,833",+/-52,(X),(X),"14,441",+/-62,(X),(X)
Less than 9th grade,787,+/-171,2.8%,+/-0.6,413,+/-133,3.0%,+/-1.0,374,+/-105,2.6%,+/-0.7
"9th to 12th grade, no diploma","2,117",+/-285,7.5%,+/-1.0,"1,010",+/-188,7.3%,+/-1.4,"1,107",+/-174,7.7%,+/-1.2
High school graduate (includes equivalency),"11,845",+/-573,41.9%,+/-2.0,"5,958",+/-332,43.1%,+/-2.4,"5,887",+/-368,40.8%,+/-2.5
"Some college, no degree","5,993",+/-460,21.2%,+/-1.6,"2,826",+/-316,20.4%,+/-2.3,"3,167",+/-311,21.9%,+/-2.2
Associate's degree,"2,621",+/-294,9.3%,+/-1.0,"1,166",+/-210,8.4%,+/-1.5,"1,455",+/-200,10.1%,+/-1.4
Bachelor's degree,"3,272",+/-335,11.6%,+/-1.2,"1,622",+/-209,11.7%,+/-1.5,"1,650",+/-223,11.4%,+/-1.5
Graduate or professional degree,"1,639",+/-219,5.8%,+/-0.8,838,+/-167,6.1%,+/-1.2,801,+/-139,5.5%,+/-1.0
Percent high school graduate or higher,(X),(X),89.7%,+/-1.2,(X),(X),89.7%,+/-1.6,(X),(X),89.7%,+/-1.4
Percent bachelor's degree or higher,(X),(X),17.4%,+/-1.4,(X),(X),17.8%,+/-1.7,(X),(X),17.0%,+/-1.7
Population 25 to 34 years,"4,956",+/-79,(X),(X),"2,417",+/-45,(X),(X),"2,539",+/-65,(X),(X)
High school graduate or higher,"4,541",+/-170,91.6%,+/-3.2,"2,218",+/-108,91.8%,+/-4.2,"2,323",+/-99,91.5%,+/-3.7
Bachelor's degree or higher,"1,065",+/-218,21.5%,+/-4.3,380,+/-113,15.7%,+/-4.6,685,+/-147,27.0%,+/-5.8
Population 35 to 44 years,"5,217",+/-70,(X),(X),"2,679",+/-45,(X),(X),"2,538",+/-43,(X),(X)
High school graduate or higher,"4,716",+/-153,90.4%,+/-2.8,"2,335",+/-129,87.2%,+/-4.7,"2,381",+/-88,93.8%,+/-2.9
Bachelor's degree or higher,"1,025",+/-187,19.6%,+/-3.5,517,+/-123,19.3%,+/-4.5,508,+/-113,20.0%,+/-4.4
Population 45 to 64 years,"11,837",+/-98,(X),(X),"5,938",+/-56,(X),(X),"5,899",+/-66,(X),(X)
High school graduate or higher,"10,822",+/-228,91.4%,+/-1.7,"5,426",+/-144,91.4%,+/-2.4,"5,396",+/-134,91.5%,+/-2.0
Bachelor's degree or higher,"1,951",+/-268,16.5%,+/-2.3,"1,045",+/-183,17.6%,+/-3.1,906,+/-156,15.4%,+/-2.6
Population 65 years and over,"6,264",+/-45,(X),(X),"2,799",+/-40,(X),(X),"3,465",+/-22,(X),(X)
High school graduate or higher,"5,291",+/-156,84.5%,+/-2.5,"2,431",+/-94,86.9%,+/-3.4,"2,860",+/-119,82.5%,+/-3.4
Bachelor's degree or higher,870,+/-168,13.9%,+/-2.7,518,+/-117,18.5%,+/-4.2,352,+/-106,10.2%,+/-3.1
