RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,703",+/-76,(X),(X),"13,536",+/-62,(X),(X),"14,167",+/-61,(X),(X)
High school graduate or higher,"24,898",+/-336,89.9%,+/-1.2,"12,149",+/-227,89.8%,+/-1.6,"12,749",+/-204,90.0%,+/-1.4
Bachelor's degree or higher,"4,778",+/-390,17.2%,+/-1.4,"2,390",+/-222,17.7%,+/-1.7,"2,388",+/-229,16.9%,+/-1.6
"White alone, not Hispanic or Latino","27,309",+/-24,(X),(X),"13,338",+/-24,(X),(X),"13,971",+/-24,(X),(X)
High school graduate or higher,"24,563",+/-319,89.9%,+/-1.2,"11,997",+/-215,89.9%,+/-1.6,"12,566",+/-195,89.9%,+/-1.4
Bachelor's degree or higher,"4,700",+/-387,17.2%,+/-1.4,"2,352",+/-222,17.6%,+/-1.7,"2,348",+/-228,16.8%,+/-1.6
Black alone,65,+/-50,(X),(X),25,+/-26,(X),(X),40,+/-35,(X),(X)
High school graduate or higher,50,+/-47,76.9%,+/-36.5,10,+/-16,40.0%,+/-59.1,40,+/-35,100.0%,+/-45.1
Bachelor's degree or higher,30,+/-44,46.2%,+/-47.1,7,+/-13,28.0%,+/-52.1,23,+/-33,57.5%,+/-50.4
American Indian or Alaska Native alone,22,+/-17,(X),(X),6,+/-10,(X),(X),16,+/-12,(X),(X)
High school graduate or higher,14,+/-11,63.6%,+/-20.8,4,+/-8,66.7%,+/-51.0,10,+/-8,62.5%,+/-30.1
Bachelor's degree or higher,3,+/-5,13.6%,+/-21.8,0,+/-24,0.0%,+/-100.0,3,+/-5,18.8%,+/-30.9
Asian alone,106,+/-47,(X),(X),41,+/-24,(X),(X),65,+/-37,(X),(X)
High school graduate or higher,84,+/-51,79.2%,+/-32.3,41,+/-24,100.0%,+/-44.5,43,+/-34,66.2%,+/-46.6
Bachelor's degree or higher,20,+/-23,18.9%,+/-19.2,8,+/-12,19.5%,+/-25.7,12,+/-20,18.5%,+/-28.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,141,+/-51,(X),(X),115,+/-45,(X),(X),26,+/-24,(X),(X)
High school graduate or higher,136,+/-50,96.5%,+/-5.6,111,+/-44,96.5%,+/-5.9,25,+/-23,96.2%,+/-13.7
Bachelor's degree or higher,53,+/-53,37.6%,+/-33.0,53,+/-53,46.1%,+/-38.6,0,+/-24,0.0%,+/-55.9
Two or more races,237,+/-49,(X),(X),110,+/-30,(X),(X),127,+/-47,(X),(X)
High school graduate or higher,188,+/-48,79.3%,+/-8.6,95,+/-32,86.4%,+/-10.6,93,+/-42,73.2%,+/-14.6
Bachelor's degree or higher,27,+/-27,11.4%,+/-10.5,2,+/-5,1.8%,+/-4.8,25,+/-27,19.7%,+/-17.5
Hispanic or Latino Origin,587,+/-40,(X),(X),315,+/-44,(X),(X),272,+/-41,(X),(X)
High school graduate or higher,523,+/-68,89.1%,+/-9.0,265,+/-49,84.1%,+/-11.3,258,+/-52,94.9%,+/-8.6
Bachelor's degree or higher,174,+/-84,29.6%,+/-14.2,93,+/-72,29.5%,+/-23.5,81,+/-67,29.8%,+/-23.5
