Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,034",+/-123,(X),(X),"2,202",+/-126,(X),(X),"1,832",+/-30,(X),(X)
Less than high school graduate,756,+/-182,18.7%,+/-4.2,438,+/-158,19.9%,+/-6.5,318,+/-83,17.4%,+/-4.5
High school graduate (includes equivalency),"1,321",+/-193,32.7%,+/-5.0,874,+/-160,39.7%,+/-7.7,447,+/-125,24.4%,+/-6.8
Some college or associate's degree,"1,597",+/-228,39.6%,+/-5.6,683,+/-151,31.0%,+/-7.0,914,+/-171,49.9%,+/-9.3
Bachelor's degree or higher,360,+/-114,8.9%,+/-2.8,207,+/-75,9.4%,+/-3.4,153,+/-81,8.4%,+/-4.4
Population 25 years and over,"33,999",+/-111,(X),(X),"16,711",+/-105,(X),(X),"17,288",+/-130,(X),(X)
Less than 9th grade,943,+/-190,2.8%,+/-0.6,581,+/-168,3.5%,+/-1.0,362,+/-106,2.1%,+/-0.6
"9th to 12th grade, no diploma","2,184",+/-333,6.4%,+/-1.0,"1,152",+/-239,6.9%,+/-1.4,"1,032",+/-198,6.0%,+/-1.1
High school graduate (includes equivalency),"13,601",+/-721,40.0%,+/-2.1,"6,864",+/-509,41.1%,+/-3.0,"6,737",+/-453,39.0%,+/-2.6
"Some college, no degree","6,735",+/-626,19.8%,+/-1.8,"3,510",+/-417,21.0%,+/-2.5,"3,225",+/-387,18.7%,+/-2.3
Associate's degree,"3,157",+/-387,9.3%,+/-1.1,"1,303",+/-262,7.8%,+/-1.6,"1,854",+/-303,10.7%,+/-1.7
Bachelor's degree,"4,855",+/-434,14.3%,+/-1.3,"2,330",+/-321,13.9%,+/-1.9,"2,525",+/-277,14.6%,+/-1.6
Graduate or professional degree,"2,524",+/-366,7.4%,+/-1.1,971,+/-216,5.8%,+/-1.3,"1,553",+/-264,9.0%,+/-1.5
Percent high school graduate or higher,(X),(X),90.8%,+/-1.0,(X),(X),89.6%,+/-1.7,(X),(X),91.9%,+/-1.1
Percent bachelor's degree or higher,(X),(X),21.7%,+/-1.6,(X),(X),19.8%,+/-2.2,(X),(X),23.6%,+/-1.8
Population 25 to 34 years,"5,222",+/-82,(X),(X),"2,598",+/-22,(X),(X),"2,624",+/-79,(X),(X)
High school graduate or higher,"4,849",+/-128,92.9%,+/-2.3,"2,388",+/-82,91.9%,+/-3.1,"2,461",+/-98,93.8%,+/-3.4
Bachelor's degree or higher,"1,191",+/-224,22.8%,+/-4.3,400,+/-117,15.4%,+/-4.5,791,+/-173,30.1%,+/-6.7
Population 35 to 44 years,"6,062",+/-77,(X),(X),"3,064",+/-60,(X),(X),"2,998",+/-59,(X),(X)
High school graduate or higher,"5,701",+/-138,94.0%,+/-2.0,"2,767",+/-115,90.3%,+/-3.7,"2,934",+/-72,97.9%,+/-1.6
Bachelor's degree or higher,"1,671",+/-220,27.6%,+/-3.6,652,+/-162,21.3%,+/-5.3,"1,019",+/-165,34.0%,+/-5.4
Population 45 to 64 years,"14,831",+/-111,(X),(X),"7,379",+/-86,(X),(X),"7,452",+/-84,(X),(X)
High school graduate or higher,"13,567",+/-263,91.5%,+/-1.5,"6,635",+/-184,89.9%,+/-2.3,"6,932",+/-168,93.0%,+/-2.0
Bachelor's degree or higher,"3,126",+/-437,21.1%,+/-3.0,"1,552",+/-268,21.0%,+/-3.7,"1,574",+/-243,21.1%,+/-3.3
Population 65 years and over,"7,884",+/-76,(X),(X),"3,670",+/-67,(X),(X),"4,214",+/-33,(X),(X)
High school graduate or higher,"6,755",+/-236,85.7%,+/-2.7,"3,188",+/-148,86.9%,+/-3.5,"3,567",+/-165,84.6%,+/-3.8
Bachelor's degree or higher,"1,391",+/-237,17.6%,+/-3.0,697,+/-169,19.0%,+/-4.6,694,+/-135,16.5%,+/-3.2
