RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"33,252",+/-79,(X),(X),"16,305",+/-44,(X),(X),"16,947",+/-61,(X),(X)
High school graduate or higher,"30,284",+/-364,91.1%,+/-1.1,"14,653",+/-277,89.9%,+/-1.7,"15,631",+/-213,92.2%,+/-1.2
Bachelor's degree or higher,"7,273",+/-531,21.9%,+/-1.6,"3,270",+/-356,20.1%,+/-2.2,"4,003",+/-314,23.6%,+/-1.9
"White alone, not Hispanic or Latino","33,113",+/-49,(X),(X),"16,248",+/-19,(X),(X),"16,865",+/-38,(X),(X)
High school graduate or higher,"30,175",+/-358,91.1%,+/-1.1,"14,619",+/-274,90.0%,+/-1.7,"15,556",+/-206,92.2%,+/-1.2
Bachelor's degree or higher,"7,255",+/-533,21.9%,+/-1.6,"3,264",+/-358,20.1%,+/-2.2,"3,991",+/-312,23.7%,+/-1.9
Black alone,250,+/-48,(X),(X),141,+/-48,(X),(X),109,+/-49,(X),(X)
High school graduate or higher,198,+/-59,79.2%,+/-12.8,134,+/-48,95.0%,+/-9.2,64,+/-54,58.7%,+/-31.7
Bachelor's degree or higher,36,+/-42,14.4%,+/-16.0,16,+/-24,11.3%,+/-16.9,20,+/-34,18.3%,+/-33.0
American Indian or Alaska Native alone,120,+/-75,(X),(X),71,+/-64,(X),(X),49,+/-70,(X),(X)
High school graduate or higher,69,+/-73,57.5%,+/-44.2,20,+/-34,28.2%,+/-42.7,49,+/-70,100.0%,+/-40.7
Bachelor's degree or higher,21,+/-31,17.5%,+/-21.3,0,+/-24,0.0%,+/-33.0,21,+/-31,42.9%,+/-7.0
Asian alone,104,+/-54,(X),(X),53,+/-37,(X),(X),51,+/-31,(X),(X)
High school graduate or higher,104,+/-54,100.0%,+/-24.7,53,+/-37,100.0%,+/-39.1,51,+/-31,100.0%,+/-39.9
Bachelor's degree or higher,44,+/-47,42.3%,+/-52.3,15,+/-19,28.3%,+/-51.5,29,+/-35,56.9%,+/-49.2
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,178,+/-91,(X),(X),97,+/-69,(X),(X),81,+/-67,(X),(X)
High school graduate or higher,155,+/-85,87.1%,+/-18.8,97,+/-69,100.0%,+/-26.1,58,+/-57,71.6%,+/-37.8
Bachelor's degree or higher,0,+/-24,0.0%,+/-15.5,0,+/-24,0.0%,+/-26.1,0,+/-24,0.0%,+/-30.0
Two or more races,95,+/-68,(X),(X),44,+/-32,(X),(X),51,+/-59,(X),(X)
High school graduate or higher,62,+/-61,65.3%,+/-29.9,21,+/-19,47.7%,+/-48.4,41,+/-55,80.4%,+/-33.3
Bachelor's degree or higher,5,+/-8,5.3%,+/-8.9,0,+/-24,0.0%,+/-43.0,5,+/-8,9.8%,+/-19.5
Hispanic or Latino Origin,271,+/-55,(X),(X),142,+/-71,(X),(X),129,+/-49,(X),(X)
High school graduate or higher,241,+/-64,88.9%,+/-11.4,119,+/-74,83.8%,+/-21.5,122,+/-49,94.6%,+/-8.4
Bachelor's degree or higher,18,+/-15,6.6%,+/-5.5,6,+/-10,4.2%,+/-7.0,12,+/-14,9.3%,+/-12.1
