Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,201",+/-100,(X),(X),"1,143",+/-74,(X),(X),"1,058",+/-34,(X),(X)
Less than high school graduate,438,+/-112,19.9%,+/-5.4,239,+/-70,20.9%,+/-6.5,199,+/-96,18.8%,+/-9.2
High school graduate (includes equivalency),785,+/-170,35.7%,+/-7.7,426,+/-122,37.3%,+/-10.9,359,+/-121,33.9%,+/-11.3
Some college or associate's degree,720,+/-202,32.7%,+/-8.6,347,+/-135,30.4%,+/-11.2,373,+/-108,35.3%,+/-10.0
Bachelor's degree or higher,258,+/-127,11.7%,+/-5.7,131,+/-87,11.5%,+/-7.5,127,+/-84,12.0%,+/-7.9
Population 25 years and over,"17,757",+/-95,(X),(X),"8,611",+/-87,(X),(X),"9,146",+/-91,(X),(X)
Less than 9th grade,549,+/-133,3.1%,+/-0.7,305,+/-99,3.5%,+/-1.2,244,+/-96,2.7%,+/-1.1
"9th to 12th grade, no diploma","1,306",+/-226,7.4%,+/-1.3,702,+/-169,8.2%,+/-2.0,604,+/-131,6.6%,+/-1.4
High school graduate (includes equivalency),"7,777",+/-416,43.8%,+/-2.3,"3,771",+/-263,43.8%,+/-3.0,"4,006",+/-245,43.8%,+/-2.6
"Some college, no degree","3,090",+/-332,17.4%,+/-1.9,"1,551",+/-202,18.0%,+/-2.3,"1,539",+/-225,16.8%,+/-2.4
Associate's degree,"1,534",+/-207,8.6%,+/-1.2,607,+/-144,7.0%,+/-1.7,927,+/-170,10.1%,+/-1.9
Bachelor's degree,"2,281",+/-295,12.8%,+/-1.7,"1,127",+/-186,13.1%,+/-2.1,"1,154",+/-194,12.6%,+/-2.1
Graduate or professional degree,"1,220",+/-201,6.9%,+/-1.1,548,+/-133,6.4%,+/-1.6,672,+/-118,7.3%,+/-1.3
Percent high school graduate or higher,(X),(X),89.6%,+/-1.5,(X),(X),88.3%,+/-2.3,(X),(X),90.7%,+/-1.6
Percent bachelor's degree or higher,(X),(X),19.7%,+/-2.1,(X),(X),19.5%,+/-2.7,(X),(X),20.0%,+/-2.5
Population 25 to 34 years,"3,184",+/-90,(X),(X),"1,623",+/-53,(X),(X),"1,561",+/-68,(X),(X)
High school graduate or higher,"3,000",+/-117,94.2%,+/-2.6,"1,531",+/-74,94.3%,+/-3.7,"1,469",+/-86,94.1%,+/-3.7
Bachelor's degree or higher,911,+/-157,28.6%,+/-4.8,430,+/-119,26.5%,+/-7.3,481,+/-116,30.8%,+/-7.3
Population 35 to 44 years,"3,206",+/-91,(X),(X),"1,608",+/-50,(X),(X),"1,598",+/-75,(X),(X)
High school graduate or higher,"3,027",+/-104,94.4%,+/-2.0,"1,531",+/-48,95.2%,+/-2.5,"1,496",+/-96,93.6%,+/-3.3
Bachelor's degree or higher,822,+/-178,25.6%,+/-5.2,426,+/-111,26.5%,+/-6.8,396,+/-128,24.8%,+/-7.3
Population 45 to 64 years,"7,188",+/-84,(X),(X),"3,536",+/-59,(X),(X),"3,652",+/-77,(X),(X)
High school graduate or higher,"6,376",+/-211,88.7%,+/-2.8,"2,976",+/-156,84.2%,+/-4.4,"3,400",+/-125,93.1%,+/-2.6
Bachelor's degree or higher,"1,279",+/-230,17.8%,+/-3.2,567,+/-134,16.0%,+/-3.8,712,+/-144,19.5%,+/-4.0
Population 65 years and over,"4,179",+/-83,(X),(X),"1,844",+/-59,(X),(X),"2,335",+/-43,(X),(X)
High school graduate or higher,"3,499",+/-179,83.7%,+/-3.5,"1,566",+/-117,84.9%,+/-4.9,"1,933",+/-115,82.8%,+/-4.5
Bachelor's degree or higher,489,+/-127,11.7%,+/-3.0,252,+/-82,13.7%,+/-4.3,237,+/-87,10.1%,+/-3.7
