RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,060",+/-93,(X),(X),"8,267",+/-38,(X),(X),"8,793",+/-72,(X),(X)
High school graduate or higher,"15,264",+/-284,89.5%,+/-1.6,"7,318",+/-188,88.5%,+/-2.3,"7,946",+/-163,90.4%,+/-1.7
Bachelor's degree or higher,"3,200",+/-353,18.8%,+/-2.1,"1,504",+/-229,18.2%,+/-2.8,"1,696",+/-215,19.3%,+/-2.4
"White alone, not Hispanic or Latino","16,959",+/-55,(X),(X),"8,224",+/-21,(X),(X),"8,735",+/-55,(X),(X)
High school graduate or higher,"15,185",+/-269,89.5%,+/-1.6,"7,295",+/-185,88.7%,+/-2.2,"7,890",+/-154,90.3%,+/-1.7
Bachelor's degree or higher,"3,200",+/-353,18.9%,+/-2.1,"1,504",+/-229,18.3%,+/-2.8,"1,696",+/-215,19.4%,+/-2.5
Black alone,131,+/-48,(X),(X),97,+/-47,(X),(X),34,+/-48,(X),(X)
High school graduate or higher,96,+/-49,73.3%,+/-35.3,62,+/-36,63.9%,+/-42.5,34,+/-48,100.0%,+/-48.9
Bachelor's degree or higher,39,+/-30,29.8%,+/-31.6,31,+/-26,32.0%,+/-33.4,8,+/-11,23.5%,+/-67.1
American Indian or Alaska Native alone,81,+/-99,(X),(X),23,+/-33,(X),(X),58,+/-67,(X),(X)
High school graduate or higher,58,+/-67,71.6%,+/-11.0,0,+/-21,0.0%,+/-59.4,58,+/-67,100.0%,+/-37.4
Bachelor's degree or higher,12,+/-17,14.8%,+/-33.0,0,+/-21,0.0%,+/-59.4,12,+/-17,20.7%,+/-40.9
Asian alone,324,+/-33,(X),(X),153,+/-57,(X),(X),171,+/-47,(X),(X)
High school graduate or higher,324,+/-33,100.0%,+/-8.8,153,+/-57,100.0%,+/-17.7,171,+/-47,100.0%,+/-16.0
Bachelor's degree or higher,223,+/-54,68.8%,+/-15.5,116,+/-62,75.8%,+/-28.1,107,+/-72,62.6%,+/-32.4
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,29,+/-38,(X),(X),29,+/-38,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,29,+/-38,100.0%,+/-52.9,29,+/-38,100.0%,+/-52.9,0,+/-21,-,**
Bachelor's degree or higher,24,+/-37,82.8%,+/-40.7,24,+/-37,82.8%,+/-40.7,0,+/-21,-,**
Two or more races,132,+/-71,(X),(X),42,+/-41,(X),(X),90,+/-64,(X),(X)
High school graduate or higher,131,+/-70,99.2%,+/-2.4,42,+/-41,100.0%,+/-44.0,89,+/-64,98.9%,+/-3.9
Bachelor's degree or higher,3,+/-5,2.3%,+/-3.8,0,+/-21,0.0%,+/-44.0,3,+/-5,3.3%,+/-6.4
Hispanic or Latino Origin,216,+/-86,(X),(X),112,+/-56,(X),(X),104,+/-62,(X),(X)
High school graduate or higher,171,+/-71,79.2%,+/-13.0,69,+/-57,61.6%,+/-32.8,102,+/-63,98.1%,+/-4.8
Bachelor's degree or higher,24,+/-37,11.1%,+/-16.6,24,+/-37,21.4%,+/-28.5,0,+/-21,0.0%,+/-24.7
