RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"64,785",+/-141,(X),(X),"30,759",+/-101,(X),(X),"34,026",+/-98,(X),(X)
High school graduate or higher,"57,806",+/-520,89.2%,+/-0.7,"27,155",+/-321,88.3%,+/-1.0,"30,651",+/-339,90.1%,+/-0.9
Bachelor's degree or higher,"15,429",+/-747,23.8%,+/-1.1,"7,010",+/-429,22.8%,+/-1.4,"8,419",+/-492,24.7%,+/-1.4
"White alone, not Hispanic or Latino","64,216",+/-34,(X),(X),"30,491",+/-34,(X),(X),"33,725",+/-27,(X),(X)
High school graduate or higher,"57,369",+/-477,89.3%,+/-0.7,"26,957",+/-305,88.4%,+/-1.0,"30,412",+/-313,90.2%,+/-0.9
Bachelor's degree or higher,"15,241",+/-731,23.7%,+/-1.1,"6,942",+/-432,22.8%,+/-1.4,"8,299",+/-476,24.6%,+/-1.4
Black alone,"3,477",+/-262,(X),(X),"1,662",+/-140,(X),(X),"1,815",+/-182,(X),(X)
High school graduate or higher,"2,888",+/-247,83.1%,+/-3.0,"1,402",+/-141,84.4%,+/-4.5,"1,486",+/-174,81.9%,+/-4.2
Bachelor's degree or higher,502,+/-142,14.4%,+/-3.7,204,+/-78,12.3%,+/-4.5,298,+/-106,16.4%,+/-5.3
American Indian or Alaska Native alone,87,+/-53,(X),(X),37,+/-32,(X),(X),50,+/-34,(X),(X)
High school graduate or higher,71,+/-49,81.6%,+/-20.8,26,+/-26,70.3%,+/-39.0,45,+/-33,90.0%,+/-15.7
Bachelor's degree or higher,0,+/-27,0.0%,+/-28.4,0,+/-27,0.0%,+/-46.8,0,+/-27,0.0%,+/-40.3
Asian alone,808,+/-152,(X),(X),355,+/-110,(X),(X),453,+/-97,(X),(X)
High school graduate or higher,755,+/-159,93.4%,+/-4.9,338,+/-113,95.2%,+/-6.5,417,+/-100,92.1%,+/-6.9
Bachelor's degree or higher,468,+/-157,57.9%,+/-14.6,294,+/-120,82.8%,+/-15.7,174,+/-84,38.4%,+/-19.7
Native Hawaiian and Other Pacific Islander alone,9,+/-13,(X),(X),6,+/-9,(X),(X),3,+/-8,(X),(X)
High school graduate or higher,6,+/-9,66.7%,+/-66.7,6,+/-9,100.0%,+/-100.0,0,+/-27,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-95.0,0,+/-27,0.0%,+/-100.0,0,+/-27,0.0%,+/-100.0
Some other race alone,303,+/-123,(X),(X),158,+/-86,(X),(X),145,+/-90,(X),(X)
High school graduate or higher,174,+/-95,57.4%,+/-27.8,112,+/-85,70.9%,+/-30.3,62,+/-58,42.8%,+/-32.3
Bachelor's degree or higher,33,+/-33,10.9%,+/-10.6,15,+/-25,9.5%,+/-15.0,18,+/-22,12.4%,+/-14.2
Two or more races,"1,630",+/-259,(X),(X),722,+/-145,(X),(X),908,+/-184,(X),(X)
High school graduate or higher,"1,349",+/-232,82.8%,+/-5.6,577,+/-125,79.9%,+/-8.7,772,+/-178,85.0%,+/-7.0
Bachelor's degree or higher,97,+/-56,6.0%,+/-3.4,74,+/-51,10.2%,+/-6.4,23,+/-30,2.5%,+/-3.5
Hispanic or Latino Origin,897,+/-72,(X),(X),439,+/-64,(X),(X),458,+/-49,(X),(X)
High school graduate or higher,624,+/-157,69.6%,+/-15.2,311,+/-88,70.8%,+/-16.2,313,+/-113,68.3%,+/-20.7
Bachelor's degree or higher,223,+/-107,24.9%,+/-12.0,85,+/-42,19.4%,+/-9.2,138,+/-91,30.1%,+/-19.1
