Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"22,776",+/-134,(X),(X),"10,908",+/-102,(X),(X),"11,868",+/-116,(X),(X)
Less than high school graduate,"1,802",+/-330,7.9%,+/-1.4,993,+/-209,9.1%,+/-1.9,809,+/-229,6.8%,+/-1.9
High school graduate (includes equivalency),"4,444",+/-587,19.5%,+/-2.6,"2,611",+/-344,23.9%,+/-3.2,"1,833",+/-400,15.4%,+/-3.3
Some college or associate's degree,"14,350",+/-767,63.0%,+/-3.3,"6,189",+/-503,56.7%,+/-4.5,"8,161",+/-441,68.8%,+/-3.6
Bachelor's degree or higher,"2,180",+/-418,9.6%,+/-1.8,"1,115",+/-282,10.2%,+/-2.6,"1,065",+/-269,9.0%,+/-2.3
Population 25 years and over,"71,195",+/-134,(X),(X),"33,726",+/-124,(X),(X),"37,469",+/-130,(X),(X)
Less than 9th grade,"1,993",+/-308,2.8%,+/-0.4,984,+/-183,2.9%,+/-0.5,"1,009",+/-210,2.7%,+/-0.6
"9th to 12th grade, no diploma","5,500",+/-505,7.7%,+/-0.7,"2,666",+/-332,7.9%,+/-1.0,"2,834",+/-329,7.6%,+/-0.9
High school graduate (includes equivalency),"24,895",+/-867,35.0%,+/-1.2,"12,235",+/-557,36.3%,+/-1.6,"12,660",+/-618,33.8%,+/-1.6
"Some college, no degree","15,376",+/-724,21.6%,+/-1.0,"7,425",+/-553,22.0%,+/-1.6,"7,951",+/-461,21.2%,+/-1.2
Associate's degree,"6,383",+/-483,9.0%,+/-0.7,"2,561",+/-310,7.6%,+/-0.9,"3,822",+/-348,10.2%,+/-0.9
Bachelor's degree,"9,852",+/-510,13.8%,+/-0.7,"4,465",+/-388,13.2%,+/-1.1,"5,387",+/-387,14.4%,+/-1.0
Graduate or professional degree,"7,196",+/-619,10.1%,+/-0.9,"3,390",+/-387,10.1%,+/-1.1,"3,806",+/-397,10.2%,+/-1.1
Percent high school graduate or higher,(X),(X),89.5%,+/-0.8,(X),(X),89.2%,+/-1.2,(X),(X),89.7%,+/-1.0
Percent bachelor's degree or higher,(X),(X),23.9%,+/-1.0,(X),(X),23.3%,+/-1.4,(X),(X),24.5%,+/-1.3
Population 25 to 34 years,"12,823",+/-194,(X),(X),"6,445",+/-137,(X),(X),"6,378",+/-95,(X),(X)
High school graduate or higher,"11,692",+/-321,91.2%,+/-1.8,"5,757",+/-233,89.3%,+/-2.9,"5,935",+/-199,93.1%,+/-2.3
Bachelor's degree or higher,"3,613",+/-411,28.2%,+/-3.1,"1,711",+/-290,26.5%,+/-4.4,"1,902",+/-249,29.8%,+/-3.8
Population 35 to 44 years,"11,879",+/-165,(X),(X),"5,832",+/-96,(X),(X),"6,047",+/-121,(X),(X)
High school graduate or higher,"11,001",+/-263,92.6%,+/-1.7,"5,328",+/-163,91.4%,+/-2.2,"5,673",+/-164,93.8%,+/-2.1
Bachelor's degree or higher,"3,396",+/-380,28.6%,+/-3.2,"1,332",+/-224,22.8%,+/-3.8,"2,064",+/-242,34.1%,+/-4.0
Population 45 to 64 years,"27,650",+/-219,(X),(X),"13,324",+/-119,(X),(X),"14,326",+/-138,(X),(X)
High school graduate or higher,"25,180",+/-407,91.1%,+/-1.2,"11,995",+/-236,90.0%,+/-1.5,"13,185",+/-243,92.0%,+/-1.4
Bachelor's degree or higher,"6,350",+/-484,23.0%,+/-1.7,"2,995",+/-267,22.5%,+/-2.0,"3,355",+/-336,23.4%,+/-2.3
Population 65 years and over,"18,843",+/-111,(X),(X),"8,125",+/-67,(X),(X),"10,718",+/-116,(X),(X)
High school graduate or higher,"15,829",+/-365,84.0%,+/-1.7,"6,996",+/-221,86.1%,+/-2.6,"8,833",+/-246,82.4%,+/-2.0
Bachelor's degree or higher,"3,689",+/-389,19.6%,+/-2.1,"1,817",+/-245,22.4%,+/-3.0,"1,872",+/-217,17.5%,+/-2.0
