RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,719",+/-312,(X),(X),"13,540",+/-214,(X),(X),"14,179",+/-134,(X),(X)
High school graduate or higher,"24,698",+/-357,89.1%,+/-1.3,"12,047",+/-265,89.0%,+/-1.8,"12,651",+/-212,89.2%,+/-1.6
Bachelor's degree or higher,"5,268",+/-485,19.0%,+/-1.7,"2,483",+/-303,18.3%,+/-2.2,"2,785",+/-299,19.6%,+/-2.1
"White alone, not Hispanic or Latino","26,971",+/-30,(X),(X),"13,116",+/-30,(X),(X),"13,855",+/-24,(X),(X)
High school graduate or higher,"24,369",+/-313,90.4%,+/-1.2,"11,855",+/-222,90.4%,+/-1.7,"12,514",+/-206,90.3%,+/-1.5
Bachelor's degree or higher,"5,212",+/-475,19.3%,+/-1.8,"2,429",+/-288,18.5%,+/-2.2,"2,783",+/-299,20.1%,+/-2.2
Black alone,79,+/-54,(X),(X),65,+/-54,(X),(X),14,+/-18,(X),(X)
High school graduate or higher,67,+/-52,84.8%,+/-21.6,53,+/-51,81.5%,+/-26.2,14,+/-18,100.0%,+/-76.1
Bachelor's degree or higher,8,+/-14,10.1%,+/-19.0,0,+/-24,0.0%,+/-34.9,8,+/-14,57.1%,+/-57.1
American Indian or Alaska Native alone,19,+/-34,(X),(X),19,+/-34,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,19,+/-34,100.0%,+/-65.4,19,+/-34,100.0%,+/-65.4,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-65.4,0,+/-24,0.0%,+/-65.4,0,+/-24,-,**
Asian alone,94,+/-54,(X),(X),44,+/-54,(X),(X),50,+/-48,(X),(X)
High school graduate or higher,57,+/-57,60.6%,+/-43.5,44,+/-54,100.0%,+/-43.0,13,+/-19,26.0%,+/-38.0
Bachelor's degree or higher,34,+/-40,36.2%,+/-37.4,21,+/-35,47.7%,+/-52.3,13,+/-19,26.0%,+/-38.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,525,+/-256,(X),(X),280,+/-137,(X),(X),245,+/-142,(X),(X)
High school graduate or higher,167,+/-124,31.8%,+/-20.6,104,+/-94,37.1%,+/-28.7,63,+/-78,25.7%,+/-27.5
Bachelor's degree or higher,0,+/-24,0.0%,+/-5.6,0,+/-24,0.0%,+/-10.2,0,+/-24,0.0%,+/-11.5
Two or more races,67,+/-65,(X),(X),41,+/-44,(X),(X),26,+/-31,(X),(X)
High school graduate or higher,48,+/-44,71.6%,+/-26.8,22,+/-30,53.7%,+/-50.6,26,+/-31,100.0%,+/-55.9
Bachelor's degree or higher,19,+/-30,28.4%,+/-39.6,19,+/-30,46.3%,+/-52.5,0,+/-24,0.0%,+/-55.9
Hispanic or Latino Origin,"1,287",+/-127,(X),(X),705,+/-144,(X),(X),582,+/-114,(X),(X)
High school graduate or higher,510,+/-185,39.6%,+/-14.3,297,+/-147,42.1%,+/-17.4,213,+/-95,36.6%,+/-17.4
Bachelor's degree or higher,69,+/-60,5.4%,+/-4.7,54,+/-59,7.7%,+/-7.9,15,+/-19,2.6%,+/-3.2
