Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,521",+/-176,(X),(X),"1,746",+/-120,(X),(X),"1,775",+/-96,(X),(X)
Less than high school graduate,494,+/-180,14.0%,+/-5.0,310,+/-121,17.8%,+/-6.7,184,+/-140,10.4%,+/-7.8
High school graduate (includes equivalency),"1,106",+/-318,31.4%,+/-8.3,669,+/-187,38.3%,+/-9.9,437,+/-196,24.6%,+/-10.5
Some college or associate's degree,"1,608",+/-279,45.7%,+/-8.5,672,+/-195,38.5%,+/-11.6,936,+/-171,52.7%,+/-10.3
Bachelor's degree or higher,313,+/-152,8.9%,+/-4.4,95,+/-56,5.4%,+/-3.2,218,+/-144,12.3%,+/-8.2
Population 25 years and over,"28,458",+/-224,(X),(X),"14,062",+/-216,(X),(X),"14,396",+/-138,(X),(X)
Less than 9th grade,"1,214",+/-272,4.3%,+/-1.0,557,+/-178,4.0%,+/-1.3,657,+/-183,4.6%,+/-1.3
"9th to 12th grade, no diploma","2,072",+/-341,7.3%,+/-1.2,"1,229",+/-272,8.7%,+/-1.9,843,+/-187,5.9%,+/-1.3
High school graduate (includes equivalency),"10,976",+/-658,38.6%,+/-2.4,"5,557",+/-390,39.5%,+/-2.8,"5,419",+/-447,37.6%,+/-3.2
"Some college, no degree","4,495",+/-486,15.8%,+/-1.7,"2,285",+/-302,16.2%,+/-2.1,"2,210",+/-316,15.4%,+/-2.2
Associate's degree,"3,610",+/-450,12.7%,+/-1.6,"1,613",+/-276,11.5%,+/-2.0,"1,997",+/-288,13.9%,+/-2.0
Bachelor's degree,"4,394",+/-489,15.4%,+/-1.7,"2,049",+/-292,14.6%,+/-2.1,"2,345",+/-342,16.3%,+/-2.4
Graduate or professional degree,"1,697",+/-317,6.0%,+/-1.1,772,+/-185,5.5%,+/-1.3,925,+/-261,6.4%,+/-1.8
Percent high school graduate or higher,(X),(X),88.5%,+/-1.4,(X),(X),87.3%,+/-2.2,(X),(X),89.6%,+/-1.7
Percent bachelor's degree or higher,(X),(X),21.4%,+/-2.1,(X),(X),20.1%,+/-2.4,(X),(X),22.7%,+/-2.5
Population 25 to 34 years,"4,530",+/-189,(X),(X),"2,352",+/-126,(X),(X),"2,178",+/-104,(X),(X)
High school graduate or higher,"4,022",+/-129,88.8%,+/-4.2,"2,070",+/-90,88.0%,+/-6.3,"1,952",+/-102,89.6%,+/-4.7
Bachelor's degree or higher,"1,424",+/-280,31.4%,+/-6.3,634,+/-169,27.0%,+/-7.4,790,+/-182,36.3%,+/-8.4
Population 35 to 44 years,"5,133",+/-171,(X),(X),"2,640",+/-139,(X),(X),"2,493",+/-110,(X),(X)
High school graduate or higher,"4,552",+/-219,88.7%,+/-3.3,"2,293",+/-179,86.9%,+/-5.6,"2,259",+/-127,90.6%,+/-4.2
Bachelor's degree or higher,"1,301",+/-220,25.3%,+/-4.3,498,+/-133,18.9%,+/-5.0,803,+/-136,32.2%,+/-5.6
Population 45 to 64 years,"11,960",+/-161,(X),(X),"6,117",+/-143,(X),(X),"5,843",+/-118,(X),(X)
High school graduate or higher,"11,232",+/-225,93.9%,+/-1.5,"5,660",+/-173,92.5%,+/-2.5,"5,572",+/-127,95.4%,+/-1.6
Bachelor's degree or higher,"2,419",+/-346,20.2%,+/-2.9,"1,162",+/-191,19.0%,+/-3.2,"1,257",+/-235,21.5%,+/-4.0
Population 65 years and over,"6,835",+/-91,(X),(X),"2,953",+/-90,(X),(X),"3,882",+/-3,(X),(X)
High school graduate or higher,"5,366",+/-203,78.5%,+/-3.0,"2,253",+/-136,76.3%,+/-4.9,"3,113",+/-148,80.2%,+/-3.8
Bachelor's degree or higher,947,+/-227,13.9%,+/-3.3,527,+/-114,17.8%,+/-3.8,420,+/-170,10.8%,+/-4.4
