Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"18,007",+/-97,(X),(X),"9,244",+/-78,(X),(X),"8,763",+/-54,(X),(X)
Less than high school graduate,"4,900",+/-442,27.2%,+/-2.4,"2,763",+/-301,29.9%,+/-3.2,"2,137",+/-323,24.4%,+/-3.7
High school graduate (includes equivalency),"6,302",+/-443,35.0%,+/-2.5,"3,286",+/-370,35.5%,+/-4.0,"3,016",+/-380,34.4%,+/-4.3
Some college or associate's degree,"6,153",+/-526,34.2%,+/-2.9,"2,950",+/-407,31.9%,+/-4.4,"3,203",+/-312,36.6%,+/-3.6
Bachelor's degree or higher,652,+/-200,3.6%,+/-1.1,245,+/-119,2.7%,+/-1.3,407,+/-131,4.6%,+/-1.5
Population 25 years and over,"127,176",+/-102,(X),(X),"61,715",+/-79,(X),(X),"65,461",+/-63,(X),(X)
Less than 9th grade,"10,769",+/-785,8.5%,+/-0.6,"6,012",+/-501,9.7%,+/-0.8,"4,757",+/-496,7.3%,+/-0.8
"9th to 12th grade, no diploma","14,019",+/-834,11.0%,+/-0.7,"6,279",+/-498,10.2%,+/-0.8,"7,740",+/-597,11.8%,+/-0.9
High school graduate (includes equivalency),"46,692","+/-1,475",36.7%,+/-1.2,"23,343",+/-868,37.8%,+/-1.4,"23,349",+/-977,35.7%,+/-1.5
"Some college, no degree","24,553","+/-1,054",19.3%,+/-0.8,"11,718",+/-588,19.0%,+/-1.0,"12,835",+/-823,19.6%,+/-1.3
Associate's degree,"7,909",+/-599,6.2%,+/-0.5,"3,346",+/-423,5.4%,+/-0.7,"4,563",+/-426,7.0%,+/-0.7
Bachelor's degree,"15,497",+/-980,12.2%,+/-0.8,"7,256",+/-585,11.8%,+/-0.9,"8,241",+/-670,12.6%,+/-1.0
Graduate or professional degree,"7,737",+/-565,6.1%,+/-0.4,"3,761",+/-357,6.1%,+/-0.6,"3,976",+/-370,6.1%,+/-0.6
Percent high school graduate or higher,(X),(X),80.5%,+/-0.8,(X),(X),80.1%,+/-1.1,(X),(X),80.9%,+/-1.0
Percent bachelor's degree or higher,(X),(X),18.3%,+/-0.9,(X),(X),17.9%,+/-1.0,(X),(X),18.7%,+/-1.2
Population 25 to 34 years,"25,484",+/-102,(X),(X),"12,767",+/-88,(X),(X),"12,717",+/-53,(X),(X)
High school graduate or higher,"19,892",+/-610,78.1%,+/-2.4,"9,740",+/-428,76.3%,+/-3.3,"10,152",+/-337,79.8%,+/-2.6
Bachelor's degree or higher,"4,308",+/-563,16.9%,+/-2.2,"1,632",+/-306,12.8%,+/-2.4,"2,676",+/-414,21.0%,+/-3.2
Population 35 to 44 years,"25,188",+/-127,(X),(X),"12,646",+/-88,(X),(X),"12,542",+/-94,(X),(X)
High school graduate or higher,"20,306",+/-590,80.6%,+/-2.3,"10,196",+/-334,80.6%,+/-2.6,"10,110",+/-368,80.6%,+/-2.8
Bachelor's degree or higher,"4,883",+/-487,19.4%,+/-1.9,"2,232",+/-328,17.6%,+/-2.6,"2,651",+/-334,21.1%,+/-2.6
Population 45 to 64 years,"49,645",+/-160,(X),(X),"24,574",+/-99,(X),(X),"25,071",+/-111,(X),(X)
High school graduate or higher,"40,841",+/-651,82.3%,+/-1.3,"20,039",+/-426,81.5%,+/-1.7,"20,802",+/-398,83.0%,+/-1.6
Bachelor's degree or higher,"9,131",+/-646,18.4%,+/-1.3,"4,508",+/-409,18.3%,+/-1.7,"4,623",+/-420,18.4%,+/-1.7
Population 65 years and over,"26,859",+/-94,(X),(X),"11,728",+/-63,(X),(X),"15,131",+/-61,(X),(X)
High school graduate or higher,"21,349",+/-466,79.5%,+/-1.6,"9,449",+/-267,80.6%,+/-2.1,"11,900",+/-340,78.6%,+/-2.2
Bachelor's degree or higher,"4,912",+/-366,18.3%,+/-1.4,"2,645",+/-247,22.6%,+/-2.1,"2,267",+/-245,15.0%,+/-1.6
