RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"116,158",+/-501,(X),(X),"56,207",+/-323,(X),(X),"59,951",+/-291,(X),(X)
High school graduate or higher,"94,548","+/-1,041",81.4%,+/-0.9,"45,296",+/-670,80.6%,+/-1.2,"49,252",+/-632,82.2%,+/-1.0
Bachelor's degree or higher,"22,676","+/-1,209",19.5%,+/-1.0,"10,873",+/-701,19.3%,+/-1.2,"11,803",+/-741,19.7%,+/-1.2
"White alone, not Hispanic or Latino","104,196",+/-93,(X),(X),"49,927",+/-81,(X),(X),"54,269",+/-46,(X),(X)
High school graduate or higher,"88,400",+/-890,84.8%,+/-0.8,"42,163",+/-552,84.4%,+/-1.1,"46,237",+/-545,85.2%,+/-1.0
Bachelor's degree or higher,"21,955","+/-1,149",21.1%,+/-1.1,"10,582",+/-653,21.2%,+/-1.3,"11,373",+/-699,21.0%,+/-1.3
Black alone,"6,420",+/-154,(X),(X),"3,124",+/-123,(X),(X),"3,296",+/-100,(X),(X)
High school graduate or higher,"5,074",+/-283,79.0%,+/-3.9,"2,543",+/-179,81.4%,+/-4.7,"2,531",+/-201,76.8%,+/-5.9
Bachelor's degree or higher,619,+/-141,9.6%,+/-2.2,223,+/-97,7.1%,+/-3.1,396,+/-110,12.0%,+/-3.2
American Indian or Alaska Native alone,239,+/-80,(X),(X),188,+/-67,(X),(X),51,+/-39,(X),(X)
High school graduate or higher,176,+/-78,73.6%,+/-20.4,135,+/-63,71.8%,+/-24.1,41,+/-34,80.4%,+/-33.7
Bachelor's degree or higher,0,+/-27,0.0%,+/-11.8,0,+/-27,0.0%,+/-14.7,0,+/-27,0.0%,+/-39.9
Asian alone,"1,525",+/-109,(X),(X),639,+/-82,(X),(X),886,+/-64,(X),(X)
High school graduate or higher,"1,319",+/-127,86.5%,+/-5.4,561,+/-85,87.8%,+/-8.1,758,+/-76,85.6%,+/-5.9
Bachelor's degree or higher,353,+/-149,23.1%,+/-9.9,175,+/-75,27.4%,+/-12.0,178,+/-93,20.1%,+/-10.4
Native Hawaiian and Other Pacific Islander alone,79,+/-41,(X),(X),41,+/-29,(X),(X),38,+/-29,(X),(X)
High school graduate or higher,79,+/-41,100.0%,+/-30.6,41,+/-29,100.0%,+/-44.5,38,+/-29,100.0%,+/-46.2
Bachelor's degree or higher,21,+/-20,26.6%,+/-27.5,10,+/-14,24.4%,+/-36.2,11,+/-17,28.9%,+/-43.3
Some other race alone,"2,320",+/-486,(X),(X),"1,383",+/-302,(X),(X),937,+/-271,(X),(X)
High school graduate or higher,"1,287",+/-302,55.5%,+/-7.3,734,+/-189,53.1%,+/-8.8,553,+/-196,59.0%,+/-9.8
Bachelor's degree or higher,152,+/-91,6.6%,+/-3.7,85,+/-59,6.1%,+/-4.2,67,+/-68,7.2%,+/-6.7
Two or more races,"1,411",+/-196,(X),(X),611,+/-157,(X),(X),800,+/-152,(X),(X)
High school graduate or higher,"1,108",+/-203,78.5%,+/-8.4,531,+/-153,86.9%,+/-11.5,577,+/-139,72.1%,+/-10.8
Bachelor's degree or higher,152,+/-72,10.8%,+/-5.0,69,+/-51,11.3%,+/-8.1,83,+/-61,10.4%,+/-7.0
Hispanic or Latino Origin,"14,511",*****,(X),(X),"7,782",*****,(X),(X),"6,729",*****,(X),(X)
High school graduate or higher,"7,588",+/-566,52.3%,+/-3.9,"3,970",+/-351,51.0%,+/-4.5,"3,618",+/-339,53.8%,+/-5.0
Bachelor's degree or higher,922,+/-289,6.4%,+/-2.0,366,+/-158,4.7%,+/-2.0,556,+/-193,8.3%,+/-2.9
