RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,986",+/-71,(X),(X),"7,688",+/-16,(X),(X),"8,298",+/-66,(X),(X)
High school graduate or higher,"12,899",+/-321,80.7%,+/-2.0,"6,082",+/-215,79.1%,+/-2.8,"6,817",+/-208,82.2%,+/-2.4
Bachelor's degree or higher,"1,565",+/-221,9.8%,+/-1.4,758,+/-144,9.9%,+/-1.9,807,+/-162,9.7%,+/-1.9
"White alone, not Hispanic or Latino","15,921",+/-15,(X),(X),"7,680",+/-21,(X),(X),"8,241",+/-15,(X),(X)
High school graduate or higher,"12,846",+/-312,80.7%,+/-2.0,"6,074",+/-214,79.1%,+/-2.8,"6,772",+/-196,82.2%,+/-2.4
Bachelor's degree or higher,"1,565",+/-221,9.8%,+/-1.4,758,+/-144,9.9%,+/-1.9,807,+/-162,9.8%,+/-2.0
Black alone,345,+/-72,(X),(X),148,+/-68,(X),(X),197,+/-50,(X),(X)
High school graduate or higher,264,+/-88,76.5%,+/-13.8,124,+/-70,83.8%,+/-18.9,140,+/-54,71.1%,+/-18.4
Bachelor's degree or higher,9,+/-16,2.6%,+/-4.9,9,+/-16,6.1%,+/-13.2,0,+/-21,0.0%,+/-14.1
American Indian or Alaska Native alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Asian alone,65,+/-45,(X),(X),26,+/-25,(X),(X),39,+/-33,(X),(X)
High school graduate or higher,65,+/-45,100.0%,+/-34.9,26,+/-25,100.0%,+/-55.9,39,+/-33,100.0%,+/-45.6
Bachelor's degree or higher,39,+/-35,60.0%,+/-35.1,26,+/-25,100.0%,+/-55.9,13,+/-19,33.3%,+/-41.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,85,+/-38,(X),(X),73,+/-32,(X),(X),12,+/-18,(X),(X)
High school graduate or higher,34,+/-40,40.0%,+/-35.8,22,+/-34,30.1%,+/-40.6,12,+/-18,100.0%,+/-82.2
Bachelor's degree or higher,9,+/-18,10.6%,+/-18.8,9,+/-18,12.3%,+/-22.2,0,+/-21,0.0%,+/-82.3
Two or more races,70,+/-52,(X),(X),38,+/-41,(X),(X),32,+/-28,(X),(X)
High school graduate or higher,47,+/-45,67.1%,+/-26.6,28,+/-39,73.7%,+/-45.0,19,+/-23,59.4%,+/-38.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-33.3,0,+/-21,0.0%,+/-46.2,0,+/-21,0.0%,+/-50.4
Hispanic or Latino Origin,158,+/-54,(X),(X),89,+/-35,(X),(X),69,+/-66,(X),(X)
High school graduate or higher,95,+/-79,60.1%,+/-29.1,38,+/-43,42.7%,+/-38.9,57,+/-62,82.6%,+/-28.2
Bachelor's degree or higher,17,+/-21,10.8%,+/-12.4,17,+/-21,19.1%,+/-20.1,0,+/-21,0.0%,+/-33.6
