Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,867",+/-85,(X),(X),987,+/-68,(X),(X),880,+/-33,(X),(X)
Less than high school graduate,553,+/-139,29.6%,+/-7.2,289,+/-108,29.3%,+/-10.5,264,+/-82,30.0%,+/-9.3
High school graduate (includes equivalency),706,+/-134,37.8%,+/-7.3,438,+/-106,44.4%,+/-10.7,268,+/-78,30.5%,+/-9.2
Some college or associate's degree,535,+/-135,28.7%,+/-7.0,226,+/-77,22.9%,+/-7.6,309,+/-101,35.1%,+/-11.1
Bachelor's degree or higher,73,+/-44,3.9%,+/-2.4,34,+/-31,3.4%,+/-3.2,39,+/-31,4.4%,+/-3.6
Population 25 years and over,"16,435",+/-82,(X),(X),"7,905",+/-57,(X),(X),"8,530",+/-85,(X),(X)
Less than 9th grade,953,+/-168,5.8%,+/-1.0,448,+/-128,5.7%,+/-1.6,505,+/-107,5.9%,+/-1.2
"9th to 12th grade, no diploma","2,129",+/-289,13.0%,+/-1.8,"1,060",+/-193,13.4%,+/-2.4,"1,069",+/-196,12.5%,+/-2.3
High school graduate (includes equivalency),"7,082",+/-394,43.1%,+/-2.4,"3,726",+/-301,47.1%,+/-3.8,"3,356",+/-230,39.3%,+/-2.7
"Some college, no degree","3,216",+/-256,19.6%,+/-1.5,"1,373",+/-169,17.4%,+/-2.1,"1,843",+/-214,21.6%,+/-2.5
Associate's degree,"1,300",+/-210,7.9%,+/-1.3,523,+/-147,6.6%,+/-1.9,777,+/-160,9.1%,+/-1.9
Bachelor's degree,"1,208",+/-211,7.4%,+/-1.3,507,+/-131,6.4%,+/-1.7,701,+/-149,8.2%,+/-1.7
Graduate or professional degree,547,+/-160,3.3%,+/-1.0,268,+/-102,3.4%,+/-1.3,279,+/-99,3.3%,+/-1.2
Percent high school graduate or higher,(X),(X),81.2%,+/-1.8,(X),(X),80.9%,+/-2.7,(X),(X),81.5%,+/-2.3
Percent bachelor's degree or higher,(X),(X),10.7%,+/-1.6,(X),(X),9.8%,+/-2.2,(X),(X),11.5%,+/-1.9
Population 25 to 34 years,"2,459",+/-46,(X),(X),"1,238",+/-45,(X),(X),"1,221",+/-25,(X),(X)
High school graduate or higher,"2,134",+/-106,86.8%,+/-4.5,"1,057",+/-68,85.4%,+/-6.4,"1,077",+/-77,88.2%,+/-5.9
Bachelor's degree or higher,199,+/-81,8.1%,+/-3.3,104,+/-50,8.4%,+/-4.0,95,+/-50,7.8%,+/-4.1
Population 35 to 44 years,"2,967",+/-47,(X),(X),"1,501",+/-30,(X),(X),"1,466",+/-29,(X),(X)
High school graduate or higher,"2,610",+/-123,88.0%,+/-4.1,"1,311",+/-87,87.3%,+/-5.7,"1,299",+/-69,88.6%,+/-4.8
Bachelor's degree or higher,480,+/-101,16.2%,+/-3.4,168,+/-78,11.2%,+/-5.2,312,+/-85,21.3%,+/-5.8
Population 45 to 64 years,"6,650",+/-76,(X),(X),"3,223",+/-44,(X),(X),"3,427",+/-57,(X),(X)
High school graduate or higher,"5,580",+/-196,83.9%,+/-2.9,"2,614",+/-163,81.1%,+/-4.9,"2,966",+/-120,86.5%,+/-3.1
Bachelor's degree or higher,766,+/-164,11.5%,+/-2.4,312,+/-92,9.7%,+/-2.9,454,+/-115,13.2%,+/-3.3
Population 65 years and over,"4,359",+/-50,(X),(X),"1,943",+/-39,(X),(X),"2,416",+/-49,(X),(X)
High school graduate or higher,"3,029",+/-166,69.5%,+/-3.8,"1,415",+/-105,72.8%,+/-5.2,"1,614",+/-129,66.8%,+/-5.3
Bachelor's degree or higher,310,+/-113,7.1%,+/-2.6,191,+/-81,9.8%,+/-4.1,119,+/-50,4.9%,+/-2.1
