Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,715",+/-170,(X),(X),"3,386",+/-140,(X),(X),"3,329",+/-73,(X),(X)
Less than high school graduate,989,+/-176,14.7%,+/-2.6,612,+/-140,18.1%,+/-4.2,377,+/-98,11.3%,+/-3.0
High school graduate (includes equivalency),"2,212",+/-272,32.9%,+/-3.9,"1,240",+/-204,36.6%,+/-5.7,972,+/-177,29.2%,+/-5.2
Some college or associate's degree,"3,062",+/-289,45.6%,+/-4.2,"1,399",+/-195,41.3%,+/-5.4,"1,663",+/-210,50.0%,+/-6.3
Bachelor's degree or higher,452,+/-109,6.7%,+/-1.6,135,+/-78,4.0%,+/-2.3,317,+/-90,9.5%,+/-2.7
Population 25 years and over,"51,455",+/-170,(X),(X),"24,478",+/-145,(X),(X),"26,977",+/-82,(X),(X)
Less than 9th grade,"1,740",+/-285,3.4%,+/-0.6,798,+/-159,3.3%,+/-0.7,942,+/-197,3.5%,+/-0.7
"9th to 12th grade, no diploma","3,811",+/-342,7.4%,+/-0.7,"1,708",+/-244,7.0%,+/-1.0,"2,103",+/-271,7.8%,+/-1.0
High school graduate (includes equivalency),"16,537",+/-641,32.1%,+/-1.2,"8,182",+/-429,33.4%,+/-1.7,"8,355",+/-467,31.0%,+/-1.7
"Some college, no degree","11,629",+/-525,22.6%,+/-1.0,"5,476",+/-413,22.4%,+/-1.7,"6,153",+/-435,22.8%,+/-1.6
Associate's degree,"4,445",+/-407,8.6%,+/-0.8,"1,956",+/-247,8.0%,+/-1.0,"2,489",+/-325,9.2%,+/-1.2
Bachelor's degree,"8,448",+/-471,16.4%,+/-0.9,"4,126",+/-358,16.9%,+/-1.4,"4,322",+/-344,16.0%,+/-1.3
Graduate or professional degree,"4,845",+/-367,9.4%,+/-0.7,"2,232",+/-262,9.1%,+/-1.1,"2,613",+/-278,9.7%,+/-1.0
Percent high school graduate or higher,(X),(X),89.2%,+/-1.0,(X),(X),89.8%,+/-1.2,(X),(X),88.7%,+/-1.3
Percent bachelor's degree or higher,(X),(X),25.8%,+/-1.2,(X),(X),26.0%,+/-1.7,(X),(X),25.7%,+/-1.7
Population 25 to 34 years,"9,294",+/-232,(X),(X),"4,643",+/-203,(X),(X),"4,651",+/-81,(X),(X)
High school graduate or higher,"8,463",+/-279,91.1%,+/-2.4,"4,221",+/-198,90.9%,+/-2.8,"4,242",+/-166,91.2%,+/-3.3
Bachelor's degree or higher,"2,624",+/-278,28.2%,+/-3.1,"1,207",+/-212,26.0%,+/-4.6,"1,417",+/-185,30.5%,+/-4.0
Population 35 to 44 years,"9,712",+/-137,(X),(X),"4,664",+/-99,(X),(X),"5,048",+/-74,(X),(X)
High school graduate or higher,"8,812",+/-247,90.7%,+/-2.0,"4,249",+/-168,91.1%,+/-2.6,"4,563",+/-153,90.4%,+/-2.6
Bachelor's degree or higher,"3,092",+/-326,31.8%,+/-3.3,"1,383",+/-211,29.7%,+/-4.5,"1,709",+/-217,33.9%,+/-4.1
Population 45 to 64 years,"21,813",+/-127,(X),(X),"10,538",+/-118,(X),(X),"11,275",+/-65,(X),(X)
High school graduate or higher,"20,083",+/-275,92.1%,+/-1.1,"9,746",+/-194,92.5%,+/-1.5,"10,337",+/-197,91.7%,+/-1.7
Bachelor's degree or higher,"5,625",+/-361,25.8%,+/-1.6,"2,616",+/-220,24.8%,+/-2.1,"3,009",+/-290,26.7%,+/-2.6
Population 65 years and over,"10,636",+/-47,(X),(X),"4,633",+/-46,(X),(X),"6,003",+/-42,(X),(X)
High school graduate or higher,"8,546",+/-236,80.3%,+/-2.2,"3,756",+/-140,81.1%,+/-2.9,"4,790",+/-171,79.8%,+/-2.9
Bachelor's degree or higher,"1,952",+/-242,18.4%,+/-2.3,"1,152",+/-175,24.9%,+/-3.8,800,+/-138,13.3%,+/-2.3
