RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"48,176",+/-105,(X),(X),"23,029",+/-64,(X),(X),"25,147",+/-76,(X),(X)
High school graduate or higher,"43,316",+/-441,89.9%,+/-0.9,"20,758",+/-312,90.1%,+/-1.4,"22,558",+/-254,89.7%,+/-0.9
Bachelor's degree or higher,"13,259",+/-576,27.5%,+/-1.2,"6,427",+/-373,27.9%,+/-1.6,"6,832",+/-388,27.2%,+/-1.5
"White alone, not Hispanic or Latino","47,498",+/-28,(X),(X),"22,628",+/-6,(X),(X),"24,870",+/-27,(X),(X)
High school graduate or higher,"42,792",+/-445,90.1%,+/-0.9,"20,420",+/-322,90.2%,+/-1.4,"22,372",+/-242,90.0%,+/-1.0
Bachelor's degree or higher,"13,092",+/-564,27.6%,+/-1.2,"6,301",+/-370,27.8%,+/-1.6,"6,791",+/-384,27.3%,+/-1.5
Black alone,"2,265",+/-81,(X),(X),"1,019",+/-80,(X),(X),"1,246",+/-51,(X),(X)
High school graduate or higher,"1,941",+/-119,85.7%,+/-4.7,874,+/-94,85.8%,+/-6.2,"1,067",+/-86,85.6%,+/-6.5
Bachelor's degree or higher,310,+/-107,13.7%,+/-4.6,146,+/-80,14.3%,+/-7.6,164,+/-69,13.2%,+/-5.6
American Indian or Alaska Native alone,132,+/-56,(X),(X),39,+/-22,(X),(X),93,+/-55,(X),(X)
High school graduate or higher,127,+/-56,96.2%,+/-6.8,39,+/-22,100.0%,+/-45.6,88,+/-55,94.6%,+/-10.3
Bachelor's degree or higher,30,+/-40,22.7%,+/-25.5,1,+/-3,2.6%,+/-9.2,29,+/-40,31.2%,+/-35.0
Asian alone,514,+/-65,(X),(X),237,+/-49,(X),(X),277,+/-38,(X),(X)
High school graduate or higher,404,+/-76,78.6%,+/-14.9,192,+/-53,81.0%,+/-19.1,212,+/-40,76.5%,+/-13.5
Bachelor's degree or higher,219,+/-84,42.6%,+/-16.7,102,+/-52,43.0%,+/-23.5,117,+/-43,42.2%,+/-15.4
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,320,+/-113,(X),(X),74,+/-60,(X),(X),246,+/-77,(X),(X)
High school graduate or higher,209,+/-83,65.3%,+/-17.0,28,+/-35,37.8%,+/-47.8,181,+/-76,73.6%,+/-18.7
Bachelor's degree or higher,34,+/-30,10.6%,+/-10.0,0,+/-27,0.0%,+/-32.0,34,+/-30,13.8%,+/-12.3
Two or more races,432,+/-101,(X),(X),241,+/-80,(X),(X),191,+/-71,(X),(X)
High school graduate or higher,328,+/-104,75.9%,+/-13.4,169,+/-72,70.1%,+/-18.8,159,+/-69,83.2%,+/-15.8
Bachelor's degree or higher,107,+/-57,24.8%,+/-10.8,53,+/-42,22.0%,+/-14.9,54,+/-40,28.3%,+/-17.7
Hispanic or Latino Origin,"1,043",+/-72,(X),(X),506,+/-53,(X),(X),537,+/-72,(X),(X)
High school graduate or higher,766,+/-120,73.4%,+/-12.0,385,+/-82,76.1%,+/-14.7,381,+/-96,70.9%,+/-15.0
Bachelor's degree or higher,220,+/-122,21.1%,+/-11.9,126,+/-105,24.9%,+/-20.6,94,+/-61,17.5%,+/-11.1
