RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,457",+/-39,(X),(X),"5,549",+/-38,(X),(X),"5,908",+/-24,(X),(X)
High school graduate or higher,"10,037",+/-193,87.6%,+/-1.6,"4,814",+/-134,86.8%,+/-2.3,"5,223",+/-122,88.4%,+/-2.1
Bachelor's degree or higher,"1,558",+/-179,13.6%,+/-1.6,607,+/-105,10.9%,+/-1.9,951,+/-133,16.1%,+/-2.2
"White alone, not Hispanic or Latino","11,268",+/-18,(X),(X),"5,457",+/-18,(X),(X),"5,811",+/-18,(X),(X)
High school graduate or higher,"9,859",+/-188,87.5%,+/-1.7,"4,726",+/-125,86.6%,+/-2.3,"5,133",+/-124,88.3%,+/-2.1
Bachelor's degree or higher,"1,551",+/-179,13.8%,+/-1.6,607,+/-105,11.1%,+/-1.9,944,+/-132,16.2%,+/-2.3
Black alone,50,+/-20,(X),(X),19,+/-16,(X),(X),31,+/-21,(X),(X)
High school graduate or higher,48,+/-21,96.0%,+/-9.7,19,+/-16,100.0%,+/-65.4,29,+/-20,93.5%,+/-15.7
Bachelor's degree or higher,10,+/-8,20.0%,+/-15.8,5,+/-9,26.3%,+/-41.1,5,+/-7,16.1%,+/-24.0
American Indian or Alaska Native alone,51,+/-36,(X),(X),14,+/-19,(X),(X),37,+/-32,(X),(X)
High school graduate or higher,51,+/-36,100.0%,+/-39.9,14,+/-19,100.0%,+/-76.1,37,+/-32,100.0%,+/-46.8
Bachelor's degree or higher,0,+/-18,0.0%,+/-39.9,0,+/-18,0.0%,+/-76.1,0,+/-18,0.0%,+/-46.8
Asian alone,19,+/-24,(X),(X),19,+/-24,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,19,+/-24,100.0%,+/-65.4,19,+/-24,100.0%,+/-65.4,0,+/-18,-,**
Bachelor's degree or higher,19,+/-24,100.0%,+/-65.4,19,+/-24,100.0%,+/-65.4,0,+/-18,-,**
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,25,+/-29,(X),(X),16,+/-19,(X),(X),9,+/-14,(X),(X)
High school graduate or higher,9,+/-14,36.0%,+/-33.7,0,+/-18,0.0%,+/-71.2,9,+/-14,100.0%,+/-95.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-71.2,0,+/-18,0.0%,+/-95.0
Two or more races,54,+/-53,(X),(X),46,+/-50,(X),(X),8,+/-14,(X),(X)
High school graduate or higher,54,+/-53,100.0%,+/-38.8,46,+/-50,100.0%,+/-42.0,8,+/-14,100.0%,+/-100.0
Bachelor's degree or higher,2,+/-5,3.7%,+/-10.9,2,+/-5,4.3%,+/-13.1,0,+/-18,0.0%,+/-100.0
Hispanic or Latino Origin,219,+/-26,(X),(X),113,+/-31,(X),(X),106,+/-26,(X),(X)
High school graduate or higher,192,+/-36,87.7%,+/-11.1,93,+/-37,82.3%,+/-19.3,99,+/-27,93.4%,+/-8.2
Bachelor's degree or higher,7,+/-12,3.2%,+/-5.5,0,+/-18,0.0%,+/-23.0,7,+/-12,6.6%,+/-10.9
