RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,197",+/-44,(X),(X),"7,473",+/-20,(X),(X),"7,724",+/-40,(X),(X)
High school graduate or higher,"13,222",+/-253,87.0%,+/-1.7,"6,360",+/-180,85.1%,+/-2.4,"6,862",+/-158,88.8%,+/-2.0
Bachelor's degree or higher,"2,848",+/-343,18.7%,+/-2.3,"1,259",+/-196,16.8%,+/-2.6,"1,589",+/-225,20.6%,+/-3.0
"White alone, not Hispanic or Latino","15,111",+/-21,(X),(X),"7,453",+/-21,(X),(X),"7,658",+/-21,(X),(X)
High school graduate or higher,"13,154",+/-246,87.0%,+/-1.6,"6,349",+/-179,85.2%,+/-2.4,"6,805",+/-149,88.9%,+/-1.9
Bachelor's degree or higher,"2,848",+/-343,18.8%,+/-2.3,"1,259",+/-196,16.9%,+/-2.6,"1,589",+/-225,20.7%,+/-2.9
Black alone,55,+/-48,(X),(X),31,+/-42,(X),(X),24,+/-29,(X),(X)
High school graduate or higher,24,+/-29,43.6%,+/-47.3,0,+/-21,0.0%,+/-51.2,24,+/-29,100.0%,+/-58.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-38.4,0,+/-21,0.0%,+/-51.2,0,+/-21,0.0%,+/-58.2
American Indian or Alaska Native alone,29,+/-38,(X),(X),10,+/-18,(X),(X),19,+/-22,(X),(X)
High school graduate or higher,29,+/-38,100.0%,+/-52.9,10,+/-18,100.0%,+/-90.1,19,+/-22,100.0%,+/-65.4
Bachelor's degree or higher,29,+/-38,100.0%,+/-52.9,10,+/-18,100.0%,+/-90.1,19,+/-22,100.0%,+/-65.4
Asian alone,104,+/-75,(X),(X),18,+/-27,(X),(X),86,+/-65,(X),(X)
High school graduate or higher,104,+/-75,100.0%,+/-24.7,18,+/-27,100.0%,+/-67.2,86,+/-65,100.0%,+/-28.7
Bachelor's degree or higher,81,+/-66,77.9%,+/-24.4,18,+/-27,100.0%,+/-67.2,63,+/-66,73.3%,+/-37.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,46,+/-43,(X),(X),0,+/-21,(X),(X),46,+/-43,(X),(X)
High school graduate or higher,31,+/-25,67.4%,+/-27.3,0,+/-21,-,**,31,+/-25,67.4%,+/-27.3
Bachelor's degree or higher,15,+/-21,32.6%,+/-53.9,0,+/-21,-,**,15,+/-21,32.6%,+/-53.9
Two or more races,130,+/-87,(X),(X),65,+/-44,(X),(X),65,+/-45,(X),(X)
High school graduate or higher,117,+/-86,90.0%,+/-15.9,60,+/-43,92.3%,+/-16.1,57,+/-43,87.7%,+/-25.3
Bachelor's degree or higher,23,+/-30,17.7%,+/-22.4,0,+/-21,0.0%,+/-34.9,23,+/-30,35.4%,+/-47.7
Hispanic or Latino Origin,137,+/-12,(X),(X),25,+/-22,(X),(X),112,+/-23,(X),(X)
High school graduate or higher,99,+/-32,72.3%,+/-22.8,11,+/-15,44.0%,+/-47.6,88,+/-33,78.6%,+/-21.5
Bachelor's degree or higher,15,+/-21,10.9%,+/-15.2,0,+/-21,0.0%,+/-57.0,15,+/-21,13.4%,+/-18.4
