RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,415",+/-96,(X),(X),"6,507",+/-51,(X),(X),"6,908",+/-61,(X),(X)
High school graduate or higher,"11,621",+/-263,86.6%,+/-1.9,"5,532",+/-201,85.0%,+/-3.0,"6,089",+/-158,88.1%,+/-2.2
Bachelor's degree or higher,"1,816",+/-262,13.5%,+/-2.0,787,+/-187,12.1%,+/-2.9,"1,029",+/-145,14.9%,+/-2.1
"White alone, not Hispanic or Latino","13,183",+/-21,(X),(X),"6,408",+/-21,(X),(X),"6,775",+/-21,(X),(X)
High school graduate or higher,"11,440",+/-247,86.8%,+/-1.9,"5,478",+/-194,85.5%,+/-3.0,"5,962",+/-155,88.0%,+/-2.3
Bachelor's degree or higher,"1,816",+/-262,13.8%,+/-2.0,787,+/-187,12.3%,+/-2.9,"1,029",+/-145,15.2%,+/-2.1
Black alone,82,+/-31,(X),(X),52,+/-30,(X),(X),30,+/-19,(X),(X)
High school graduate or higher,75,+/-33,91.5%,+/-17.0,45,+/-29,86.5%,+/-24.9,30,+/-19,100.0%,+/-52.0
Bachelor's degree or higher,2,+/-4,2.4%,+/-4.4,0,+/-21,0.0%,+/-39.5,2,+/-4,6.7%,+/-13.3
American Indian or Alaska Native alone,83,+/-53,(X),(X),39,+/-46,(X),(X),44,+/-49,(X),(X)
High school graduate or higher,78,+/-52,94.0%,+/-11.7,39,+/-46,100.0%,+/-45.6,39,+/-48,88.6%,+/-31.2
Bachelor's degree or higher,4,+/-7,4.8%,+/-9.4,4,+/-7,10.3%,+/-26.1,0,+/-21,0.0%,+/-43.0
Asian alone,83,+/-40,(X),(X),8,+/-15,(X),(X),75,+/-37,(X),(X)
High school graduate or higher,83,+/-40,100.0%,+/-29.5,8,+/-15,100.0%,+/-100.0,75,+/-37,100.0%,+/-31.7
Bachelor's degree or higher,19,+/-24,22.9%,+/-25.2,8,+/-15,100.0%,+/-100.0,11,+/-19,14.7%,+/-23.8
Native Hawaiian and Other Pacific Islander alone,4,+/-8,(X),(X),4,+/-8,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,4,+/-8,100.0%,+/-100.0,4,+/-8,100.0%,+/-100.0,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**
Some other race alone,284,+/-90,(X),(X),144,+/-40,(X),(X),140,+/-63,(X),(X)
High school graduate or higher,45,+/-30,15.8%,+/-12.7,18,+/-17,12.5%,+/-11.6,27,+/-23,19.3%,+/-19.1
Bachelor's degree or higher,5,+/-8,1.8%,+/-2.9,0,+/-21,0.0%,+/-18.7,5,+/-8,3.6%,+/-6.2
Two or more races,40,+/-40,(X),(X),28,+/-36,(X),(X),12,+/-21,(X),(X)
High school graduate or higher,22,+/-37,55.0%,+/-55.0,22,+/-37,78.6%,+/-53.7,0,+/-21,0.0%,+/-82.3
Bachelor's degree or higher,0,+/-21,0.0%,+/-45.1,0,+/-21,0.0%,+/-53.8,0,+/-21,0.0%,+/-82.3
Hispanic or Latino Origin,526,+/-36,(X),(X),246,+/-35,(X),(X),280,+/-28,(X),(X)
High school graduate or higher,231,+/-95,43.9%,+/-17.4,75,+/-49,30.5%,+/-17.7,156,+/-61,55.7%,+/-22.0
Bachelor's degree or higher,5,+/-8,1.0%,+/-1.5,0,+/-21,0.0%,+/-11.5,5,+/-8,1.8%,+/-2.8
