Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,445",+/-29,(X),(X),755,+/-16,(X),(X),690,+/-26,(X),(X)
Less than high school graduate,170,+/-60,11.8%,+/-4.2,151,+/-56,20.0%,+/-7.5,19,+/-23,2.8%,+/-3.3
High school graduate (includes equivalency),463,+/-146,32.0%,+/-10.0,266,+/-97,35.2%,+/-13.1,197,+/-99,28.6%,+/-14.0
Some college or associate's degree,736,+/-144,50.9%,+/-10.0,329,+/-110,43.6%,+/-14.3,407,+/-99,59.0%,+/-14.5
Bachelor's degree or higher,76,+/-61,5.3%,+/-4.2,9,+/-10,1.2%,+/-1.3,67,+/-60,9.7%,+/-8.7
Population 25 years and over,"14,015",+/-29,(X),(X),"6,797",+/-85,(X),(X),"7,218",+/-87,(X),(X)
Less than 9th grade,595,+/-166,4.2%,+/-1.2,324,+/-103,4.8%,+/-1.5,271,+/-96,3.8%,+/-1.3
"9th to 12th grade, no diploma","1,362",+/-208,9.7%,+/-1.5,716,+/-141,10.5%,+/-2.1,646,+/-176,8.9%,+/-2.4
High school graduate (includes equivalency),"5,794",+/-361,41.3%,+/-2.6,"2,902",+/-275,42.7%,+/-4.0,"2,892",+/-245,40.1%,+/-3.5
"Some college, no degree","3,358",+/-345,24.0%,+/-2.5,"1,738",+/-212,25.6%,+/-3.1,"1,620",+/-252,22.4%,+/-3.5
Associate's degree,"1,109",+/-178,7.9%,+/-1.3,426,+/-116,6.3%,+/-1.7,683,+/-134,9.5%,+/-1.8
Bachelor's degree,"1,166",+/-199,8.3%,+/-1.4,487,+/-121,7.2%,+/-1.8,679,+/-154,9.4%,+/-2.1
Graduate or professional degree,631,+/-141,4.5%,+/-1.0,204,+/-72,3.0%,+/-1.0,427,+/-110,5.9%,+/-1.5
Percent high school graduate or higher,(X),(X),86.0%,+/-1.6,(X),(X),84.7%,+/-2.4,(X),(X),87.3%,+/-2.5
Percent bachelor's degree or higher,(X),(X),12.8%,+/-1.7,(X),(X),10.2%,+/-2.3,(X),(X),15.3%,+/-2.3
Population 25 to 34 years,"2,237",+/-45,(X),(X),"1,177",+/-18,(X),(X),"1,060",+/-45,(X),(X)
High school graduate or higher,"2,008",+/-102,89.8%,+/-4.0,"1,003",+/-82,85.2%,+/-6.7,"1,005",+/-58,94.8%,+/-3.5
Bachelor's degree or higher,441,+/-109,19.7%,+/-4.8,166,+/-94,14.1%,+/-8.0,275,+/-88,25.9%,+/-8.2
Population 35 to 44 years,"2,390",+/-78,(X),(X),"1,190",+/-47,(X),(X),"1,200",+/-41,(X),(X)
High school graduate or higher,"2,037",+/-138,85.2%,+/-5.6,"1,020",+/-71,85.7%,+/-5.9,"1,017",+/-112,84.8%,+/-8.8
Bachelor's degree or higher,355,+/-117,14.9%,+/-5.0,80,+/-40,6.7%,+/-3.3,275,+/-113,22.9%,+/-9.6
Population 45 to 64 years,"5,694",+/-98,(X),(X),"2,834",+/-74,(X),(X),"2,860",+/-83,(X),(X)
High school graduate or higher,"4,930",+/-184,86.6%,+/-3.1,"2,386",+/-146,84.2%,+/-4.7,"2,544",+/-141,89.0%,+/-4.5
Bachelor's degree or higher,571,+/-127,10.0%,+/-2.2,218,+/-72,7.7%,+/-2.5,353,+/-99,12.3%,+/-3.4
Population 65 years and over,"3,694",+/-52,(X),(X),"1,596",+/-16,(X),(X),"2,098",+/-49,(X),(X)
High school graduate or higher,"3,083",+/-126,83.5%,+/-3.1,"1,348",+/-69,84.5%,+/-4.3,"1,735",+/-97,82.7%,+/-4.2
Bachelor's degree or higher,430,+/-125,11.6%,+/-3.3,227,+/-89,14.2%,+/-5.6,203,+/-65,9.7%,+/-3.1
