Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,819",+/-62,(X),(X),"1,360",+/-36,(X),(X),"1,459",+/-45,(X),(X)
Less than high school graduate,479,+/-115,17.0%,+/-4.1,280,+/-79,20.6%,+/-5.8,199,+/-80,13.6%,+/-5.5
High school graduate (includes equivalency),"1,072",+/-153,38.0%,+/-5.2,632,+/-91,46.5%,+/-6.5,440,+/-121,30.2%,+/-8.1
Some college or associate's degree,"1,118",+/-150,39.7%,+/-5.3,398,+/-83,29.3%,+/-6.1,720,+/-126,49.3%,+/-8.6
Bachelor's degree or higher,150,+/-66,5.3%,+/-2.3,50,+/-37,3.7%,+/-2.7,100,+/-57,6.9%,+/-3.9
Population 25 years and over,"22,878",+/-92,(X),(X),"11,314",+/-86,(X),(X),"11,564",+/-75,(X),(X)
Less than 9th grade,684,+/-149,3.0%,+/-0.7,305,+/-89,2.7%,+/-0.8,379,+/-102,3.3%,+/-0.9
"9th to 12th grade, no diploma","1,659",+/-224,7.3%,+/-1.0,866,+/-173,7.7%,+/-1.5,793,+/-143,6.9%,+/-1.2
High school graduate (includes equivalency),"9,212",+/-467,40.3%,+/-2.1,"4,627",+/-309,40.9%,+/-2.7,"4,585",+/-299,39.6%,+/-2.6
"Some college, no degree","4,991",+/-346,21.8%,+/-1.5,"2,527",+/-223,22.3%,+/-2.0,"2,464",+/-215,21.3%,+/-1.9
Associate's degree,"2,887",+/-293,12.6%,+/-1.3,"1,419",+/-194,12.5%,+/-1.7,"1,468",+/-208,12.7%,+/-1.8
Bachelor's degree,"2,396",+/-269,10.5%,+/-1.2,"1,190",+/-158,10.5%,+/-1.4,"1,206",+/-189,10.4%,+/-1.6
Graduate or professional degree,"1,049",+/-168,4.6%,+/-0.7,380,+/-90,3.4%,+/-0.8,669,+/-143,5.8%,+/-1.2
Percent high school graduate or higher,(X),(X),89.8%,+/-1.3,(X),(X),89.6%,+/-1.8,(X),(X),89.9%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.1%,+/-1.4,(X),(X),13.9%,+/-1.5,(X),(X),16.2%,+/-1.9
Population 25 to 34 years,"3,943",+/-82,(X),(X),"2,091",+/-66,(X),(X),"1,852",+/-36,(X),(X)
High school graduate or higher,"3,666",+/-121,93.0%,+/-2.6,"1,889",+/-102,90.3%,+/-4.2,"1,777",+/-52,96.0%,+/-2.0
Bachelor's degree or higher,572,+/-124,14.5%,+/-3.1,327,+/-97,15.6%,+/-4.6,245,+/-69,13.2%,+/-3.8
Population 35 to 44 years,"4,110",+/-97,(X),(X),"2,135",+/-63,(X),(X),"1,975",+/-45,(X),(X)
High school graduate or higher,"3,932",+/-115,95.7%,+/-1.7,"2,015",+/-82,94.4%,+/-2.7,"1,917",+/-61,97.1%,+/-1.8
Bachelor's degree or higher,812,+/-161,19.8%,+/-3.8,251,+/-85,11.8%,+/-3.9,561,+/-123,28.4%,+/-6.2
Population 45 to 64 years,"9,464",+/-110,(X),(X),"4,760",+/-83,(X),(X),"4,704",+/-81,(X),(X)
High school graduate or higher,"8,665",+/-180,91.6%,+/-1.7,"4,384",+/-116,92.1%,+/-2.1,"4,281",+/-121,91.0%,+/-2.5
Bachelor's degree or higher,"1,503",+/-192,15.9%,+/-2.0,714,+/-115,15.0%,+/-2.4,789,+/-132,16.8%,+/-2.8
Population 65 years and over,"5,361",+/-41,(X),(X),"2,328",+/-29,(X),(X),"3,033",+/-26,(X),(X)
High school graduate or higher,"4,272",+/-161,79.7%,+/-2.9,"1,855",+/-92,79.7%,+/-3.7,"2,417",+/-107,79.7%,+/-3.6
Bachelor's degree or higher,558,+/-129,10.4%,+/-2.4,278,+/-77,11.9%,+/-3.3,280,+/-87,9.2%,+/-2.8
