RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,066",+/-83,(X),(X),"10,757",+/-35,(X),(X),"11,309",+/-64,(X),(X)
High school graduate or higher,"19,863",+/-298,90.0%,+/-1.3,"9,680",+/-196,90.0%,+/-1.8,"10,183",+/-183,90.0%,+/-1.6
Bachelor's degree or higher,"3,349",+/-313,15.2%,+/-1.4,"1,478",+/-166,13.7%,+/-1.5,"1,871",+/-217,16.5%,+/-1.9
"White alone, not Hispanic or Latino","21,936",+/-10,(X),(X),"10,720",+/-3,(X),(X),"11,216",+/-9,(X),(X)
High school graduate or higher,"19,785",+/-280,90.2%,+/-1.3,"9,650",+/-190,90.0%,+/-1.8,"10,135",+/-171,90.4%,+/-1.5
Bachelor's degree or higher,"3,349",+/-313,15.3%,+/-1.4,"1,478",+/-166,13.8%,+/-1.6,"1,871",+/-217,16.7%,+/-1.9
Black alone,354,+/-67,(X),(X),265,+/-54,(X),(X),89,+/-38,(X),(X)
High school graduate or higher,291,+/-71,82.2%,+/-13.6,231,+/-56,87.2%,+/-10.4,60,+/-32,67.4%,+/-27.2
Bachelor's degree or higher,32,+/-34,9.0%,+/-9.2,32,+/-34,12.1%,+/-11.9,0,+/-24,0.0%,+/-27.9
American Indian or Alaska Native alone,35,+/-42,(X),(X),23,+/-27,(X),(X),12,+/-18,(X),(X)
High school graduate or higher,23,+/-27,65.7%,+/-27.3,23,+/-27,100.0%,+/-59.4,0,+/-24,0.0%,+/-82.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-48.2,0,+/-24,0.0%,+/-59.4,0,+/-24,0.0%,+/-82.3
Asian alone,72,+/-31,(X),(X),34,+/-29,(X),(X),38,+/-32,(X),(X)
High school graduate or higher,67,+/-31,93.1%,+/-10.8,34,+/-29,100.0%,+/-48.9,33,+/-31,86.8%,+/-22.1
Bachelor's degree or higher,14,+/-18,19.4%,+/-25.1,10,+/-16,29.4%,+/-57.2,4,+/-8,10.5%,+/-21.2
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,165,+/-86,(X),(X),110,+/-57,(X),(X),55,+/-46,(X),(X)
High school graduate or higher,142,+/-91,86.1%,+/-21.0,87,+/-60,79.1%,+/-28.6,55,+/-46,100.0%,+/-38.4
Bachelor's degree or higher,50,+/-44,30.3%,+/-18.5,50,+/-44,45.5%,+/-39.6,0,+/-24,0.0%,+/-38.4
Two or more races,186,+/-70,(X),(X),125,+/-55,(X),(X),61,+/-43,(X),(X)
High school graduate or higher,149,+/-61,80.1%,+/-17.4,88,+/-43,70.4%,+/-23.2,61,+/-43,100.0%,+/-36.3
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.9,0,+/-24,0.0%,+/-21.1,0,+/-24,0.0%,+/-36.3
Hispanic or Latino Origin,290,+/-18,(X),(X),147,+/-46,(X),(X),143,+/-46,(X),(X)
High school graduate or higher,215,+/-62,74.1%,+/-20.3,117,+/-49,79.6%,+/-20.8,98,+/-43,68.5%,+/-29.3
Bachelor's degree or higher,50,+/-44,17.2%,+/-14.9,50,+/-44,34.0%,+/-31.7,0,+/-24,0.0%,+/-18.8
