RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"40,634",+/-147,(X),(X),"19,192",+/-86,(X),(X),"21,442",+/-97,(X),(X)
High school graduate or higher,"35,487",+/-489,87.3%,+/-1.2,"16,680",+/-294,86.9%,+/-1.5,"18,807",+/-339,87.7%,+/-1.6
Bachelor's degree or higher,"6,959",+/-443,17.1%,+/-1.1,"3,128",+/-281,16.3%,+/-1.5,"3,831",+/-288,17.9%,+/-1.3
"White alone, not Hispanic or Latino","39,693",+/-27,(X),(X),"18,669",+/-27,(X),(X),"21,024",+/-27,(X),(X)
High school graduate or higher,"34,842",+/-474,87.8%,+/-1.2,"16,329",+/-273,87.5%,+/-1.5,"18,513",+/-325,88.1%,+/-1.5
Bachelor's degree or higher,"6,872",+/-427,17.3%,+/-1.1,"3,057",+/-273,16.4%,+/-1.5,"3,815",+/-285,18.1%,+/-1.4
Black alone,"2,945",+/-127,(X),(X),"1,433",+/-90,(X),(X),"1,512",+/-90,(X),(X)
High school graduate or higher,"2,251",+/-186,76.4%,+/-5.3,"1,140",+/-137,79.6%,+/-6.9,"1,111",+/-123,73.5%,+/-7.5
Bachelor's degree or higher,342,+/-128,11.6%,+/-4.4,176,+/-98,12.3%,+/-6.9,166,+/-73,11.0%,+/-4.8
American Indian or Alaska Native alone,123,+/-48,(X),(X),107,+/-46,(X),(X),16,+/-15,(X),(X)
High school graduate or higher,73,+/-38,59.3%,+/-25.3,61,+/-35,57.0%,+/-27.7,12,+/-13,75.0%,+/-42.6
Bachelor's degree or higher,5,+/-10,4.1%,+/-8.7,5,+/-10,4.7%,+/-10.0,0,+/-27,0.0%,+/-71.2
Asian alone,316,+/-103,(X),(X),143,+/-108,(X),(X),173,+/-109,(X),(X)
High school graduate or higher,316,+/-103,100.0%,+/-9.1,143,+/-108,100.0%,+/-18.8,173,+/-109,100.0%,+/-15.9
Bachelor's degree or higher,57,+/-58,18.0%,+/-18.5,37,+/-50,25.9%,+/-38.8,20,+/-30,11.6%,+/-18.8
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,216,+/-100,(X),(X),144,+/-77,(X),(X),72,+/-54,(X),(X)
High school graduate or higher,133,+/-67,61.6%,+/-22.3,80,+/-58,55.6%,+/-30.4,53,+/-43,73.6%,+/-24.8
Bachelor's degree or higher,6,+/-10,2.8%,+/-4.5,6,+/-10,4.2%,+/-6.8,0,+/-27,0.0%,+/-32.7
Two or more races,465,+/-153,(X),(X),161,+/-75,(X),(X),304,+/-127,(X),(X)
High school graduate or higher,407,+/-149,87.5%,+/-10.9,149,+/-73,92.5%,+/-12.2,258,+/-123,84.9%,+/-15.7
Bachelor's degree or higher,107,+/-67,23.0%,+/-12.7,44,+/-40,27.3%,+/-19.2,63,+/-49,20.7%,+/-14.8
Hispanic or Latino Origin,"1,312",+/-105,(X),(X),723,+/-77,(X),(X),589,+/-49,(X),(X)
High school graduate or higher,899,+/-166,68.5%,+/-9.7,487,+/-119,67.4%,+/-12.8,412,+/-88,69.9%,+/-12.0
Bachelor's degree or higher,100,+/-60,7.6%,+/-4.4,84,+/-50,11.6%,+/-6.9,16,+/-38,2.7%,+/-6.3
