Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"9,000",+/-143,(X),(X),"4,148",+/-115,(X),(X),"4,852",+/-92,(X),(X)
Less than high school graduate,894,+/-209,9.9%,+/-2.3,487,+/-146,11.7%,+/-3.5,407,+/-143,8.4%,+/-2.9
High school graduate (includes equivalency),"2,756",+/-220,30.6%,+/-2.5,"1,557",+/-178,37.5%,+/-4.3,"1,199",+/-176,24.7%,+/-3.5
Some college or associate's degree,"4,749",+/-322,52.8%,+/-3.4,"1,880",+/-211,45.3%,+/-4.7,"2,869",+/-222,59.1%,+/-4.6
Bachelor's degree or higher,601,+/-166,6.7%,+/-1.8,224,+/-80,5.4%,+/-2.0,377,+/-140,7.8%,+/-2.9
Population 25 years and over,"44,546",+/-123,(X),(X),"21,138",+/-181,(X),(X),"23,408",+/-175,(X),(X)
Less than 9th grade,"1,421",+/-269,3.2%,+/-0.6,823,+/-201,3.9%,+/-1.0,598,+/-147,2.6%,+/-0.6
"9th to 12th grade, no diploma","4,370",+/-405,9.8%,+/-0.9,"1,956",+/-282,9.3%,+/-1.3,"2,414",+/-274,10.3%,+/-1.2
High school graduate (includes equivalency),"18,171",+/-723,40.8%,+/-1.6,"8,884",+/-465,42.0%,+/-2.2,"9,287",+/-457,39.7%,+/-1.9
"Some college, no degree","9,278",+/-566,20.8%,+/-1.3,"4,389",+/-404,20.8%,+/-1.8,"4,889",+/-361,20.9%,+/-1.6
Associate's degree,"3,691",+/-293,8.3%,+/-0.7,"1,634",+/-207,7.7%,+/-1.0,"2,057",+/-253,8.8%,+/-1.1
Bachelor's degree,"4,637",+/-498,10.4%,+/-1.1,"2,070",+/-323,9.8%,+/-1.5,"2,567",+/-289,11.0%,+/-1.2
Graduate or professional degree,"2,978",+/-322,6.7%,+/-0.7,"1,382",+/-212,6.5%,+/-1.0,"1,596",+/-236,6.8%,+/-1.0
Percent high school graduate or higher,(X),(X),87.0%,+/-1.0,(X),(X),86.9%,+/-1.6,(X),(X),87.1%,+/-1.2
Percent bachelor's degree or higher,(X),(X),17.1%,+/-1.4,(X),(X),16.3%,+/-1.9,(X),(X),17.8%,+/-1.5
Population 25 to 34 years,"7,091",+/-249,(X),(X),"3,477",+/-222,(X),(X),"3,614",+/-145,(X),(X)
High school graduate or higher,"6,109",+/-304,86.2%,+/-3.3,"2,954",+/-262,85.0%,+/-4.5,"3,155",+/-169,87.3%,+/-4.1
Bachelor's degree or higher,"1,118",+/-258,15.8%,+/-3.8,460,+/-139,13.2%,+/-4.4,658,+/-172,18.2%,+/-4.7
Population 35 to 44 years,"7,211",+/-225,(X),(X),"3,489",+/-157,(X),(X),"3,722",+/-170,(X),(X)
High school graduate or higher,"6,595",+/-265,91.5%,+/-2.2,"3,117",+/-188,89.3%,+/-3.5,"3,478",+/-182,93.4%,+/-2.6
Bachelor's degree or higher,"1,468",+/-248,20.4%,+/-3.3,657,+/-200,18.8%,+/-5.3,811,+/-135,21.8%,+/-3.8
Population 45 to 64 years,"18,103",+/-236,(X),(X),"8,876",+/-171,(X),(X),"9,227",+/-141,(X),(X)
High school graduate or higher,"16,330",+/-391,90.2%,+/-1.7,"8,052",+/-243,90.7%,+/-2.1,"8,278",+/-249,89.7%,+/-2.2
Bachelor's degree or higher,"3,193",+/-329,17.6%,+/-1.8,"1,345",+/-184,15.2%,+/-2.0,"1,848",+/-221,20.0%,+/-2.3
Population 65 years and over,"12,141",+/-84,(X),(X),"5,296",+/-62,(X),(X),"6,845",+/-44,(X),(X)
High school graduate or higher,"9,721",+/-302,80.1%,+/-2.5,"4,236",+/-200,80.0%,+/-3.8,"5,485",+/-201,80.1%,+/-2.9
Bachelor's degree or higher,"1,836",+/-258,15.1%,+/-2.1,990,+/-169,18.7%,+/-3.2,846,+/-175,12.4%,+/-2.6
