Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,435",+/-52,(X),(X),"1,310",+/-29,(X),(X),"1,125",+/-42,(X),(X)
Less than high school graduate,423,+/-127,17.4%,+/-5.1,212,+/-85,16.2%,+/-6.4,211,+/-87,18.8%,+/-7.6
High school graduate (includes equivalency),"1,121",+/-132,46.0%,+/-5.6,672,+/-97,51.3%,+/-7.6,449,+/-115,39.9%,+/-10.4
Some college or associate's degree,779,+/-160,32.0%,+/-6.4,369,+/-111,28.2%,+/-8.4,410,+/-107,36.4%,+/-9.2
Bachelor's degree or higher,112,+/-50,4.6%,+/-2.1,57,+/-37,4.4%,+/-2.8,55,+/-38,4.9%,+/-3.4
Population 25 years and over,"22,716",+/-133,(X),(X),"11,126",+/-63,(X),(X),"11,590",+/-113,(X),(X)
Less than 9th grade,769,+/-162,3.4%,+/-0.7,396,+/-111,3.6%,+/-1.0,373,+/-119,3.2%,+/-1.0
"9th to 12th grade, no diploma","2,176",+/-300,9.6%,+/-1.3,"1,153",+/-181,10.4%,+/-1.6,"1,023",+/-220,8.8%,+/-1.9
High school graduate (includes equivalency),"9,257",+/-506,40.8%,+/-2.3,"4,520",+/-311,40.6%,+/-2.8,"4,737",+/-332,40.9%,+/-2.8
"Some college, no degree","4,702",+/-349,20.7%,+/-1.5,"2,325",+/-239,20.9%,+/-2.2,"2,377",+/-231,20.5%,+/-2.0
Associate's degree,"2,518",+/-299,11.1%,+/-1.3,"1,125",+/-204,10.1%,+/-1.8,"1,393",+/-186,12.0%,+/-1.6
Bachelor's degree,"2,102",+/-242,9.3%,+/-1.1,"1,095",+/-196,9.8%,+/-1.8,"1,007",+/-176,8.7%,+/-1.5
Graduate or professional degree,"1,192",+/-182,5.2%,+/-0.8,512,+/-117,4.6%,+/-1.1,680,+/-118,5.9%,+/-1.0
Percent high school graduate or higher,(X),(X),87.0%,+/-1.5,(X),(X),86.1%,+/-2.0,(X),(X),88.0%,+/-2.0
Percent bachelor's degree or higher,(X),(X),14.5%,+/-1.3,(X),(X),14.4%,+/-1.9,(X),(X),14.6%,+/-1.6
Population 25 to 34 years,"3,510",+/-55,(X),(X),"1,774",+/-35,(X),(X),"1,736",+/-54,(X),(X)
High school graduate or higher,"3,214",+/-124,91.6%,+/-3.2,"1,574",+/-99,88.7%,+/-4.9,"1,640",+/-78,94.5%,+/-3.6
Bachelor's degree or higher,496,+/-121,14.1%,+/-3.4,225,+/-84,12.7%,+/-4.7,271,+/-90,15.6%,+/-5.2
Population 35 to 44 years,"3,866",+/-92,(X),(X),"1,889",+/-24,(X),(X),"1,977",+/-92,(X),(X)
High school graduate or higher,"3,457",+/-166,89.4%,+/-3.2,"1,698",+/-68,89.9%,+/-3.6,"1,759",+/-138,89.0%,+/-4.8
Bachelor's degree or higher,812,+/-174,21.0%,+/-4.4,289,+/-81,15.3%,+/-4.3,523,+/-134,26.5%,+/-6.4
Population 45 to 64 years,"9,337",+/-92,(X),(X),"4,746",+/-61,(X),(X),"4,591",+/-58,(X),(X)
High school graduate or higher,"8,279",+/-178,88.7%,+/-1.7,"4,126",+/-114,86.9%,+/-2.2,"4,153",+/-143,90.5%,+/-2.8
Bachelor's degree or higher,"1,281",+/-210,13.7%,+/-2.3,682,+/-132,14.4%,+/-2.8,599,+/-120,13.0%,+/-2.6
Population 65 years and over,"6,003",+/-53,(X),(X),"2,717",+/-45,(X),(X),"3,286",+/-32,(X),(X)
High school graduate or higher,"4,821",+/-198,80.3%,+/-3.2,"2,179",+/-126,80.2%,+/-4.7,"2,642",+/-146,80.4%,+/-4.4
Bachelor's degree or higher,705,+/-154,11.7%,+/-2.6,411,+/-107,15.1%,+/-3.9,294,+/-86,8.9%,+/-2.6
