RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,342",+/-77,(X),(X),"11,015",+/-39,(X),(X),"11,327",+/-67,(X),(X)
High school graduate or higher,"19,489",+/-323,87.2%,+/-1.5,"9,523",+/-210,86.5%,+/-1.9,"9,966",+/-235,88.0%,+/-2.0
Bachelor's degree or higher,"3,231",+/-282,14.5%,+/-1.3,"1,581",+/-207,14.4%,+/-1.9,"1,650",+/-177,14.6%,+/-1.6
"White alone, not Hispanic or Latino","22,158",+/-24,(X),(X),"10,922",+/-24,(X),(X),"11,236",+/-24,(X),(X)
High school graduate or higher,"19,312",+/-330,87.2%,+/-1.5,"9,430",+/-212,86.3%,+/-1.9,"9,882",+/-231,87.9%,+/-2.1
Bachelor's degree or higher,"3,168",+/-278,14.3%,+/-1.3,"1,535",+/-203,14.1%,+/-1.9,"1,633",+/-174,14.5%,+/-1.5
Black alone,79,+/-69,(X),(X),35,+/-34,(X),(X),44,+/-58,(X),(X)
High school graduate or higher,66,+/-64,83.5%,+/-36.1,22,+/-21,62.9%,+/-62.9,44,+/-58,100.0%,+/-43.0
Bachelor's degree or higher,50,+/-60,63.3%,+/-43.5,16,+/-19,45.7%,+/-54.3,34,+/-56,77.3%,+/-50.5
American Indian or Alaska Native alone,9,+/-11,(X),(X),4,+/-6,(X),(X),5,+/-9,(X),(X)
High school graduate or higher,4,+/-6,44.4%,+/-55.6,4,+/-6,100.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-95.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Asian alone,49,+/-24,(X),(X),14,+/-12,(X),(X),35,+/-20,(X),(X)
High school graduate or higher,41,+/-25,83.7%,+/-23.2,14,+/-12,100.0%,+/-76.1,27,+/-25,77.1%,+/-39.3
Bachelor's degree or higher,8,+/-11,16.3%,+/-18.9,5,+/-9,35.7%,+/-58.5,3,+/-5,8.6%,+/-13.7
Native Hawaiian and Other Pacific Islander alone,14,+/-25,(X),(X),0,+/-24,(X),(X),14,+/-25,(X),(X)
High school graduate or higher,0,+/-24,0.0%,+/-76.1,0,+/-24,-,**,0,+/-24,0.0%,+/-76.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-76.1,0,+/-24,-,**,0,+/-24,0.0%,+/-76.1
Some other race alone,36,+/-43,(X),(X),30,+/-40,(X),(X),6,+/-9,(X),(X)
High school graduate or higher,11,+/-13,30.6%,+/-49.6,5,+/-8,16.7%,+/-43.8,6,+/-9,100.0%,+/-100.0
Bachelor's degree or higher,5,+/-8,13.9%,+/-32.6,5,+/-8,16.7%,+/-43.8,0,+/-24,0.0%,+/-100.0
Two or more races,187,+/-71,(X),(X),28,+/-26,(X),(X),159,+/-65,(X),(X)
High school graduate or higher,160,+/-65,85.6%,+/-12.8,9,+/-16,32.1%,+/-50.9,151,+/-63,95.0%,+/-9.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-14.8,0,+/-24,0.0%,+/-53.8,0,+/-24,0.0%,+/-17.1
Hispanic or Latino Origin,267,+/-72,(X),(X),136,+/-45,(X),(X),131,+/-72,(X),(X)
High school graduate or higher,235,+/-66,88.0%,+/-14.6,111,+/-42,81.6%,+/-27.2,124,+/-72,94.7%,+/-10.5
Bachelor's degree or higher,102,+/-64,38.2%,+/-25.5,51,+/-34,37.5%,+/-25.9,51,+/-66,38.9%,+/-39.8
