RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"173,934",+/-397,(X),(X),"82,860",+/-240,(X),(X),"91,074",+/-249,(X),(X)
High school graduate or higher,"167,767",+/-789,96.5%,+/-0.4,"79,585",+/-545,96.0%,+/-0.6,"88,182",+/-429,96.8%,+/-0.4
Bachelor's degree or higher,"97,010","+/-1,605",55.8%,+/-0.9,"48,267",+/-948,58.3%,+/-1.1,"48,743","+/-1,099",53.5%,+/-1.2
"White alone, not Hispanic or Latino","169,322",+/-177,(X),(X),"80,577",+/-91,(X),(X),"88,745",+/-105,(X),(X)
High school graduate or higher,"164,046",+/-674,96.9%,+/-0.4,"77,736",+/-495,96.5%,+/-0.6,"86,310",+/-363,97.3%,+/-0.4
Bachelor's degree or higher,"95,206","+/-1,551",56.2%,+/-0.9,"47,455",+/-949,58.9%,+/-1.2,"47,751","+/-1,081",53.8%,+/-1.2
Black alone,"6,883",+/-155,(X),(X),"3,407",+/-84,(X),(X),"3,476",+/-127,(X),(X)
High school graduate or higher,"6,446",+/-248,93.7%,+/-2.8,"3,141",+/-164,92.2%,+/-3.9,"3,305",+/-209,95.1%,+/-4.5
Bachelor's degree or higher,"3,290",+/-422,47.8%,+/-6.0,"1,635",+/-258,48.0%,+/-7.4,"1,655",+/-304,47.6%,+/-8.6
American Indian or Alaska Native alone,253,+/-119,(X),(X),152,+/-120,(X),(X),101,+/-88,(X),(X)
High school graduate or higher,175,+/-90,69.2%,+/-27.7,74,+/-46,48.7%,+/-25.7,101,+/-88,100.0%,+/-25.3
Bachelor's degree or higher,11,+/-19,4.3%,+/-7.6,11,+/-19,7.2%,+/-14.9,0,+/-27,0.0%,+/-25.3
Asian alone,"10,877",+/-202,(X),(X),"5,069",+/-154,(X),(X),"5,808",+/-106,(X),(X)
High school graduate or higher,"10,158",+/-261,93.4%,+/-1.5,"4,880",+/-180,96.3%,+/-1.9,"5,278",+/-175,90.9%,+/-2.3
Bachelor's degree or higher,"8,050",+/-451,74.0%,+/-4.0,"4,056",+/-279,80.0%,+/-5.2,"3,994",+/-246,68.8%,+/-4.0
Native Hawaiian and Other Pacific Islander alone,20,+/-31,(X),(X),20,+/-31,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,20,+/-31,100.0%,+/-63.7,20,+/-31,100.0%,+/-63.7,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,0.0%,+/-63.7,0,+/-27,0.0%,+/-63.7,0,+/-27,-,**
Some other race alone,"1,437",+/-347,(X),(X),782,+/-239,(X),(X),655,+/-191,(X),(X)
High school graduate or higher,"1,085",+/-307,75.5%,+/-9.7,553,+/-215,70.7%,+/-14.6,532,+/-172,81.2%,+/-9.6
Bachelor's degree or higher,423,+/-191,29.4%,+/-10.7,229,+/-106,29.3%,+/-12.2,194,+/-111,29.6%,+/-13.7
Two or more races,"1,728",+/-290,(X),(X),726,+/-206,(X),(X),"1,002",+/-231,(X),(X)
High school graduate or higher,"1,617",+/-274,93.6%,+/-4.3,615,+/-191,84.7%,+/-10.3,"1,002",+/-231,100.0%,+/-2.9
Bachelor's degree or higher,"1,038",+/-234,60.1%,+/-8.2,446,+/-180,61.4%,+/-13.8,592,+/-181,59.1%,+/-12.1
Hispanic or Latino Origin,"5,997",*****,(X),(X),"2,965",*****,(X),(X),"3,032",*****,(X),(X)
High school graduate or higher,"4,778",+/-288,79.7%,+/-4.8,"2,326",+/-229,78.4%,+/-7.7,"2,452",+/-165,80.9%,+/-5.4
Bachelor's degree or higher,"1,990",+/-308,33.2%,+/-5.1,912,+/-204,30.8%,+/-6.9,"1,078",+/-210,35.6%,+/-6.9
