Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"22,565",+/-28,(X),(X),"11,605",+/-27,(X),(X),"10,960",+/-4,(X),(X)
Less than high school graduate,"3,856",+/-472,17.1%,+/-2.1,"2,152",+/-341,18.5%,+/-2.9,"1,704",+/-320,15.5%,+/-2.9
High school graduate (includes equivalency),"5,916",+/-606,26.2%,+/-2.7,"3,365",+/-422,29.0%,+/-3.7,"2,551",+/-416,23.3%,+/-3.8
Some college or associate's degree,"8,007",+/-662,35.5%,+/-2.9,"3,994",+/-459,34.4%,+/-3.9,"4,013",+/-441,36.6%,+/-4.0
Bachelor's degree or higher,"4,786",+/-563,21.2%,+/-2.5,"2,094",+/-401,18.0%,+/-3.5,"2,692",+/-362,24.6%,+/-3.3
Population 25 years and over,"199,803",+/-29,(X),(X),"95,378",+/-125,(X),(X),"104,425",+/-119,(X),(X)
Less than 9th grade,"2,219",+/-387,1.1%,+/-0.2,"1,073",+/-278,1.1%,+/-0.3,"1,146",+/-244,1.1%,+/-0.2
"9th to 12th grade, no diploma","5,354",+/-666,2.7%,+/-0.3,"2,925",+/-495,3.1%,+/-0.5,"2,429",+/-355,2.3%,+/-0.3
High school graduate (includes equivalency),"30,322","+/-1,235",15.2%,+/-0.6,"13,173",+/-680,13.8%,+/-0.7,"17,149",+/-890,16.4%,+/-0.9
"Some college, no degree","34,026","+/-1,383",17.0%,+/-0.7,"15,763",+/-913,16.5%,+/-1.0,"18,263","+/-1,058",17.5%,+/-1.0
Associate's degree,"13,008",+/-922,6.5%,+/-0.5,"5,262",+/-537,5.5%,+/-0.6,"7,746",+/-788,7.4%,+/-0.8
Bachelor's degree,"73,578","+/-1,639",36.8%,+/-0.8,"36,065","+/-1,124",37.8%,+/-1.2,"37,513","+/-1,131",35.9%,+/-1.1
Graduate or professional degree,"41,296","+/-1,406",20.7%,+/-0.7,"21,117",+/-842,22.1%,+/-0.9,"20,179",+/-938,19.3%,+/-0.9
Percent high school graduate or higher,(X),(X),96.2%,+/-0.3,(X),(X),95.8%,+/-0.5,(X),(X),96.6%,+/-0.4
Percent bachelor's degree or higher,(X),(X),57.5%,+/-0.9,(X),(X),60.0%,+/-1.2,(X),(X),55.2%,+/-1.2
Population 25 to 34 years,"37,557",+/-69,(X),(X),"17,880",+/-49,(X),(X),"19,677",+/-40,(X),(X)
High school graduate or higher,"36,235",+/-324,96.5%,+/-0.8,"17,083",+/-259,95.5%,+/-1.4,"19,152",+/-150,97.3%,+/-0.7
Bachelor's degree or higher,"23,424",+/-971,62.4%,+/-2.6,"10,816",+/-581,60.5%,+/-3.2,"12,608",+/-589,64.1%,+/-3.0
Population 35 to 44 years,"47,360",+/-94,(X),(X),"22,986",+/-18,(X),(X),"24,374",+/-87,(X),(X)
High school graduate or higher,"46,155",+/-299,97.5%,+/-0.6,"22,316",+/-208,97.1%,+/-0.9,"23,839",+/-191,97.8%,+/-0.7
Bachelor's degree or higher,"31,592",+/-872,66.7%,+/-1.9,"15,250",+/-490,66.3%,+/-2.1,"16,342",+/-567,67.0%,+/-2.4
Population 45 to 64 years,"80,969",+/-165,(X),(X),"39,315",+/-109,(X),(X),"41,654",+/-132,(X),(X)
High school graduate or higher,"78,328",+/-461,96.7%,+/-0.5,"37,830",+/-329,96.2%,+/-0.8,"40,498",+/-280,97.2%,+/-0.6
Bachelor's degree or higher,"46,333","+/-1,118",57.2%,+/-1.4,"23,666",+/-707,60.2%,+/-1.8,"22,667",+/-790,54.4%,+/-1.9
Population 65 years and over,"33,917",+/-182,(X),(X),"15,197",+/-151,(X),(X),"18,720",+/-128,(X),(X)
High school graduate or higher,"31,512",+/-405,92.9%,+/-1.0,"14,151",+/-298,93.1%,+/-1.7,"17,361",+/-236,92.7%,+/-1.1
Bachelor's degree or higher,"13,525",+/-679,39.9%,+/-2.0,"7,450",+/-466,49.0%,+/-3.0,"6,075",+/-445,32.5%,+/-2.4
