Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"5,798",+/-241,(X),(X),"2,959",+/-111,(X),(X),"2,839",+/-212,(X),(X)
Less than high school graduate,"1,008",+/-210,17.4%,+/-3.8,664,+/-193,22.4%,+/-6.6,344,+/-130,12.1%,+/-4.9
High school graduate (includes equivalency),"1,916",+/-329,33.0%,+/-5.4,934,+/-227,31.6%,+/-7.5,982,+/-226,34.6%,+/-8.2
Some college or associate's degree,"2,360",+/-426,40.7%,+/-6.8,"1,164",+/-262,39.3%,+/-8.6,"1,196",+/-325,42.1%,+/-9.6
Bachelor's degree or higher,514,+/-191,8.9%,+/-3.4,197,+/-107,6.7%,+/-3.6,317,+/-143,11.2%,+/-5.2
Population 25 years and over,"49,508",+/-255,(X),(X),"23,778",+/-226,(X),(X),"25,730",+/-205,(X),(X)
Less than 9th grade,620,+/-196,1.3%,+/-0.4,315,+/-133,1.3%,+/-0.6,305,+/-124,1.2%,+/-0.5
"9th to 12th grade, no diploma","2,421",+/-377,4.9%,+/-0.8,"1,170",+/-218,4.9%,+/-0.9,"1,251",+/-288,4.9%,+/-1.1
High school graduate (includes equivalency),"16,056",+/-903,32.4%,+/-1.8,"7,682",+/-640,32.3%,+/-2.7,"8,374",+/-572,32.5%,+/-2.3
"Some college, no degree","10,661",+/-740,21.5%,+/-1.5,"5,281",+/-464,22.2%,+/-2.0,"5,380",+/-506,20.9%,+/-2.0
Associate's degree,"4,842",+/-555,9.8%,+/-1.1,"2,094",+/-313,8.8%,+/-1.3,"2,748",+/-420,10.7%,+/-1.6
Bachelor's degree,"10,029",+/-730,20.3%,+/-1.5,"5,012",+/-496,21.1%,+/-2.1,"5,017",+/-478,19.5%,+/-1.8
Graduate or professional degree,"4,879",+/-603,9.9%,+/-1.2,"2,224",+/-385,9.4%,+/-1.6,"2,655",+/-395,10.3%,+/-1.5
Percent high school graduate or higher,(X),(X),93.9%,+/-0.8,(X),(X),93.8%,+/-1.1,(X),(X),94.0%,+/-1.2
Percent bachelor's degree or higher,(X),(X),30.1%,+/-1.9,(X),(X),30.4%,+/-2.3,(X),(X),29.8%,+/-2.3
Population 25 to 34 years,"8,132",+/-142,(X),(X),"4,024",+/-82,(X),(X),"4,108",+/-109,(X),(X)
High school graduate or higher,"7,824",+/-186,96.2%,+/-1.6,"3,838",+/-125,95.4%,+/-2.8,"3,986",+/-125,97.0%,+/-1.7
Bachelor's degree or higher,"3,124",+/-433,38.4%,+/-5.1,"1,338",+/-228,33.3%,+/-5.6,"1,786",+/-295,43.5%,+/-7.1
Population 35 to 44 years,"9,556",+/-221,(X),(X),"4,568",+/-120,(X),(X),"4,988",+/-179,(X),(X)
High school graduate or higher,"9,182",+/-222,96.1%,+/-1.7,"4,411",+/-125,96.6%,+/-1.5,"4,771",+/-179,95.6%,+/-2.7
Bachelor's degree or higher,"3,733",+/-472,39.1%,+/-4.7,"1,684",+/-269,36.9%,+/-5.9,"2,049",+/-328,41.1%,+/-6.2
Population 45 to 64 years,"20,756",+/-234,(X),(X),"10,140",+/-192,(X),(X),"10,616",+/-189,(X),(X)
High school graduate or higher,"19,679",+/-344,94.8%,+/-1.3,"9,560",+/-268,94.3%,+/-1.9,"10,119",+/-258,95.3%,+/-1.5
Bachelor's degree or higher,"5,959",+/-514,28.7%,+/-2.4,"2,982",+/-365,29.4%,+/-3.6,"2,977",+/-308,28.0%,+/-2.7
Population 65 years and over,"11,064",+/-153,(X),(X),"5,046",+/-134,(X),(X),"6,018",+/-79,(X),(X)
High school graduate or higher,"9,782",+/-289,88.4%,+/-2.3,"4,484",+/-167,88.9%,+/-3.0,"5,298",+/-216,88.0%,+/-3.4
Bachelor's degree or higher,"2,092",+/-317,18.9%,+/-2.8,"1,232",+/-196,24.4%,+/-3.9,860,+/-223,14.3%,+/-3.7
