RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"47,463",+/-151,(X),(X),"22,748",+/-134,(X),(X),"24,715",+/-78,(X),(X)
High school graduate or higher,"44,708",+/-381,94.2%,+/-0.8,"21,409",+/-253,94.1%,+/-1.0,"23,299",+/-286,94.3%,+/-1.1
Bachelor's degree or higher,"14,015",+/-901,29.5%,+/-1.9,"6,887",+/-549,30.3%,+/-2.4,"7,128",+/-580,28.8%,+/-2.3
"White alone, not Hispanic or Latino","46,741",+/-55,(X),(X),"22,472",+/-55,(X),(X),"24,269",+/-27,(X),(X)
High school graduate or higher,"44,052",+/-379,94.2%,+/-0.8,"21,169",+/-233,94.2%,+/-1.0,"22,883",+/-284,94.3%,+/-1.2
Bachelor's degree or higher,"13,832",+/-876,29.6%,+/-1.9,"6,868",+/-551,30.6%,+/-2.4,"6,964",+/-548,28.7%,+/-2.3
Black alone,922,+/-199,(X),(X),572,+/-109,(X),(X),350,+/-160,(X),(X)
High school graduate or higher,828,+/-204,89.8%,+/-7.4,478,+/-111,83.6%,+/-11.2,350,+/-160,100.0%,+/-8.2
Bachelor's degree or higher,370,+/-147,40.1%,+/-11.6,133,+/-78,23.3%,+/-13.7,237,+/-141,67.7%,+/-26.3
American Indian or Alaska Native alone,73,+/-92,(X),(X),14,+/-21,(X),(X),59,+/-89,(X),(X)
High school graduate or higher,14,+/-21,19.2%,+/-41.7,14,+/-21,100.0%,+/-76.1,0,+/-27,0.0%,+/-37.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-32.3,0,+/-27,0.0%,+/-76.1,0,+/-27,0.0%,+/-37.0
Asian alone,331,+/-126,(X),(X),167,+/-96,(X),(X),164,+/-58,(X),(X)
High school graduate or higher,309,+/-124,93.4%,+/-10.9,167,+/-96,100.0%,+/-16.4,142,+/-59,86.6%,+/-20.8
Bachelor's degree or higher,146,+/-99,44.1%,+/-23.1,81,+/-65,48.5%,+/-32.4,65,+/-48,39.6%,+/-28.1
Native Hawaiian and Other Pacific Islander alone,18,+/-30,(X),(X),0,+/-27,(X),(X),18,+/-30,(X),(X)
High school graduate or higher,18,+/-30,100.0%,+/-67.2,0,+/-27,-,**,18,+/-30,100.0%,+/-67.2
Bachelor's degree or higher,0,+/-27,0.0%,+/-67.2,0,+/-27,-,**,0,+/-27,0.0%,+/-67.2
Some other race alone,61,+/-64,(X),(X),20,+/-25,(X),(X),41,+/-48,(X),(X)
High school graduate or higher,35,+/-46,57.4%,+/-52.5,9,+/-16,45.0%,+/-55.0,26,+/-41,63.4%,+/-56.4
Bachelor's degree or higher,26,+/-41,42.6%,+/-50.0,0,+/-27,0.0%,+/-63.7,26,+/-41,63.4%,+/-56.4
Two or more races,640,+/-208,(X),(X),257,+/-142,(X),(X),383,+/-170,(X),(X)
High school graduate or higher,555,+/-195,86.7%,+/-11.6,216,+/-130,84.0%,+/-24.1,339,+/-154,88.5%,+/-11.1
Bachelor's degree or higher,351,+/-154,54.8%,+/-17.7,135,+/-115,52.5%,+/-30.2,216,+/-126,56.4%,+/-24.7
Hispanic or Latino Origin,799,+/-130,(X),(X),310,+/-117,(X),(X),489,+/-79,(X),(X)
High school graduate or higher,707,+/-140,88.5%,+/-13.2,263,+/-97,84.8%,+/-16.7,444,+/-105,90.8%,+/-11.0
Bachelor's degree or higher,209,+/-138,26.2%,+/-17.2,19,+/-31,6.1%,+/-11.2,190,+/-146,38.9%,+/-27.2
