Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,949",+/-85,(X),(X),"1,542",+/-75,(X),(X),"1,407",+/-40,(X),(X)
Less than high school graduate,357,+/-109,12.1%,+/-3.8,136,+/-61,8.8%,+/-4.1,221,+/-91,15.7%,+/-6.4
High school graduate (includes equivalency),"1,565",+/-238,53.1%,+/-7.5,944,+/-160,61.2%,+/-9.4,621,+/-148,44.1%,+/-10.5
Some college or associate's degree,841,+/-198,28.5%,+/-6.8,388,+/-143,25.2%,+/-9.2,453,+/-123,32.2%,+/-8.8
Bachelor's degree or higher,186,+/-96,6.3%,+/-3.2,74,+/-57,4.8%,+/-3.7,112,+/-76,8.0%,+/-5.4
Population 25 years and over,"27,457",+/-120,(X),(X),"13,545",+/-135,(X),(X),"13,912",+/-79,(X),(X)
Less than 9th grade,687,+/-202,2.5%,+/-0.7,370,+/-149,2.7%,+/-1.1,317,+/-107,2.3%,+/-0.8
"9th to 12th grade, no diploma","2,425",+/-390,8.8%,+/-1.4,"1,250",+/-282,9.2%,+/-2.1,"1,175",+/-249,8.4%,+/-1.8
High school graduate (includes equivalency),"11,509",+/-599,41.9%,+/-2.2,"6,443",+/-439,47.6%,+/-3.2,"5,066",+/-367,36.4%,+/-2.6
"Some college, no degree","5,854",+/-491,21.3%,+/-1.8,"2,756",+/-341,20.3%,+/-2.5,"3,098",+/-346,22.3%,+/-2.5
Associate's degree,"2,341",+/-366,8.5%,+/-1.3,806,+/-186,6.0%,+/-1.4,"1,535",+/-272,11.0%,+/-2.0
Bachelor's degree,"2,930",+/-292,10.7%,+/-1.1,"1,265",+/-219,9.3%,+/-1.6,"1,665",+/-240,12.0%,+/-1.7
Graduate or professional degree,"1,711",+/-310,6.2%,+/-1.1,655,+/-161,4.8%,+/-1.2,"1,056",+/-240,7.6%,+/-1.7
Percent high school graduate or higher,(X),(X),88.7%,+/-1.6,(X),(X),88.0%,+/-2.2,(X),(X),89.3%,+/-2.0
Percent bachelor's degree or higher,(X),(X),16.9%,+/-1.5,(X),(X),14.2%,+/-1.8,(X),(X),19.6%,+/-2.5
Population 25 to 34 years,"4,572",+/-69,(X),(X),"2,322",+/-51,(X),(X),"2,250",+/-42,(X),(X)
High school graduate or higher,"4,095",+/-238,89.6%,+/-4.7,"2,137",+/-116,92.0%,+/-4.6,"1,958",+/-159,87.0%,+/-6.4
Bachelor's degree or higher,943,+/-200,20.6%,+/-4.4,272,+/-100,11.7%,+/-4.3,671,+/-170,29.8%,+/-7.5
Population 35 to 44 years,"4,754",+/-40,(X),(X),"2,395",+/-25,(X),(X),"2,359",+/-28,(X),(X)
High school graduate or higher,"4,436",+/-151,93.3%,+/-2.9,"2,208",+/-118,92.2%,+/-4.9,"2,228",+/-74,94.4%,+/-2.9
Bachelor's degree or higher,"1,231",+/-207,25.9%,+/-4.4,620,+/-141,25.9%,+/-5.9,611,+/-143,25.9%,+/-6.1
Population 45 to 64 years,"11,779",+/-130,(X),(X),"5,936",+/-148,(X),(X),"5,843",+/-87,(X),(X)
High school graduate or higher,"10,503",+/-295,89.2%,+/-2.2,"5,088",+/-271,85.7%,+/-3.6,"5,415",+/-166,92.7%,+/-2.6
Bachelor's degree or higher,"1,880",+/-291,16.0%,+/-2.5,746,+/-175,12.6%,+/-2.8,"1,134",+/-213,19.4%,+/-3.7
Population 65 years and over,"6,352",+/-61,(X),(X),"2,892",+/-43,(X),(X),"3,460",+/-61,(X),(X)
High school graduate or higher,"5,311",+/-246,83.6%,+/-3.9,"2,492",+/-135,86.2%,+/-4.5,"2,819",+/-176,81.5%,+/-4.9
Bachelor's degree or higher,587,+/-188,9.2%,+/-3.0,282,+/-110,9.8%,+/-3.8,305,+/-121,8.8%,+/-3.5
