RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"26,936",+/-98,(X),(X),"13,216",+/-68,(X),(X),"13,720",+/-55,(X),(X)
High school graduate or higher,"24,012",+/-490,89.1%,+/-1.8,"11,694",+/-270,88.5%,+/-2.0,"12,318",+/-358,89.8%,+/-2.6
Bachelor's degree or higher,"4,449",+/-459,16.5%,+/-1.7,"1,728",+/-245,13.1%,+/-1.9,"2,721",+/-321,19.8%,+/-2.3
"White alone, not Hispanic or Latino","26,738",+/-37,(X),(X),"13,125",+/-24,(X),(X),"13,613",+/-37,(X),(X)
High school graduate or higher,"23,830",+/-489,89.1%,+/-1.8,"11,607",+/-268,88.4%,+/-2.0,"12,223",+/-364,89.8%,+/-2.6
Bachelor's degree or higher,"4,402",+/-453,16.5%,+/-1.7,"1,711",+/-245,13.0%,+/-1.9,"2,691",+/-314,19.8%,+/-2.3
Black alone,79,+/-65,(X),(X),71,+/-63,(X),(X),8,+/-11,(X),(X)
High school graduate or higher,77,+/-64,97.5%,+/-5.8,69,+/-62,97.2%,+/-6.5,8,+/-11,100.0%,+/-100.0
Bachelor's degree or higher,12,+/-14,15.2%,+/-18.6,5,+/-9,7.0%,+/-13.5,7,+/-11,87.5%,+/-39.4
American Indian or Alaska Native alone,169,+/-153,(X),(X),145,+/-121,(X),(X),24,+/-36,(X),(X)
High school graduate or higher,143,+/-121,84.6%,+/-11.1,143,+/-121,98.6%,+/-3.9,0,+/-24,0.0%,+/-58.2
Bachelor's degree or higher,72,+/-68,42.6%,+/-24.0,72,+/-68,49.7%,+/-25.7,0,+/-24,0.0%,+/-58.2
Asian alone,101,+/-38,(X),(X),47,+/-31,(X),(X),54,+/-34,(X),(X)
High school graduate or higher,101,+/-38,100.0%,+/-25.3,47,+/-31,100.0%,+/-41.6,54,+/-34,100.0%,+/-38.8
Bachelor's degree or higher,29,+/-26,28.7%,+/-24.1,12,+/-15,25.5%,+/-39.9,17,+/-25,31.5%,+/-38.0
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,90,+/-57,(X),(X),39,+/-35,(X),(X),51,+/-36,(X),(X)
High school graduate or higher,82,+/-57,91.1%,+/-19.1,31,+/-33,79.5%,+/-40.4,51,+/-36,100.0%,+/-39.9
Bachelor's degree or higher,10,+/-15,11.1%,+/-15.4,0,+/-24,0.0%,+/-45.6,10,+/-15,19.6%,+/-28.8
Two or more races,264,+/-119,(X),(X),165,+/-102,(X),(X),99,+/-86,(X),(X)
High school graduate or higher,252,+/-117,95.5%,+/-5.2,165,+/-102,100.0%,+/-16.6,87,+/-86,87.9%,+/-19.1
Bachelor's degree or higher,10,+/-10,3.8%,+/-3.7,10,+/-10,6.1%,+/-6.1,0,+/-24,0.0%,+/-25.7
Hispanic or Latino Origin,273,+/-72,(X),(X),130,+/-69,(X),(X),143,+/-34,(X),(X)
High school graduate or higher,249,+/-70,91.2%,+/-8.8,118,+/-66,90.8%,+/-11.2,131,+/-30,91.6%,+/-12.8
Bachelor's degree or higher,64,+/-53,23.4%,+/-16.6,17,+/-34,13.1%,+/-22.1,47,+/-32,32.9%,+/-23.1
