RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"91,899",+/-282,(X),(X),"44,827",+/-166,(X),(X),"47,072",+/-218,(X),(X)
High school graduate or higher,"86,411",+/-632,94.0%,+/-0.7,"42,009",+/-437,93.7%,+/-1.0,"44,402",+/-406,94.3%,+/-0.8
Bachelor's degree or higher,"30,319","+/-1,339",33.0%,+/-1.5,"14,923",+/-811,33.3%,+/-1.8,"15,396",+/-759,32.7%,+/-1.6
"White alone, not Hispanic or Latino","89,967",+/-150,(X),(X),"43,841",+/-86,(X),(X),"46,126",+/-69,(X),(X)
High school graduate or higher,"84,983",+/-607,94.5%,+/-0.7,"41,286",+/-423,94.2%,+/-0.9,"43,697",+/-359,94.7%,+/-0.8
Bachelor's degree or higher,"29,971","+/-1,337",33.3%,+/-1.5,"14,828",+/-821,33.8%,+/-1.9,"15,143",+/-749,32.8%,+/-1.6
Black alone,"4,909",+/-422,(X),(X),"2,707",+/-272,(X),(X),"2,202",+/-200,(X),(X)
High school graduate or higher,"4,624",+/-392,94.2%,+/-2.8,"2,471",+/-258,91.3%,+/-4.6,"2,153",+/-192,97.8%,+/-2.0
Bachelor's degree or higher,"1,954",+/-419,39.8%,+/-8.7,881,+/-289,32.5%,+/-10.6,"1,073",+/-250,48.7%,+/-12.2
American Indian or Alaska Native alone,149,+/-86,(X),(X),79,+/-53,(X),(X),70,+/-59,(X),(X)
High school graduate or higher,119,+/-72,79.9%,+/-26.5,64,+/-48,81.0%,+/-26.0,55,+/-55,78.6%,+/-35.1
Bachelor's degree or higher,0,+/-27,0.0%,+/-18.1,0,+/-27,0.0%,+/-30.6,0,+/-27,0.0%,+/-33.3
Asian alone,"2,402",+/-138,(X),(X),"1,019",+/-87,(X),(X),"1,383",+/-103,(X),(X)
High school graduate or higher,"2,049",+/-203,85.3%,+/-7.8,862,+/-111,84.6%,+/-8.8,"1,187",+/-154,85.8%,+/-9.4
Bachelor's degree or higher,982,+/-221,40.9%,+/-9.2,425,+/-128,41.7%,+/-11.8,557,+/-174,40.3%,+/-12.9
Native Hawaiian and Other Pacific Islander alone,13,+/-45,(X),(X),0,+/-27,(X),(X),13,+/-45,(X),(X)
High school graduate or higher,13,+/-45,100.0%,+/-79.0,0,+/-27,-,**,13,+/-45,100.0%,+/-79.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-79.0,0,+/-27,-,**,0,+/-27,0.0%,+/-79.0
Some other race alone,827,+/-305,(X),(X),388,+/-207,(X),(X),439,+/-135,(X),(X)
High school graduate or higher,727,+/-321,87.9%,+/-11.7,388,+/-207,100.0%,+/-7.4,339,+/-139,77.2%,+/-19.1
Bachelor's degree or higher,310,+/-284,37.5%,+/-23.1,204,+/-197,52.6%,+/-27.3,106,+/-118,24.1%,+/-23.0
Two or more races,654,+/-161,(X),(X),328,+/-110,(X),(X),326,+/-124,(X),(X)
High school graduate or higher,626,+/-161,95.7%,+/-3.6,302,+/-107,92.1%,+/-6.5,324,+/-125,99.4%,+/-1.5
Bachelor's degree or higher,114,+/-69,17.4%,+/-9.6,28,+/-45,8.5%,+/-12.6,86,+/-54,26.4%,+/-17.5
Hispanic or Latino Origin,"2,539",+/-119,(X),(X),"1,162",+/-136,(X),(X),"1,377",+/-119,(X),(X)
High school graduate or higher,"1,882",+/-261,74.1%,+/-9.5,872,+/-201,75.0%,+/-13.9,"1,010",+/-211,73.3%,+/-12.7
Bachelor's degree or higher,434,+/-171,17.1%,+/-6.6,134,+/-80,11.5%,+/-6.8,300,+/-163,21.8%,+/-11.6
