Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"12,896",+/-339,(X),(X),"6,956",+/-238,(X),(X),"5,940",+/-194,(X),(X)
Less than high school graduate,"2,370",+/-414,18.4%,+/-3.1,"1,432",+/-323,20.6%,+/-4.5,938,+/-231,15.8%,+/-3.7
High school graduate (includes equivalency),"4,197",+/-507,32.5%,+/-3.8,"2,614",+/-387,37.6%,+/-5.5,"1,583",+/-292,26.6%,+/-4.8
Some college or associate's degree,"4,985",+/-486,38.7%,+/-3.7,"2,435",+/-418,35.0%,+/-5.9,"2,550",+/-340,42.9%,+/-5.6
Bachelor's degree or higher,"1,344",+/-312,10.4%,+/-2.4,475,+/-175,6.8%,+/-2.5,869,+/-283,14.6%,+/-4.8
Population 25 years and over,"104,392",+/-358,(X),(X),"51,164",+/-275,(X),(X),"53,228",+/-196,(X),(X)
Less than 9th grade,"1,754",+/-356,1.7%,+/-0.3,711,+/-221,1.4%,+/-0.4,"1,043",+/-246,2.0%,+/-0.5
"9th to 12th grade, no diploma","4,893",+/-689,4.7%,+/-0.7,"2,534",+/-445,5.0%,+/-0.9,"2,359",+/-409,4.4%,+/-0.8
High school graduate (includes equivalency),"28,993","+/-1,305",27.8%,+/-1.2,"14,167",+/-950,27.7%,+/-1.8,"14,826",+/-802,27.9%,+/-1.5
"Some college, no degree","22,021","+/-1,033",21.1%,+/-1.0,"11,111",+/-775,21.7%,+/-1.5,"10,910",+/-664,20.5%,+/-1.2
Associate's degree,"9,898",+/-955,9.5%,+/-0.9,"5,322",+/-627,10.4%,+/-1.2,"4,576",+/-646,8.6%,+/-1.2
Bachelor's degree,"24,513","+/-1,243",23.5%,+/-1.2,"12,080",+/-819,23.6%,+/-1.6,"12,433",+/-858,23.4%,+/-1.6
Graduate or professional degree,"12,320","+/-1,017",11.8%,+/-1.0,"5,239",+/-546,10.2%,+/-1.1,"7,081",+/-738,13.3%,+/-1.4
Percent high school graduate or higher,(X),(X),93.6%,+/-0.7,(X),(X),93.7%,+/-1.0,(X),(X),93.6%,+/-0.9
Percent bachelor's degree or higher,(X),(X),35.3%,+/-1.5,(X),(X),33.8%,+/-2.0,(X),(X),36.7%,+/-1.7
Population 25 to 34 years,"19,529",+/-439,(X),(X),"9,720",+/-344,(X),(X),"9,809",+/-211,(X),(X)
High school graduate or higher,"18,425",+/-517,94.3%,+/-1.5,"9,166",+/-389,94.3%,+/-1.8,"9,259",+/-254,94.4%,+/-2.2
Bachelor's degree or higher,"8,243",+/-782,42.2%,+/-4.0,"3,806",+/-530,39.2%,+/-5.4,"4,437",+/-424,45.2%,+/-4.3
Population 35 to 44 years,"23,371",+/-389,(X),(X),"11,939",+/-275,(X),(X),"11,432",+/-279,(X),(X)
High school graduate or higher,"22,283",+/-428,95.3%,+/-0.9,"11,185",+/-307,93.7%,+/-1.8,"11,098",+/-298,97.1%,+/-1.1
Bachelor's degree or higher,"10,498",+/-885,44.9%,+/-3.7,"4,600",+/-580,38.5%,+/-4.8,"5,898",+/-514,51.6%,+/-4.4
Population 45 to 64 years,"41,477",+/-373,(X),(X),"20,724",+/-233,(X),(X),"20,753",+/-344,(X),(X)
High school graduate or higher,"39,153",+/-474,94.4%,+/-1.1,"19,587",+/-370,94.5%,+/-1.6,"19,566",+/-417,94.3%,+/-1.4
Bachelor's degree or higher,"13,814",+/-791,33.3%,+/-1.9,"6,653",+/-522,32.1%,+/-2.5,"7,161",+/-605,34.5%,+/-2.9
Population 65 years and over,"20,015",+/-289,(X),(X),"8,781",+/-150,(X),(X),"11,234",+/-228,(X),(X)
High school graduate or higher,"17,884",+/-468,89.4%,+/-1.8,"7,981",+/-268,90.9%,+/-2.3,"9,903",+/-323,88.2%,+/-2.3
Bachelor's degree or higher,"4,278",+/-431,21.4%,+/-2.2,"2,260",+/-290,25.7%,+/-3.2,"2,018",+/-256,18.0%,+/-2.3
