Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,008",+/-81,(X),(X),"2,302",+/-80,(X),(X),"1,706",+/-11,(X),(X)
Less than high school graduate,961,+/-169,24.0%,+/-4.1,683,+/-149,29.7%,+/-6.1,278,+/-81,16.3%,+/-4.7
High school graduate (includes equivalency),"1,537",+/-224,38.3%,+/-5.5,864,+/-147,37.5%,+/-6.4,673,+/-134,39.4%,+/-7.8
Some college or associate's degree,"1,253",+/-188,31.3%,+/-4.7,715,+/-140,31.1%,+/-6.1,538,+/-114,31.5%,+/-6.7
Bachelor's degree or higher,257,+/-106,6.4%,+/-2.7,40,+/-38,1.7%,+/-1.6,217,+/-101,12.7%,+/-5.9
Population 25 years and over,"34,723",+/-85,(X),(X),"17,709",+/-113,(X),(X),"17,014",+/-83,(X),(X)
Less than 9th grade,"1,394",+/-168,4.0%,+/-0.5,777,+/-112,4.4%,+/-0.6,617,+/-121,3.6%,+/-0.7
"9th to 12th grade, no diploma","3,281",+/-277,9.4%,+/-0.8,"1,859",+/-222,10.5%,+/-1.2,"1,422",+/-200,8.4%,+/-1.2
High school graduate (includes equivalency),"15,102",+/-553,43.5%,+/-1.6,"8,029",+/-369,45.3%,+/-2.1,"7,073",+/-354,41.6%,+/-2.1
"Some college, no degree","6,875",+/-421,19.8%,+/-1.2,"3,354",+/-303,18.9%,+/-1.7,"3,521",+/-267,20.7%,+/-1.6
Associate's degree,"2,661",+/-309,7.7%,+/-0.9,"1,204",+/-208,6.8%,+/-1.2,"1,457",+/-190,8.6%,+/-1.1
Bachelor's degree,"3,553",+/-290,10.2%,+/-0.8,"1,770",+/-192,10.0%,+/-1.1,"1,783",+/-199,10.5%,+/-1.2
Graduate or professional degree,"1,857",+/-235,5.3%,+/-0.7,716,+/-113,4.0%,+/-0.6,"1,141",+/-171,6.7%,+/-1.0
Percent high school graduate or higher,(X),(X),86.5%,+/-0.9,(X),(X),85.1%,+/-1.3,(X),(X),88.0%,+/-1.3
Percent bachelor's degree or higher,(X),(X),15.6%,+/-1.1,(X),(X),14.0%,+/-1.3,(X),(X),17.2%,+/-1.5
Population 25 to 34 years,"5,638",+/-102,(X),(X),"3,173",+/-84,(X),(X),"2,465",+/-57,(X),(X)
High school graduate or higher,"4,754",+/-189,84.3%,+/-3.4,"2,495",+/-153,78.6%,+/-4.8,"2,259",+/-101,91.6%,+/-3.8
Bachelor's degree or higher,781,+/-154,13.9%,+/-2.7,269,+/-86,8.5%,+/-2.7,512,+/-113,20.8%,+/-4.5
Population 35 to 44 years,"6,324",+/-84,(X),(X),"3,423",+/-63,(X),(X),"2,901",+/-52,(X),(X)
High school graduate or higher,"5,813",+/-123,91.9%,+/-1.8,"3,125",+/-94,91.3%,+/-2.4,"2,688",+/-84,92.7%,+/-2.8
Bachelor's degree or higher,"1,144",+/-192,18.1%,+/-3.1,426,+/-92,12.4%,+/-2.7,718,+/-146,24.8%,+/-5.1
Population 45 to 64 years,"14,129",+/-84,(X),(X),"7,352",+/-88,(X),(X),"6,777",+/-35,(X),(X)
High school graduate or higher,"12,572",+/-182,89.0%,+/-1.3,"6,504",+/-134,88.5%,+/-1.7,"6,068",+/-135,89.5%,+/-2.0
Bachelor's degree or higher,"2,376",+/-231,16.8%,+/-1.6,"1,275",+/-159,17.3%,+/-2.2,"1,101",+/-149,16.2%,+/-2.2
Population 65 years and over,"8,632",+/-57,(X),(X),"3,761",+/-35,(X),(X),"4,871",+/-50,(X),(X)
High school graduate or higher,"6,909",+/-190,80.0%,+/-2.0,"2,949",+/-115,78.4%,+/-2.9,"3,960",+/-142,81.3%,+/-2.7
Bachelor's degree or higher,"1,109",+/-154,12.8%,+/-1.8,516,+/-103,13.7%,+/-2.7,593,+/-111,12.2%,+/-2.3
