RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"33,149",+/-62,(X),(X),"16,550",+/-55,(X),(X),"16,599",+/-57,(X),(X)
High school graduate or higher,"28,927",+/-293,87.3%,+/-0.9,"14,250",+/-216,86.1%,+/-1.3,"14,677",+/-222,88.4%,+/-1.3
Bachelor's degree or higher,"5,179",+/-366,15.6%,+/-1.1,"2,354",+/-214,14.2%,+/-1.3,"2,825",+/-243,17.0%,+/-1.5
"White alone, not Hispanic or Latino","32,846",+/-22,(X),(X),"16,378",+/-11,(X),(X),"16,468",+/-11,(X),(X)
High school graduate or higher,"28,758",+/-293,87.6%,+/-0.9,"14,175",+/-210,86.5%,+/-1.3,"14,583",+/-221,88.6%,+/-1.3
Bachelor's degree or higher,"5,155",+/-364,15.7%,+/-1.1,"2,330",+/-213,14.2%,+/-1.3,"2,825",+/-243,17.2%,+/-1.5
Black alone,647,+/-101,(X),(X),531,+/-95,(X),(X),116,+/-41,(X),(X)
High school graduate or higher,507,+/-114,78.4%,+/-8.4,404,+/-107,76.1%,+/-9.6,103,+/-39,88.8%,+/-14.8
Bachelor's degree or higher,33,+/-26,5.1%,+/-4.0,20,+/-24,3.8%,+/-4.4,13,+/-14,11.2%,+/-11.2
American Indian or Alaska Native alone,106,+/-48,(X),(X),39,+/-29,(X),(X),67,+/-44,(X),(X)
High school graduate or higher,56,+/-37,52.8%,+/-26.1,12,+/-15,30.8%,+/-29.1,44,+/-33,65.7%,+/-34.9
Bachelor's degree or higher,26,+/-23,24.5%,+/-20.8,12,+/-15,30.8%,+/-29.1,14,+/-16,20.9%,+/-26.2
Asian alone,104,+/-41,(X),(X),44,+/-25,(X),(X),60,+/-31,(X),(X)
High school graduate or higher,59,+/-33,56.7%,+/-30.3,29,+/-19,65.9%,+/-33.2,30,+/-23,50.0%,+/-33.3
Bachelor's degree or higher,34,+/-30,32.7%,+/-29.2,23,+/-19,52.3%,+/-36.0,11,+/-13,18.3%,+/-24.2
Native Hawaiian and Other Pacific Islander alone,4,+/-5,(X),(X),3,+/-5,(X),(X),1,+/-2,(X),(X)
High school graduate or higher,4,+/-5,100.0%,+/-100.0,3,+/-5,100.0%,+/-100.0,1,+/-2,100.0%,+/-100.0
Bachelor's degree or higher,1,+/-2,25.0%,+/-64.5,0,+/-24,0.0%,+/-100.0,1,+/-2,100.0%,+/-100.0
Some other race alone,152,+/-56,(X),(X),77,+/-42,(X),(X),75,+/-38,(X),(X)
High school graduate or higher,56,+/-41,36.8%,+/-24.5,17,+/-17,22.1%,+/-19.4,39,+/-36,52.0%,+/-52.0
Bachelor's degree or higher,23,+/-34,15.1%,+/-21.6,0,+/-24,0.0%,+/-31.1,23,+/-34,30.7%,+/-46.1
Two or more races,561,+/-101,(X),(X),465,+/-89,(X),(X),96,+/-44,(X),(X)
High school graduate or higher,439,+/-92,78.3%,+/-8.0,358,+/-81,77.0%,+/-9.1,81,+/-41,84.4%,+/-14.5
Bachelor's degree or higher,114,+/-54,20.3%,+/-8.7,77,+/-41,16.6%,+/-8.0,37,+/-26,38.5%,+/-25.7
Hispanic or Latino Origin,474,+/-47,(X),(X),275,+/-68,(X),(X),199,+/-54,(X),(X)
High school graduate or higher,248,+/-63,52.3%,+/-14.2,122,+/-46,44.4%,+/-12.3,126,+/-56,63.3%,+/-29.6
Bachelor's degree or higher,47,+/-38,9.9%,+/-8.2,24,+/-25,8.7%,+/-9.1,23,+/-34,11.6%,+/-17.3
