Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,611",+/-189,(X),(X),"3,387",+/-62,(X),(X),"3,224",+/-176,(X),(X)
Less than high school graduate,"1,602",+/-263,24.2%,+/-3.9,898,+/-162,26.5%,+/-4.7,704,+/-188,21.8%,+/-5.8
High school graduate (includes equivalency),"2,400",+/-315,36.3%,+/-4.5,"1,107",+/-199,32.7%,+/-6.0,"1,293",+/-246,40.1%,+/-6.7
Some college or associate's degree,"2,335",+/-300,35.3%,+/-4.5,"1,225",+/-208,36.2%,+/-6.0,"1,110",+/-193,34.4%,+/-6.0
Bachelor's degree or higher,274,+/-80,4.1%,+/-1.2,157,+/-65,4.6%,+/-1.9,117,+/-55,3.6%,+/-1.7
Population 25 years and over,"56,980",+/-201,(X),(X),"26,840",+/-110,(X),(X),"30,140",+/-186,(X),(X)
Less than 9th grade,"1,842",+/-278,3.2%,+/-0.5,"1,078",+/-241,4.0%,+/-0.9,764,+/-145,2.5%,+/-0.5
"9th to 12th grade, no diploma","4,502",+/-360,7.9%,+/-0.6,"2,186",+/-246,8.1%,+/-0.9,"2,316",+/-268,7.7%,+/-0.9
High school graduate (includes equivalency),"20,942",+/-681,36.8%,+/-1.2,"9,515",+/-500,35.5%,+/-1.9,"11,427",+/-460,37.9%,+/-1.6
"Some college, no degree","13,095",+/-572,23.0%,+/-1.0,"6,300",+/-419,23.5%,+/-1.6,"6,795",+/-435,22.5%,+/-1.4
Associate's degree,"5,001",+/-398,8.8%,+/-0.7,"2,271",+/-262,8.5%,+/-1.0,"2,730",+/-272,9.1%,+/-0.9
Bachelor's degree,"7,467",+/-456,13.1%,+/-0.8,"3,506",+/-293,13.1%,+/-1.1,"3,961",+/-345,13.1%,+/-1.1
Graduate or professional degree,"4,131",+/-359,7.2%,+/-0.6,"1,984",+/-226,7.4%,+/-0.8,"2,147",+/-274,7.1%,+/-0.9
Percent high school graduate or higher,(X),(X),88.9%,+/-0.8,(X),(X),87.8%,+/-1.2,(X),(X),89.8%,+/-1.1
Percent bachelor's degree or higher,(X),(X),20.4%,+/-1.0,(X),(X),20.5%,+/-1.4,(X),(X),20.3%,+/-1.3
Population 25 to 34 years,"9,659",+/-275,(X),(X),"4,688",+/-146,(X),(X),"4,971",+/-204,(X),(X)
High school graduate or higher,"8,568",+/-330,88.7%,+/-2.4,"4,011",+/-187,85.6%,+/-3.4,"4,557",+/-241,91.7%,+/-3.2
Bachelor's degree or higher,"2,155",+/-342,22.3%,+/-3.6,896,+/-199,19.1%,+/-4.2,"1,259",+/-231,25.3%,+/-4.6
Population 35 to 44 years,"9,654",+/-196,(X),(X),"4,617",+/-126,(X),(X),"5,037",+/-121,(X),(X)
High school graduate or higher,"8,770",+/-260,90.8%,+/-2.3,"4,116",+/-182,89.1%,+/-3.4,"4,654",+/-189,92.4%,+/-2.7
Bachelor's degree or higher,"2,257",+/-269,23.4%,+/-2.7,908,+/-167,19.7%,+/-3.6,"1,349",+/-181,26.8%,+/-3.5
Population 45 to 64 years,"22,692",+/-138,(X),(X),"11,050",+/-137,(X),(X),"11,642",+/-104,(X),(X)
High school graduate or higher,"20,582",+/-314,90.7%,+/-1.3,"9,927",+/-230,89.8%,+/-1.7,"10,655",+/-210,91.5%,+/-1.8
Bachelor's degree or higher,"4,740",+/-364,20.9%,+/-1.6,"2,337",+/-246,21.1%,+/-2.2,"2,403",+/-233,20.6%,+/-2.0
Population 65 years and over,"14,975",+/-76,(X),(X),"6,485",+/-45,(X),(X),"8,490",+/-67,(X),(X)
High school graduate or higher,"12,716",+/-290,84.9%,+/-1.8,"5,522",+/-181,85.2%,+/-2.7,"7,194",+/-200,84.7%,+/-2.4
Bachelor's degree or higher,"2,446",+/-255,16.3%,+/-1.7,"1,349",+/-173,20.8%,+/-2.7,"1,097",+/-169,12.9%,+/-2.0
